사용승인일자,화재조기진압용스프링클러보유여부,건물일련번호,스프링클러가용여부,기본주소,시도명,시군구명,법정동명,스프링클러보유여부,화재조기진압용스프링클러가용여부,간이스프링클러보유여부,대상물명,간이스프링클러가용여부,X좌표,Y좌표
19900918.0,N,11000000059849,Y,서울특별시 종로구 평창동,서울특별시,종로구,평창동,Y,N,N,킴스관광호텔,N,197136.44,456007.67
19900926.0,N,11000000060058,N,서울특별시 용산구 한강로3가,서울특별시,용산구,한강로3가,N,N,N,애플여관,N,196587.5,447269.61
19901001.0,N,11000000060399,N,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,N,N,N,경동빌딩,N,198269.56,450368.81
19901201.0,N,11000000061901,N,서울특별시 중구 남산동2가,서울특별시,중구,남산동2가,N,N,N,자자백팩커스(한도빌딩),Y,198728.37,450682.8
19910202.0,N,11000000062538,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,루디모텔,N,194443.93,450233.27
19910111.0,N,11000000062724,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,서현빌딩(구.베스텔),N,201657.87,443098.69
19910529.0,N,11000000063027,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,Y,N,N,호텔라몬,N,207735.56,445529.41
19550704.0,N,11000000063124,N,서울특별시 용산구 원효로2가,서울특별시,용산구,원효로2가,N,N,N,원효여관(원효탕건물),N,196688.71,448227.21
19910412.0,N,11000000063636,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,호텔잠실스테이(구.잠실관광호텔),N,207735.56,445529.41
19910608.0,N,11000000064595,N,서울특별시 강남구 논현동,서울특별시,강남구,논현동,N,N,N,호원빌딩,N,202596.32,445602.7
19910629.0,N,11000000064845,Y,서울특별시 송파구 방이동,서울특별시,송파구,방이동,Y,N,N,호텔자자,N,210886.78,445428.16
19910701.0,N,11000000065085,N,서울특별시 강남구 청담동,서울특별시,강남구,청담동,N,N,N,라비타호텔,N,204282.36,446977.88
19910824.0,N,11000000065773,Y,서울특별시 중구 충무로4가,서울특별시,중구,충무로4가,Y,N,N,기종빌딩,N,199429.18,451109.59
19911016.0,N,11000000066516,N,서울특별시 강남구 논현동,서울특별시,강남구,논현동,N,N,N,신성빌딩(케이그랜드호스텔),N,202596.32,445602.7
19911001.0,N,11000000066599,N,서울특별시 중구 저동1가,서울특별시,중구,저동1가,N,N,N,이화인명동게스트하우스,N,198851.58,451348.0
19911101.0,N,11000000067125,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,호텔머니,N,210886.78,445428.16
20221230.0,N,11000000068934,Y,서울특별시 중구 오장동,서울특별시,중구,오장동,Y,N,N,제이디타워,N,199991.59,451403.19
19920501.0,N,11000000070011,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,대호빌딩,N,201657.87,443098.69
19920722.0,N,11000000070855,N,서울특별시 서초구 양재동,서울특별시,서초구,양재동,N,N,N,수도빌딩(집양재원룸텔),N,203244.25,441092.25
19920811.0,N,11000000070936,N,서울특별시 종로구 창신동,서울특별시,종로구,창신동,N,N,N,임진빌딩(아침한의원),N,201063.62,452547.98
19921016.0,N,11000000072493,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,호텔서강스테이(큐모텔),N,194443.93,450233.27
19921107.0,N,11000000072893,N,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,Y,N,N,데이즈호텔명동(명보빌딩),N,198354.37,451017.61
