119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
충무로119안전센터,서울특별시 중구 충무로1가,11000000099289,서울특별시,,충무로1가,20250131,숙박시설,Y,20061221,중부소방서,밀리오레 명동점,20000530,Y,N,,451280.2851,,20240131,,198626.4972,,중구,밀리오레 명동,삼성화재,종합및작동점검대상
현장대응단,,11000000107179,서울특별시,,창천동,20160505,숙박시설,Y,20040507,서대문소방서,아늑호텔 신촌점,20020914,Y,N,,450789.6968,,20150506,,194647.0823,,서대문구,오렌지카운티,동부화재,작동점검대상
서초119안전센터,서울특별시 서초구 서초동,11000000111247,서울특별시,,서초동,20190831,숙박시설,Y,20031219,서초소방서,라바호텔,20030324,Y,N,,443005.6087,,20180901,,201199.0516,,서초구,라바호텔,삼성화재,종합및작동점검대상
중곡119안전센터,서울특별시 광진구 중곡동,11000000028167,서울특별시,,중곡동,20170901,숙박시설,Y,20010723,광진소방서,휘모텔,19821102,Y,,,451003.9739,,20160901,,207060.768,,광진구,보광장여관,삼성화재,작동점검대상
중곡119안전센터,서울특별시 광진구 중곡동,11000000030479,서울특별시,,중곡동,20140103,숙박시설,Y,20060107,광진소방서,라마모텔,19830926,Y,N,,452232.9687,,20140101,,207321.1501,,광진구,라마모텔,,작동점검대상
신도림119안전센터,서울특별시 구로구 신도림동,11000000142330,서울특별시,,신도림동,20191005,숙박시설,Y,20101101,구로소방서,더링크호텔,20240105,Y,N,,445118.2498,,20181005,,189734.1206,20240104,구로구,코리아빌딩,현대해상화재보험,종합점검대상
현장대응단,,11000000145475,서울특별시,,노고산동,20230724,숙박시설,Y,20110603,마포소방서,Y호텔,20110525,Y,,,450429.6222,,20180724,,194367.7742,,마포구,Y호텔,현대해상,작동점검대상
상암119안전센터,,11000000146791,서울특별시,Y,상암동,20171010,숙박시설,Y,20110914,마포소방서,스탠포드호텔코리아,20110919,Y,N,,453650.8798,,20161010,,189987.0024,,마포구,스탠포드호텔코리아,The.k손해보험,종합점검대상
현장대응단,서울특별시 마포구 노고산동,11000000226728,서울특별시,,노고산동,,숙박시설,Y,20141002,마포소방서,삼보빌딩(수도시락건물),19991202,Y,N,,450492.2559,,,N,194386.9711,,마포구,,,작동점검대상
천호119안전센터,,11000000249457,서울특별시,,천호동,,숙박시설,Y,20150125,강동소방서,천호동552건물(숙박),19670708,,N,,448972.0527,,,N,211404.1527,,강동구,,,
을지로119안전센터,서울특별시 중구 광희동1가,11000000262763,서울특별시,,광희동1가,,숙박시설,Y,20160524,중부소방서,광희동1가 182-20건물,19910924,,N,,451759.3684,,,N,200601.8148,,중구,,,
현장대응단,,11000000264038,서울특별시,,장지동,20200720,숙박시설,Y,20160705,송파소방서,힐스테이트송파위례(c1-1 블럭 위례지구,20160719,Y,N,,442128.20888484164,,20190720,N,212586.4846636441,20160705,송파구,힐스테이트송파위례,한화손해보험,종합점검대상
가락119안전센터,,11000000268961,서울특별시,Y,문정동,20240930,숙박시설,Y,20161004,송파소방서,송파파크하비오푸르지오(중점 가스 특별),20160929,Y,N,,442375.7500004432,,20230930,N,210917.99999716802,20161004,송파구,파크하비오,"메리츠화재(아파트),  DB보험(상가및 오피스텔)",종합점검대상
돈암119안전센터,서울특별시 성북구 삼선동3가,11000000313474,서울특별시,,삼선동3가,,숙박시설,Y,20170407,성북소방서,삼선학사D동,19940202,,,,453800.3886,,,N,201086.84,,성북구,,,
돈암119안전센터,서울특별시 성북구 삼선동3가,11000000313475,서울특별시,,삼선동3가,,숙박시설,Y,20170407,성북소방서,삼선학사E동,19940905,,,,453800.3886,,,N,201086.84,,성북구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321282,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,월든주택,20180418,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321287,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,다온빌,20180626,,,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321291,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,썬빌,20180327,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321295,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,드림하우스,20180911,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321298,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,중화동325-57번지 건물,20181019,,,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321308,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,모두하우스,20180212,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321313,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,중화동 324-126번지 건물,20180906,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321317,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,모두&토토,20181022,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321321,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,중화동 321-14번지 건물,20180709,,,,455240.7085,,,N,206758.5097,,중랑구,,,
중화119안전센터,서울특별시 중랑구 중화동,11000000321323,서울특별시,,중화동,,숙박시설,Y,20190111,중랑소방서,모두스타빌,20181220,,N,,455240.7085,,,N,206758.5097,,중랑구,,,
신림119안전센터,,11000000264984,서울특별시,,신림동,,숙박시설,Y,20160811,관악소방서,스팅(sting),20170526,Y,N,,442842.3999958276,,,N,193415.60000064355,20170502,관악구,,,작동점검대상
신림119안전센터,,11000000265003,서울특별시,,신림동,,숙박시설,Y,20160811,관악소방서,스튜디오93,20170808,Y,N,,442873.5999989845,,,N,193690.40000402243,20170725,관악구,스튜디오 93,,종합점검대상
신림119안전센터,,11000000307176,서울특별시,,신림동,,숙박시설,Y,20161206,관악소방서,심도호텔앤스파,,Y,N,,442833.3400007607,,,N,193890.5700000398,20250424,관악구,,,종합점검대상
염리119안전센터,,11000000311935,서울특별시,Y,도화동,20180512,숙박시설,Y,20161223,마포소방서,효성해링턴스퀘어글래드호텔(경의선공덕역 복합시설),20170113,Y,N,,449279.73750300955,,20170512,N,195684.77999722812,20161223,마포구,,한국화재보험협회,종합점검대상
충무로119안전센터,서울특별시 중구 을지로2가,11000000318025,서울특별시,,을지로2가,20250430,숙박시설,Y,20180423,중부소방서,마이티빌딩(구.명동리테일빌딩),20180504,Y,N,,451758.9135891263,,20240430,N,198556.9076754239,20180423,중구,,흥국화재보험,종합및작동점검대상
회현119안전센터,서울특별시 중구 회현동1가,11000000318095,서울특별시,,회현동1가,,숙박시설,Y,20180428,중부소방서,AK타워,20180428,Y,N,,451146.4962002103,,,N,198187.28484980133,20180428,중구,,,종합및작동점검대상
현장대응단,서울특별시 광진구 구의동,11000000318401,서울특별시,,구의동,,숙박시설,Y,20180529,광진소방서,구의동634-17건물,20180511,,,,449782.641,,,N,208160.4326,,광진구,,,
현장대응단,서울특별시 광진구 구의동,11000000318402,서울특별시,,구의동,,숙박시설,Y,20180529,광진소방서,구의동634-18건물,20180511,,,,449782.641,,,N,208160.4326,,광진구,,,
충무로119안전센터,서울특별시 중구 다동,11000000001767,서울특별시,,다동,,숙박시설,Y,20060608,중부소방서,한주화학빌딩,19601201,,N,,451919.3469,,,,198407.5211,,중구,,,
충무로119안전센터,서울특별시 중구 명동2가,11000000002632,서울특별시,,명동2가,,숙박시설,Y,20060421,중부소방서,지암빌딩(유스테이호스텔),19641001,Y,N,,451480.0344,,,,198718.6162,,중구,,,작동점검대상
