"X 좌표","Y 좌표","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명 / 대지위치","연면적 / 대지면적","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","사용승인일 / 허가일","승용승강기수","비상용승강기수","내진설계적용여부"
"209996","445952.865","서울특별시 송파구 방이동 49-2번지","11710","11100","0","0049","0002","라움(RAUM) 호텔","102514786","서울특별시 송파구 오금로11길 55-16 (방이동) / 서울특별시 송파구 방이동 49-2번지","3180.9 / 722.7","430.41","21","철근콘크리트조","15000","관광숙박시설(관광호텔) 및 근린생활시설","9","1","20001113 / 19991214","1","0","0"
"209506.431365429","445896.011888747","서울특별시 송파구 방이동 28-8번지","11710","11100","0","0028","0008","체리","1025117379","서울특별시 송파구 오금로11길 11-15 (방이동) / 서울특별시 송파구 방이동 28-8번지","1189 / 227.1","136","21","철근콘크리트조","15000","숙박시설(여관)","10","1","20010917 / 20001009","1","0","0"
"209621.641732197","445963.326185352","서울특별시 송파구 방이동 37-3번지","11710","11100","0","0037","0003","라운지","1025121964","서울특별시 송파구 오금로11길 23-19 (방이동) / 서울특별시 송파구 방이동 37-3번지","1948.56 / 445.7","257.4","21","철근콘크리트구조","15000","숙박시설(여관)","8","1","20030424 / 20020501","0","1","0"
"207306.430044599","445450.50724069","서울특별시 송파구 잠실동 184-20번지","11710","10100","0","0184","0020","엠 더블류","102519374","서울특별시 송파구 올림픽로12길 5-9 (잠실동) / 서울특별시 송파구 잠실동 184-20번지","810.18 / 165.3","98.82","21","철근콘크리트구조","15000","숙박시설","9","1","20030527 / 20000825","1","0","0"
"207405.495224348","445445.892219252","서울특별시 송파구 잠실동 184-16번지","11710","10100","0","0184","0016","로즈마리","1025123857","서울특별시 송파구 올림픽로12길 5-29 (잠실동) / 서울특별시 송파구 잠실동 184-16번지","1347.7 / 256.2","153.12","21","철근콘크리트조외 1","15000","숙박시설(여관), 근린생활시설","10","1","20000626 / 19990922","0","0","0"
"209656.360862674","445934.210422237","서울특별시 송파구 방이동 38-2번지","11710","11100","0","0038","0002","HOTEL HL (에이첼 호텔)","102515999","서울특별시 송파구 오금로11길 23-12 (방이동) / 서울특별시 송파구 방이동 38-2번지","1105.03 / 205.1","122.37","21","철근콘크리트","15000","숙박시설","10","1","20011224 / 20010515","1","0","0"
"210463.282485743","443549.893536475","서울특별시 송파구 가락동 98-6번지","11710","10700","0","0098","0006","캘리포니아관광호텔","102516726","서울특별시 송파구 송파대로28길 11 (가락동) / 서울특별시 송파구 가락동 98-6번지","10601.31 / 1256.4","753.12","21","철근콘크리트구조","15000","관광숙박시설(관광호텔)외2","12","3","20031002 / 20020311","0","0","0"
"207413.130169621","445424.333137339","서울특별시 송파구 잠실동 183-6번지","11710","10100","0","0183","0006","마쯔&2060","102519933","서울특별시 송파구 올림픽로12길 5-30 (잠실동) / 서울특별시 송파구 잠실동 183-6번지","532.24 / 161","95.76","21","철근콘크리트조, 조적조","15000","숙박시설, 근린생활시설","5","1","19861213 / 19860816","0","0","0"
"209613.798863101","445932.059757961","서울특별시 송파구 방이동 37-1번지","11710","11100","0","0037","0001","톰지호텔","1025122682","서울특별시 송파구 오금로11길 21-12 (방이동) / 서울특별시 송파구 방이동 37-1번지","3640.87 / 580.8","347.52","21","철근콘크리트구조","15000","숙박시설(여관 50객실)","9","2","20031212 / 20020802","2","0","0"
"209735.602813558","445979.093797232","서울특별시 송파구 방이동 42-6번지","11710","11100","0","0042","0006","HOTEL CASA","1025113143","서울특별시 송파구 올림픽로34길 7 (방이동) / 서울특별시 송파구 방이동 42-6번지","1923.27 / 471.8","279.98","21","철근콘크리트구조","15000","숙박시설(여관)","8","1","20040621 / 20030507","1","0","0"
"207220.229888603","445454.538924885","서울특별시 송파구 잠실동 181-20번지","11710","10100","0","0181","0020","신천 노블스테이 호텔","1025112476","서울특별시 송파구 올림픽로12길 4-8 (잠실동) / 서울특별시 송파구 잠실동 181-20번지","1214.95 / 213.3","127.5","21","철근콘크리트구조","15000","숙박시설외1","10","2","20070102 / 20050808","1","0","0"
"207195.88258262","445455.672693277","서울특별시 송파구 잠실동 181-12번지","11710","10100","0","0181","0012","퍼니모텔","102517615","서울특별시 송파구 올림픽로12길 4-14 (잠실동) / 서울특별시 송파구 잠실동 181-12번지","1214.41 / 213.4","127.9","21","철근콘크리트구조","15000","숙박시설","10","1","20071207 / 20051226","1","0","0"
"207208.057491925","445455.103805031","서울특별시 송파구 잠실동 181-19번지","11710","10100","0","0181","0019","씩스티모텔","1025123022","서울특별시 송파구 올림픽로12길 4-12 (잠실동) / 서울특별시 송파구 잠실동 181-19번지","1214.41 / 213.4","127.9","21","철근콘크리트구조","15000","숙박시설","10","1","20071207 / 20051226","1","0","0"
"208554.799609279","444868.79542744","서울특별시 송파구 석촌동 1-7번지","11710","10500","0","0001","0007","로사나관광호텔","10251100453887","서울특별시 송파구 삼학사로 98 (석촌동) / 서울특별시 송파구 석촌동 1-7번지","5798.253 / 741","393.798","21","철근콘크리트구조","15000","숙박시설(관광호텔)외 2","14","4","20130816 / 20101210","3","1","0"
"208426.169119403","444447.682227261","서울특별시 송파구 삼전동 180-3번지","11710","10600","0","0180","0003","호텔 인피니","1025116398","서울특별시 송파구 백제고분로 268 (삼전동) / 서울특별시 송파구 삼전동 180-3번지","1463.34 / 402.5","220.55","21","철근콘크리트구조외1","15000","숙박시설","8","1","20041129 / 20030626","1","0","0"
"207835.820419818","444569.108630582","서울특별시 송파구 삼전동 47번지","11710","10600","0","0047","0000","공간24 게스트하우스(잠실점)","102516345","서울특별시 송파구 백제고분로22길 5 (삼전동) / 서울특별시 송파구 삼전동 47번지","1057.32 / 322.2","175.36","21","철근콘크리트조외1","03000","근린생활시설, 주택","5","1","19890927 / 19890324","0","0","0"
