위험군,cluster,대표모형,변수,n_params,coef_mean,coef_abs_mean,coef_std,coef_min,coef_max,positive_ratio
저위험군,0,MGWR,Intercept,220,28.80971589652671,28.80971589652671,6.428323565056199e-15,28.809715896526704,28.80971589652673,1.0
저위험군,0,MGWR,구조노후도,220,5.161652591193669,5.161652591193669,1.316287319628274e-15,5.161652591193665,5.161652591193672,1.0
저위험군,0,MGWR,단속위험도,220,1.91645003719775,1.91645003719775,6.312549566334608e-16,1.9164500371977489,1.9164500371977515,1.0
저위험군,0,MGWR,도로폭위험도,220,5.083686450364525,5.083686450364525,2.317485262901357e-15,5.08368645036452,5.083686450364527,1.0
저위험군,0,MGWR,최근접_소화용수_거리등급,220,2.643626359866029,2.643626359866029,6.512663168615592e-16,2.643626359866027,2.6436263598660306,1.0
저위험군,0,MGWR,소방위험도_점수,220,1.8968557008132172,1.8968557008132172,8.654551537737704e-16,1.896855700813216,1.8968557008132196,1.0
저위험군,0,MGWR,승인연도,220,5.207069445459274e-16,8.682158608999263e-16,1.0873298800506582e-15,-5.294881103158773e-16,2.807932714078237e-15,0.4681818181818182
저위험군,0,MGWR,연면적,220,1.2108168087525646,1.2108168087525646,1.5629786648143109e-15,1.2108168087525626,1.210816808752568,1.0
저위험군,0,MGWR,집중도,220,1.6961315839041948,1.6961315839041948,6.693368048953411e-16,1.6961315839041935,1.6961315839041973,1.0
저위험군,0,MGWR,주변건물수,220,0.6072991995971322,0.6072991995971322,3.5900947739960383e-16,0.6072991995971313,0.607299199597133,1.0
저위험군,0,MGWR,총층수,220,0.08318125907001295,0.08318125907001295,2.3329926674277356e-15,0.0831812590700082,0.0831812590700154,1.0
중위험군,1,GWR,Intercept,700,3.16765413494986,3.16765413494986,1.3092822957284727,0.2885398665172957,8.383778620535034,1.0
중위험군,1,GWR,구조노후도,700,-0.10207080793879247,0.37039062270289386,0.47413260236717314,-1.548315688281391,1.308098654842096,0.36
중위험군,1,GWR,단속위험도,700,0.3520880577179696,0.6123451584492358,0.8237557435589957,-0.8788249721435846,4.588864220861864,0.6028571428571429
중위험군,1,GWR,도로폭위험도,700,-0.24686837957414448,0.4416741446894366,0.5506855049013166,-2.685993726763406,0.9398651954462194,0.4014285714285714
중위험군,1,GWR,최근접_소화용수_거리등급,700,-0.44929162823814317,0.6423341166417074,0.6482261470848049,-2.0208644677426206,1.072503985327551,0.21714285714285714
중위험군,1,GWR,소방위험도_점수,700,-0.23627151654467493,0.9120771409512444,1.2514690430967848,-4.049763715998953,3.2723572986015177,0.4514285714285714
중위험군,1,GWR,승인연도,700,0.013824676609234596,0.3714814090714312,0.48626788328749815,-1.5471976775736398,1.5902063992518758,0.4614285714285714
중위험군,1,GWR,연면적,700,0.27976347129878854,0.500539102523485,0.5555900151480863,-1.0304635381699416,1.9306641469901091,0.7171428571428572
중위험군,1,GWR,집중도,700,0.5271971804474721,0.6195957935571372,0.601505776152513,-1.1220030675280817,3.109278138059696,0.7985714285714286
중위험군,1,GWR,주변건물수,700,0.793513785643126,0.9592309604069755,1.1486604631943371,-1.853694627069288,4.2969582919390845,0.7142857142857143
중위험군,1,GWR,총층수,700,0.49350901264376845,0.781591018534391,1.1267551445744899,-1.554637153407005,8.43699443452702,0.6614285714285715
고위험군,2,MGWR,Intercept,220,40.36565800613,40.36565800613,1.0151305734345631e-14,40.36565800612999,40.36565800613002,1.0
고위험군,2,MGWR,구조노후도,220,4.5864891322550685,4.5864891322550685,9.751695297604795e-16,4.586489132255066,4.586489132255071,1.0
고위험군,2,MGWR,단속위험도,220,1.9556599579023908,1.9556599579023908,1.2729873536091671e-15,1.9556599579023888,1.9556599579023932,1.0
고위험군,2,MGWR,도로폭위험도,220,2.7650651734133036,2.7650651734133036,8.380992751815295e-16,2.765065173413302,2.765065173413306,1.0
고위험군,2,MGWR,최근접_소화용수_거리등급,220,2.7727123695575644,2.7727123695575644,1.0047337017148333e-15,2.772712369557562,2.772712369557567,1.0
고위험군,2,MGWR,소방위험도_점수,220,2.0544898226138857,2.0544898226138857,1.7816718749483056e-15,2.0544898226138804,2.0544898226138884,1.0
고위험군,2,MGWR,승인연도,220,-1.1316428474482593e-15,2.339643486796513e-15,2.5803442388162086e-15,-5.339336648759178e-15,6.5565907197774e-15,0.2590909090909091
고위험군,2,MGWR,연면적,220,1.0584344586188725,1.0584344586188725,4.246532244542507e-16,1.0584344586188712,1.0584344586188736,1.0
고위험군,2,MGWR,집중도,220,1.3537586644488189,1.3537586644488189,5.455491652939308e-16,1.3537586644488175,1.3537586644488202,1.0
고위험군,2,MGWR,주변건물수,220,0.6123235821702562,0.6123235821702562,3.5379815503228294e-16,0.6123235821702553,0.6123235821702567,1.0
고위험군,2,MGWR,총층수,220,0.0697555999022092,0.0697555999022092,1.637053667084811e-16,0.0697555999022087,0.0697555999022095,1.0
