변수,표시명,VIF,판정
승인연도,승인연도,1.8276334171804611,양호
소방위험도_점수,소방위험도,1.055406612877947,양호
주변건물수,주변 건물수,1.6141650444084268,양호
집중도,집중도,1.5355575948461186,양호
단속위험도,단속 위험도,1.0759602571480176,양호
구조노후도,구조 노후도,1.858963112821303,양호
도로폭위험도,도로폭 위험도,1.2674935714826443,양호
최근접_소화용수_거리등급,소화용수 거리등급,1.271109737490558,양호
총층수,총층수,1.5161307928050805,양호
연면적,연면적 (log),1.5342206154548386,양호
