승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
1971,0.1001,23,69.6,1.706004111,0.1766,0.7,24,9.424644975,중위험군,27.40122378,-1.7534366995546402,-1.2488249431004026
1960,0.3564,3,0.0,2.111806826,0.1922,0.55,6,5.883322388,저위험군,37.75795798,-0.177339684980106,1.468228020205128
2002,0.184,28,85.7,2.016351247,0.1322,0.85,23,9.830217691,중위험군,34.47167266,-2.3336656580485853,-2.554277191717474
1985,0.3349,49,85.7,0.687943353,0.1565,0.85,10,7.778211475,중위험군,34.3849298,-0.1670476517663562,-2.109322188363533
2015,0.2112,15,73.3,0.123132685,0.1136,0.85,22,9.83091686,중위험군,21.95857565,-3.1744900092442476,-1.7451095557515344
1967,0.251,21,0.0,1.925090521,0.1823,1.0,5,5.883322388,중위험군,35.96093302,0.37823679709794533,0.28053993351281054
2015,0.2423,3,0.0,0.752336052,0.1136,0.08,30,10.13994212,저위험군,16.07173597,-5.034644920943789,0.25755473533479434
1969,0.1086,27,81.5,0.77983042,0.1794,1.0,11,8.677098709,중위험군,35.85209991,-0.26350664464989765,-1.2283469408457668
1985,0.1457,0,0.0,0.0,0.1565,0.85,5,6.411818268,중위험군,31.79717838,-0.9447170833287689,1.231606574466564
1969,0.1658,19,68.4,1.751088429,0.1794,0.35,17,6.228511004,저위험군,34.19667612,-0.7416603544224357,-0.22926309990048238
1983,0.1175,1,100.0,2.128231706,0.1594,0.12,5,6.416732283,저위험군,24.66420989,-0.5003554027807775,0.17715328399517466
2011,0.1086,3,100.0,1.84536892,0.1194,0.7,6,5.564520407,중위험군,22.5027131,-0.7433329414034173,-1.0702661510352416
1986,0.2954,19,47.4,0.693147181,0.1551,0.85,15,8.649448771,중위험군,32.1453704,-1.5886580370554697,-0.7710766164476851
1968,0.3626,34,58.8,0.117783036,0.1808,0.7,6,6.781625002,중위험군,25.4242058,0.22016119975763127,-0.37545312207799963
1971,0.0838,37,78.4,0.299393332,0.1766,1.0,3,4.763881877,중위험군,32.72696791,1.356544446737796,-0.9300702544527332
2006,0.1506,3,0.0,0.7282385,0.1265,0.08,4,6.419994928,저위험군,20.46007534,-1.8598590025853892,1.5091615969975254
1955,0.3135,32,62.5,0.564343929,0.4817,0.45,2,3.784189634,고위험군,37.71343046,2.1982634621870574,0.8630392104337671
1966,0.3318,9,55.6,1.073610986,0.1837,1.0,6,4.382026635,중위험군,36.36215535,0.6822150207622679,0.12644900931353437
