사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부
20170922," ""N""          "," ""11000000315265"""," ""Y""      "," ""서울특별시 강서구 염창동""       "," ""서울특별시"""," ""강서구""  "," ""염창동""     "," ""Y""     "," ""N""           "," ""N""    "," ""제이케이블라썸호텔""                                "," ""N"""
20200408," ""N""          "," ""11000000315387"""," ""N""      "," ""서울특별시 종로구 돈의동""       "," ""서울특별시"""," ""종로구""  "," ""돈의동""     "," ""N""     "," ""N""           "," ""N""    "," ""엠앤럭키 호텔(M&LUCKY HOTEL)""                      "," ""N"""
20171019," ""N""          "," ""11000000315666"""," ""N""      "," ""서울특별시 영등포구 당산동2가""  "," ""서울특별시"""," ""영등포구"""," ""당산동2가""  "," ""N""     "," ""N""           "," ""Y""    "," ""따담가족호텔""                                      "," ""Y"""
20171106," ""N""          "," ""11000000316201"""," ""Y""      "," ""서울특별시 중구 쌍림동""         "," ""서울특별시"""," ""중구""    "," ""쌍림동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔더디자이너스디디피""                            "," ""N"""
20181123," ""N""          "," ""11000000316265"""," ""Y""      "," ""서울특별시 중구 명동2가""        "," ""서울특별시"""," ""중구""    "," ""명동2가""    "," ""Y""     "," ""N""           "," ""N""    "," ""메이원 호텔 건물""                                  "," ""N"""
20171207," ""N""          "," ""11000000316395"""," ""Y""      "," ""서울특별시 송파구 잠실동""       "," ""서울특별시"""," ""송파구""  "," ""잠실동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔포레스타1""                                     "," ""N"""
20180111," ""N""          "," ""11000000316563"""," ""Y""      "," ""서울특별시 중구 북창동""         "," ""서울특별시"""," ""중구""    "," ""북창동""     "," ""Y""     "," ""N""           "," ""N""    "," ""토마스명동호텔""                                    "," ""N"""
20171229," ""N""          "," ""11000000316696"""," ""Y""      "," ""서울특별시 영등포구 영등포동1가"""," ""서울특별시"""," ""영등포구"""," ""영등포동1가"""," ""Y""     "," ""N""           "," ""N""    "," ""페어필드바이메리어트서울호텔(J&S오피스텔건물)""     "," ""N"""
20180116," ""N""          "," ""11000000317090"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""Y""    "," ""영남빌딩(업플로호스텔)""                            "," ""Y"""
20180206," ""N""          "," ""11000000317173"""," ""Y""      "," ""서울특별시 강서구 마곡동""       "," ""서울특별시"""," ""강서구""  "," ""마곡동""     "," ""Y""     "," ""N""           "," ""N""    "," ""디앤오강서사옥/코트야드메리어트보타닉호텔""         "," ""N"""
19690920," ""N""          "," ""11000000317252"""," ""N""      "," ""서울특별시 용산구 동빙고동""     "," ""서울특별시"""," ""용산구""  "," ""동빙고동""   "," ""N""     "," ""N""           "," ""N""    "," ""장문로6길 11""                                      "," ""N"""
20180417," ""N""          "," ""11000000317372"""," ""Y""      "," ""서울특별시 영등포구 영등포동1가"""," ""서울특별시"""," ""영등포구"""," ""영등포동1가"""," ""Y""     "," ""N""           "," ""N""    "," ""코코아관광(베니키아)호텔(카카오)""                  "," ""N"""
20180409," ""N""          "," ""11000000317644"""," ""Y""      "," ""서울특별시 중구 남학동""         "," ""서울특별시"""," ""중구""    "," ""남학동""     "," ""Y""     "," ""N""           "," ""N""    "," ""홈즈레드호텔(구.디어스명동호텔)""                   "," ""N"""
20180709," ""N""          "," ""11000000317717"""," ""Y""      "," ""서울특별시 서초구 신원동""       "," ""서울특별시"""," ""서초구""  "," ""신원동""     "," ""Y""     "," ""N""           "," ""N""    "," ""오라카이청계산호텔""                                "," ""N"""
20180504," ""N""          "," ""11000000318025"""," ""N""      "," ""서울특별시 중구 을지로2가""      "," ""서울특별시"""," ""중구""    "," ""을지로2가""  "," ""N""     "," ""N""           "," ""Y""    "," ""마이티빌딩(구.명동리테일빌딩)""                     "," ""Y"""
20181024," ""N""          "," ""11000000318030"""," ""Y""      "," ""서울특별시 중구 충무로4가""      "," ""서울특별시"""," ""중구""    "," ""충무로4가""  "," ""Y""     "," ""N""           "," ""N""    "," ""스테이락호텔""                                      "," ""N"""
20180428," ""N""          "," ""11000000318095"""," ""Y""      "," ""서울특별시 중구 회현동1가""      "," ""서울특별시"""," ""중구""    "," ""회현동1가""  "," ""Y""     "," ""N""           "," ""N""    "," ""AK타워""                                            "," ""N"""
