구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도,coef_도로폭위험도,coef_단속위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,28.204032071103683,-5.293094831103684,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관훈동,호텔 썬비,1,저위험군,37.57030354,126.9840039,198586.865,452307.0719,13.42087742,19.748554128050568,-6.327676708050568,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,1,저위험군,37.57180204,126.983008,198498.9183,452473.4034,19.21733253,19.136601469086216,0.08073106091378435,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,인의동,이스트 아뜰리에,1,저위험군,37.57093161,126.9958843,199636.4111,452376.668,29.45535909,28.68703362405036,0.7683254659496406,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,U-STAY HOSTEL,1,저위험군,37.56976898,127.0154556,201365.3966,452247.734,25.62588219,23.427853540753887,2.198028649246112,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,31.72595218534112,-7.208208035341123,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,이화동,글루호텔,1,저위험군,37.57304815,127.0031721,200280.2191,452611.5762,15.4508699,17.26851570871772,-1.817645808717721,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,36.62873947856637,7.12999529143363,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,30.243125471616942,2.1944870183830574,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,44.03320730647056,-1.079104246470557,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,호스텔 메가 동대문역,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,20.940254288188278,0.7676845718117207,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,봉익동,포레스트 스테이 종로,1,저위험군,37.57018563,126.991442,199243.9613,452293.8994,15.92274082,18.956466408077418,-3.0337255880774183,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,MOMENTO HOSTEL,1,저위험군,37.56655742,126.9838,198568.7776,451891.2994,23.18591932,22.377987736878488,0.8079315831215119,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,31.099579836259096,-8.264884746259096,6.350622756845872,4.979576637458267,1.4336567589182707
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,25.83733210257598,-8.837966252575981,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,247 HOSTEL SEOUL,1,저위험군,37.56817447,127.0131481,201161.5696,452070.7309,28.46176098,25.486176957246318,2.975584022753683,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,찰나 호스텔,1,저위험군,37.56664615,126.9833293,198527.2006,451901.1547,21.17200955,21.65831416112244,-0.48630461112244205,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,28.86217794702574,-4.814416297025737,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로5가,편안정 종로5가점,1,저위험군,37.56810507,127.0045472,200401.7227,452062.9568,24.42589099,20.272991527642898,4.152899462357102,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,35.609600831181076,7.573360758818922,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로5가,고유리(Goyu;re),1,저위험군,37.56730221,127.0037223,200328.8504,451973.8455,23.67381825,19.959973505006012,3.713844744993988,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,33.389118782727365,6.404657547272635,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,34.86111021165732,-7.39562227165732,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,28.247428129331325,-7.1021342693313265,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,이온호텔,1,저위험군,37.56975326,127.0119696,201057.431,452245.9443,25.0569827,21.809549391601433,3.2474333083985663,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,오아시스 트레블러스 종로,1,저위험군,37.56702341,126.9866387,198819.5744,451942.9794,34.79954247,29.636177018404453,5.163365451595546,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,37.07273163148833,4.703135308511669,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,동대문인순,1,저위험군,37.56877711,127.0102192,200902.8069,452137.5848,28.05798271,26.221606045409388,1.8363766645906132,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,33.02906748255454,-0.8343187125545413,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로6가,편안정,1,저위험군,37.56925877,127.006942,200613.282,452191.017,21.08551939,22.234186010813456,-1.1486666208134544,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,소락방 주식회사,1,저위험군,37.57009871,126.9876943,198912.8819,452284.2891,14.86759141,20.67502559671643,-5.807434186716431,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,연지동,스테이누아 종로,1,저위험군,37.56957912,126.9996604,199969.9995,452226.5495,31.17951278,30.69011367830084,0.4893991016991599,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,1996 종로인,1,저위험군,37.56632523,126.986269,198786.9014,451865.4943,19.26915095,21.592137285178428,-2.3229863351784275,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,25.61730241872112,-6.801113718721119,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1,저위험군,37.56594442,126.9857743,198743.1897,451823.2353,14.39556882,21.98658364473873,-7.59101482473873,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,견지동,더프리마호텔 종로,1,저위험군,37.57038151,126.9826794,198469.8543,452315.7464,15.15989744,20.75939795287013,-5.599500512870131,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,33.79949553785623,6.353191102143768,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,와룡동,클래식 아파트먼트 익선,0,중위험군,37.57389547,126.9897488,199094.4271,452705.6636,31.16213307,35.538414852440255,-4.376281782440255,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,효제동,하우스 오손 종묘점,1,저위험군,37.56890164,127.0020354,200179.8148,452151.359,33.0946072,32.257267987047335,0.8373392129526636,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관수동,HELLO HOSTEL,1,저위험군,37.56619998,126.9911883,199221.509,451851.5409,18.00246441,22.134253542065608,-4.131789132065606,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1,저위험군,37.56915801,126.9800544,198237.9294,452179.9981,21.85697839,25.87736409582955,-4.0203857058295505,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,브릭 스테이 (BRIC STAY),0,중위험군,37.57248011,127.0197134,201741.4763,452548.7083,28.64444955,30.170976875077727,-1.5265273250777263,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,충신동,연경당,0,중위험군,37.57203715,127.0039527,200349.1823,452499.3695,30.80334323,31.998502603104157,-1.1951593731041577,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,호텔 DM,1,저위험군,37.57059843,127.0186013,201643.2775,452339.8436,28.05377359,21.590260401729847,6.463513188270152,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,원남동,오라카이 대학로 호텔,1,저위험군,37.57297519,126.9979778,199821.3638,452603.4757,17.49537536,20.961180536363173,-3.4658051763631725,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,D-STAY HOSTEL,1,저위험군,37.56798355,127.0095215,200841.1772,452049.5024,22.90804819,20.45116602414084,2.4568821658591595,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,돈의동,더 메이 호텔,0,중위험군,37.56923344,126.9887906,199009.7162,452188.2421,16.14393547,24.547211917955,-8.403276447955001,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,42.538466633226236,-7.042457743226237,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,익선동,엠제이호텔,0,중위험군,37.57227399,126.9880699,198946.0906,452525.7156,30.95267857,31.75607377258597,-0.8033952025859712,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,익선동,킹스가든,0,중위험군,37.57179889,126.9889326,199022.3007,452472.9757,29.68497731,31.128920615087722,-1.4439433050877213,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,수레지던스,0,중위험군,37.56655068,126.9841539,198600.0443,451890.546,25.97377645,27.208238715047735,-1.2344622650477355,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,동대문 서울달빛,0,중위험군,37.56916257,127.0137488,201214.6206,452180.4061,34.54718315,35.996197832002366,-1.449014682002364,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,연건동,브루클린,0,중위험군,37.57244418,127.0008332,200073.6066,452544.5381,36.98701582,32.29914888662785,4.687866933372156,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,케이디 호스텔,0,중위험군,37.57044997,127.0186755,201649.8402,452323.3676,33.38826274,27.902070554780487,5.486192185219515,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,장사동,센추럴,0,중위험군,37.56604937,126.9921087,199302.819,451834.8177,38.31717841,35.46270132188034,2.8544770881196584,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,VATICA HOTEL(바티카 호텔),0,중위험군,37.56737832,127.0147475,201302.8834,451982.3886,25.16109034,31.201182583622046,-6.040092243622045,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,명륜4가,호스텔 데이,1,저위험군,37.57929506,126.9971361,199747.0246,453304.9103,27.63239309,24.627337192466896,3.0050558975331043,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,루미아호텔,1,저위험군,37.57109607,127.0214556,201895.4198,452395.1296,26.92374553,20.711143220362718,6.212602309637283,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,24guesthouse동대문마켓점,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,20.940254288188278,0.7676845718117207,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,호스텔 클로이,1,저위험군,37.56597443,126.9878264,198924.4936,451826.5406,17.48344907,20.12768967731222,-2.64424060731222,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,원남동,메이플레이스 호텔 서울 동대문,1,저위험군,37.57336561,126.9979485,199818.7693,452646.8078,14.95589031,21.433750151685558,-6.477859841685559,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,권농동,언플러그 안국,0,중위험군,37.57427525,126.9904528,199156.6242,452747.8082,34.38596742,33.671191666633774,0.7147757533662258,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,수송동,신라스테이 광화문,1,저위험군,37.56990125,126.9803048,198260.0635,452262.4845,19.90447402,18.92944250470213,0.9750315152978679,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,인의동,호텔 아트리움,1,저위험군,37.56913495,126.9973365,199764.6917,452177.2551,20.4974136,20.470836836702652,0.02657676329734926,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,베스트웨스턴 종로(인사동),0,중위험군,37.5696394,126.9887561,199006.6737,452233.2992,24.1597545,32.011968892917054,-7.852214392917055,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,숭인동,아이비씨호텔,0,중위험군,37.57050676,127.022065,201949.2705,452329.7355,39.68270504,32.65875173362547,7.02395330637453,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관철동,호스텔 하루,1,저위험군,37.56622871,126.9835334,198545.2223,451854.8205,20.84757253,24.339377892645974,-3.491805362645973,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,익선동,ICON,0,중위험군,37.57209924,126.9881293,198951.3391,452506.3197,24.01764966,31.604154926776463,-7.586505266776463,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,익선동,호텔 다다-인사,0,중위험군,37.57189895,126.9887524,199006.3786,452484.0831,28.99010129,30.20952098624699,-1.219419696246991,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,종로크라운,0,중위험군,37.57131629,126.9874005,198886.9441,452419.4297,27.58183873,27.58637956896189,-0.0045408389618870615,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,평창동,동화킴스관광호텔,0,중위험군,37.60669991,126.9743304,197733.3915,456346.8474,38.32306966,32.22634420693803,6.096725453061971,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,낙원동,오라카이 인사동 스위츠,1,저위험군,37.57025733,126.9865467,198811.497,452301.9079,15.44674591,19.607916511346843,-4.161170601346843,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관수동,호텔베뉴지,1,저위험군,37.56598513,126.9900523,199121.1448,451827.7051,13.84635558,19.420121998479257,-5.573766418479256,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,관훈동,아미드 호텔 서울,1,저위험군,37.56984481,126.9834118,198534.5493,452256.1673,18.68581043,22.001494155895116,-3.3156837258951164,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,당주동,포시즌스 호텔 서울,0,중위험군,37.56801651,126.9746335,197758.993,452053.4204,31.72027245,24.63712649658161,7.083145953418388,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,와룡동,Hostel Tommy 호스텔 토미,0,중위험군,37.5716747,126.990417,199153.4252,452459.1776,32.68575111,37.107695139584045,-4.421944029584047,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,운니동,노블관광호텔,0,중위험군,37.57393452,126.9888707,199016.8561,452710.0065,33.81378816,34.52857568264093,-0.7147875226409255,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,와룡동,바운드 호스텔,0,중위험군,37.57338396,126.9895252,199074.671,452648.8941,29.84933743,37.21148128162437,-7.362143851624374,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,익선동,호텔 이비스앰배서더 인사동,0,중위험군,37.57168791,126.9884302,198977.9106,452460.6635,30.06805753,30.829585275714955,-0.7615277457149539,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,종로6가,(주) 동승 JW메리어트 동대문 스퀘어 서울,0,중위험군,37.56764454,127.0081243,200717.7489,452011.8647,34.13172046,34.24913052942674,-0.11741006942674659,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,인사동,도미인 익스프레스 서울 인사동,0,중위험군,37.56962018,126.9863919,198797.8158,452231.1937,40.74850581,32.83528828058999,7.913217529410005,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,효제동,더도아스테이,0,중위험군,37.57184081,127.0017557,200155.1023,452477.5722,24.44987108,30.243491047756056,-5.7936199677560545,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,케이스테이,1,저위험군,37.56874973,127.0101841,200899.709,452134.5456,24.7643374,24.467991504587417,0.29634589541258194,6.350622756845872,4.979576637458267,1.4336567589182707
종로구,창신동,오리지날 백패커스,1,저위험군,37.56968368,127.0117502,201038.0539,452238.2193,31.80805952,24.15396640264872,7.65409311735128,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(장충동,앰배서더 서울 풀만 호텔,1,저위험군,37.55742965,127.0016071,200141.9987,450878.1024,33.10607195,25.70625184454658,7.399820105453422,6.350622756845872,4.979576637458267,1.4336567589182707
성동구,성동,호텔 포코 성수,0,중위험군,37.54070199,127.0562547,204971.6457,449023.0195,43.2702304,36.73648773314718,6.533742666852824,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(회현동,루미아 호텔,1,저위험군,37.55527178,126.9789824,198142.881,450638.811,19.18754948,18.53760140784226,0.6499480721577413,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,0,중위험군,37.5619628,127.0069577,200614.7245,451381.25,29.76813948,29.104782131152337,0.6633573488476614,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,호텔 크레토,1,저위험군,37.55924412,126.9872993,198877.8237,451079.5617,7.095617712,19.327322916299483,-12.231705204299484,6.350622756845872,4.979576637458267,1.4336567589182707
중구,남창동,24게스트하우스 명동타운점,0,중위험군,37.55661038,126.9781102,198065.846,450787.3972,42.33502976,34.83676123038671,7.498268529613284,6.350622756845872,4.979576637458267,1.4336567589182707
중구,쌍림동,호텔 더 디자이너스 동대문,0,중위험군,37.56091185,127.004866,200429.9293,451264.5953,31.39745444,29.92678392290135,1.4706705170986503,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,솔라리아 니시테츠 호텔 서울 명동,0,중위험군,37.55974994,126.9843743,198619.3878,451135.7407,27.40122378,31.765119362266013,-4.363895582266014,6.350622756845872,4.979576637458267,1.4336567589182707
중구,태평로2가,24게스트하우스 서울시청점,1,저위험군,37.56195615,126.9755355,197838.5061,451380.7705,37.75795798,30.845068054231096,6.912889925768905,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,호텔 스카이파크 센트럴 명동점,0,중위험군,37.56189383,126.9844402,198625.2542,451373.6862,34.47167266,32.92503953316726,1.5466331268327451,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로5가,에이큐브 호텔,0,중위험군,37.56347491,127.0012488,200110.3357,451549.0543,34.3849298,31.49688981655116,2.8880399834488415,6.350622756845872,4.979576637458267,1.4336567589182707
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,0,중위험군,37.55930346,126.9779712,198053.6387,451086.3,21.95857565,29.09246996319396,-7.133894313193959,6.350622756845872,4.979576637458267,1.4336567589182707
중구,주교동,2U호스텔,0,중위험군,37.56586745,126.9974009,199770.3781,451814.6006,35.96093302,36.59565588259269,-0.6347228625926888,6.350622756845872,4.979576637458267,1.4336567589182707
중구,장교동,롯데시티호텔명동,1,저위험군,37.56418691,126.9872883,198876.9251,451628.1532,16.07173597,19.20489048335871,-3.1331545133587113,6.350622756845872,4.979576637458267,1.4336567589182707
중구,충무로2가,호텔 스카이파크3,0,중위험군,37.55856041,126.9865871,198814.8843,451003.6867,35.85209991,34.559195459269354,1.2929044507306457,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(남산동,자자백팩커스,0,중위험군,37.55605441,126.9856314,198730.397,450725.563,31.79717838,30.332426410770978,1.4647519692290203,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,서울 라이트 인 명동,1,저위험군,37.56145726,126.9845635,198636.1419,451325.2302,34.19667612,26.95750385078744,7.23917226921256,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(남산동,오요5,1,저위험군,37.55618747,126.9840552,198591.1338,450740.3535,24.66420989,23.649088463338064,1.0151214266619348,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(남산동,오요6(OYO6),0,중위험군,37.55655506,126.98442,198623.3695,450781.1462,22.5027131,30.069845310135296,-7.567132210135295,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로6가,케이스타호텔,0,중위험군,37.56374548,127.0058124,200513.5242,451579.0996,32.1453704,31.458431721886615,0.6869386781133819,6.350622756845872,4.979576637458267,1.4336567589182707
중구,주교동,엘림 호스텔,0,중위험군,37.56629135,127.0004515,200039.8861,451861.6455,25.4242058,29.218579242533387,-3.794373442533388,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로3가,로스터블록,0,중위험군,37.56339033,126.9926879,199353.9731,451539.6914,32.72696791,33.651439434341846,-0.9244715243418469,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(회현동,제이오너 호스텔,1,저위험군,37.55530397,126.9828408,198483.8116,450642.3144,20.46007534,19.599628011421295,0.8604473285787044,6.350622756845872,4.979576637458267,1.4336567589182707
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,36.57733318913319,1.1360972708668058,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(광희동,STAY ON,0,중위험군,37.5618116,127.0067525,200596.5994,451364.4672,36.36215535,35.201645609469615,1.1605097405303866,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로7가,라하 부티크 디디피,0,중위험군,37.56262124,127.0082658,200730.2962,451454.3384,23.15628176,29.818640771674303,-6.6623590116743046,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(회현동,호텔 블리스 I,1,저위험군,37.55681031,126.9831084,198507.4825,450809.496,21.11462608,18.422920330119965,2.691705749880036,6.350622756845872,4.979576637458267,1.4336567589182707
중구,서소문동,정동스테이25(JEONGDONG STAY 25),0,중위험군,37.56106147,126.9745929,197755.1957,451281.4936,25.27582847,28.57848921712987,-3.3026607471298703,6.350622756845872,4.979576637458267,1.4336567589182707
중구,소공동,크라운파크 호텔 서울 명동,0,중위험군,37.56101578,126.9799895,198232.0034,451276.3074,29.1958747,33.25165460886698,-4.0557799088669775,6.350622756845872,4.979576637458267,1.4336567589182707
중구,황학동,호스텔 소우재,0,중위험군,37.56418869,127.0203495,201797.8721,451628.4694,36.43836708,35.301661341680706,1.136705738319293,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(회현동,호텔블리스Ⅱ,1,저위험군,37.55663789,126.9831709,198513.0041,450790.3584,20.37654026,17.825970414880945,2.5505698451190533,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(회현동,보코 언 아이에이치지 호텔,1,저위험군,37.5557044,126.9778591,198043.6355,450686.8494,23.5381471,22.530448428330725,1.0076986716692744,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,유스테이호스텔(U-STAY HOSTEL),0,중위험군,37.56011013,126.9848633,198662.6016,451175.7104,32.39570051,32.20176811528612,0.19393239471387602,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,0,중위험군,37.56386326,127.0021197,200187.2712,451592.158,29.13096002,28.07225045777044,1.0587095622295593,6.350622756845872,4.979576637458267,1.4336567589182707
중구,남대문로2가,스탠포드호텔 명동,1,저위험군,37.56189911,126.98191,198401.7016,451374.3122,21.72224023,27.249970149378722,-5.5277299193787215,6.350622756845872,4.979576637458267,1.4336567589182707
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,39.90168313793731,2.6843310720626903,6.350622756845872,4.979576637458267,1.4336567589182707
중구,주교동,zip 1972 hostel,0,중위험군,37.56535668,126.9974748,199776.9002,451757.911,35.13298823,35.716186562634064,-0.583198332634062,6.350622756845872,4.979576637458267,1.4336567589182707
중구,충무로3가,스테이모드,0,중위험군,37.55941767,126.9897586,199095.1133,451098.7972,22.80810164,31.905464935255612,-9.097363295255612,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로5가,미리네 스테이,1,저위험군,37.56263589,127.0024066,200212.625,451455.935,9.876165929,18.238629879832494,-8.362463950832494,6.350622756845872,4.979576637458267,1.4336567589182707
중구,을지로7가,스테이 쉼,0,중위험군,37.56263015,127.0080449,200710.7766,451455.3256,24.41990182,30.496844122817656,-6.076942302817656,6.350622756845872,4.979576637458267,1.4336567589182707
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,45.34360475916882,-8.455139949168817,6.350622756845872,4.979576637458267,1.4336567589182707
중구,(남산동,더큐브 호텔,0,중위험군,37.55609169,126.9854119,198711.0046,450729.7036,29.89795809,29.536788487542132,0.361169602457867,6.350622756845872,4.979576637458267,1.4336567589182707
