건물유형코드,건물ID,건물관리번호,법정동코드,주소,지번,위도,경도,그리드ID,그리드행,그리드열,주부속구분,일반집합구분,건물용도코드,건물용도명,구조코드,구조명,건폐율,사용승인일,연면적,건축면적,높이,기타,용적률,지번코드,대장구분,건물식별번호,갱신일자,행정구역코드,예비1,예비2,지상층수,지하층수,총층수,생성일자
10363,1993192726314509146300000000,1144012400104870248,1144012400,서울특별시 마포구 연남동,487-248,37.56047959,126.91846431,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,11.0,벽돌구조,70.48,1993-07-07,187.83,117.84,0.0,59.81,106.9,29063,N,B00100000000PFW6K,2026-04-06,11440,,,3.0,1.0,4,2017-02-08
10366,1997192710184510831200000000,1144012400104870101,1144012400,서울특별시 마포구 연남동,487-101,37.56199752,126.91828006,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,21.0,철근콘크리트구조,130.38,1997-10-09,294.49,253.34,7.95,51.46,72.36,28977,N,B00100000000PGG32,2026-04-06,11440,,,3.0,1.0,4,2017-02-10
10409,1993193275644511124800000000,1144012400103900066,1144012400,서울특별시 마포구 연남동,390-66,37.56226637,126.92467978,YN_50000SQM_R06_C05,6,5,1,일반,01000,단독주택,11.0,벽돌구조,85.81,1993-12-07,312.13,165.13,10.2,51.97,137.95,28769,Y,B00100000000PH0QA,2026-04-06,11440,,,4.0,1.0,5,2021-11-30
10370,1991192673834510858300000000,1144012400104870168,1144012400,서울특별시 마포구 연남동,487-168,37.56202160,126.91786869,YN_50000SQM_R05_C02,5,2,1,일반,01000,단독주택,11.0,벽돌구조,117.81,1991-07-12,338.63,0.0,0.0,0.0,0.0,29021,N,B00100000000PFY3J,2026-04-06,11440,,,3.0,1.0,4,2017-02-08
10378,1975193140544510898000000000,1144012400102570022,1144012400,서울특별시 마포구 연남동,257-22,37.56206101,126.92315093,YN_50000SQM_R05_C05,5,5,1,일반,03000,제1종근린생활시설,11.0,벽돌구조,92.26,1975-07-01,223.56,192.1,10.5,48.02,76.46,28375,N,B00100000000PGPX6,2026-04-06,11440,,,3.0,1.0,4,2018-03-08
10380,0000192701734510948400000000,1144012400104870093,1144012400,서울특별시 마포구 연남동,487-93,37.56210304,126.91818434,YN_50000SQM_R05_C03,5,3,1,일반,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,B00100000000PF5PC,2026-04-06,11440,,,1.0,0.0,1,2014-09-15
10385,1969192673504510967700000000,1144012400104870312,1144012400,서울특별시 마포구 연남동,487-312,37.56212017,126.91786477,YN_50000SQM_R05_C02,5,2,1,일반,01000,단독주택,11.0,벽돌구조,44.96,1969-12-06,44.96,0.0,0.0,0.0,0.0,29101,N,B00100000000PGG21,2026-04-06,11440,,,2.0,0.0,2,2017-02-08
10486,1997192843814507462400000000,1144012400105700017,1144012400,서울특별시 마포구 연남동,570-17,37.55896329,126.91979592,YN_50000SQM_R04_C03,4,3,1,일반,01000,단독주택,21.0,철근콘크리트구조,94.77,1997-04-03,360.09,158.7,10.2,59.72,169.46,29551,N,B00100000000PD3EW,2026-04-06,11440,연남동다가구,,4.0,1.0,5,2017-02-11
10387,1978192855794510919700000000,1144012400105040044,1144012400,서울특별시 마포구 연남동,504-44,37.56207841,126.91992808,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,11.0,벽돌구조,93.69,1978-08-07,258.55,0.0,0.0,0.0,0.0,29231,N,B00100000000PFT9K,2026-04-06,11440,,,3.0,1.0,4,2017-02-09
10398,1991193275134511033400000000,1144012400103900067,1144012400,서울특별시 마포구 연남동,390-67,37.56218401,126.92467416,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,11.0,벽돌구조,53.97,1991-12-10,200.79,93.82,10.3,57.53,156.49,28770,N,B00100000000PGR0A,2026-04-06,11440,,,4.0,1.0,5,2019-07-09
10400,1992192672034511036500000000,1144012400104870087,1144012400,서울특별시 마포구 연남동,487-87,37.56218218,126.91784814,YN_50000SQM_R05_C02,5,2,1,일반,01000,단독주택,11.0,벽돌구조,59.15,1992-04-20,172.13,104.48,0.0,59.82,108.13,28972,N,B00100000000PGH0Z,2026-04-06,11440,,,3.0,1.0,4,2017-02-09
10511,1974192762354509220800000000,1144012400105620001,1144012400,서울특별시 마포구 연남동,562-1,37.56054699,126.91887219,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,11.0,벽돌구조,77.41,1974-09-12,133.17,239.0,2.4,32.39,50.77,29336,N,B00100000000PFWWB,2026-04-06,11440,,,3.0,1.0,4,2017-02-09
10517,1987192705574509245700000000,1144012400104870252,1144012400,서울특별시 마포구 연남동,487-252,37.56056900,126.91822952,YN_50000SQM_R05_C03,5,3,1,일반,02000,공동주택,11.0,벽돌구조,51.0,1987-06-26,153.0,102.32,0.0,49.84,99.69,29766,N,B00100000000PFU0C,2026-04-06,11440,,,3.0,1.0,4,2017-02-08
10519,1995193102584509229100000000,1144012400105670038,1144012400,서울특별시 마포구 연남동,567-38,37.56055709,126.92272288,YN_50000SQM_R05_C04,5,4,1,일반,01000,단독주택,11.0,벽돌구조,93.3,1995-12-20,279.9,157.5,7.6,59.24,118.48,29497,N,B00100000000PG7KA,2026-04-06,11440,,,3.0,1.0,4,2017-02-10
10520,1970192977154509230100000000,1144012400105660010,1144012400,서울특별시 마포구 연남동,566-10,37.56055702,126.92130332,YN_50000SQM_R05_C04,5,4,1,일반,01000,단독주택,11.0,벽돌구조,79.04,1970-08-22,145.15,0.0,0.0,0.0,0.0,29435,N,B00100000000PG96X,2026-04-06,11440,,,3.0,1.0,4,2017-02-11
10287,2002192813374507100700000000,1144012400105700008,1144012400,서울특별시 마포구 연남동,570-8,37.55863718,126.91945168,YN_50000SQM_R04_C03,4,3,1,일반,01000,단독주택,21.0,철근콘크리트구조,113.32,2002-12-18,307.7,192.7,11.8,58.81,159.68,29547,N,B00100000000PEYFU,2026-04-06,11440,,,5.0,0.0,5,2017-02-08
10326,1970192854874508920900000000,1144012400105620018,1144012400,서울특별시 마포구 연남동,562-18,37.56027751,126.91991964,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,11.0,벽돌구조,115.83,1970-10-20,236.62,0.0,0.0,0.0,0.0,29351,N,B00100000000PFGEC,2026-04-06,11440,,,2.0,1.0,3,2017-02-08
10327,1993192721844508952800000000,1144012400104870329,1144012400,서울특별시 마포구 연남동,487-329,37.56030519,126.91841391,YN_50000SQM_R05_C03,5,3,1,일반,01000,단독주택,11.0,벽돌구조,73.81,1993-09-17,199.68,123.12,6.1,59.95,107.41,29112,N,B00100000000PFU3F,2026-04-06,11440,,,3.0,1.0,4,2017-02-08
10332,2003193045764508978200000000,1144012400105670018,1144012400,서울특별시 마포구 연남동,567-18,37.56033063,126.92208008,YN_50000SQM_R05_C04,5,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,89.23,2003-12-12,309.15,149.1,11.3,59.85,189.74,29827,N,B00100000000PF1L4,2026-04-06,11440,,,5.0,0.0,5,2023-03-09
61122,2019193262954511729700000000,1144012400102290051,1144012400,서울특별시 마포구 연남동,229-51,37.56281118,126.92453557,YN_50000SQM_R06_C05,6,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,175.5,2019-12-02,779.18,295.14,16.6,59.46,197.85,100265163,N,B00200000000B0GX3,2026-04-06,11440,,,6.0,1.0,7,2019-12-03
10300,1995192782094507173300000000,1144012400105700002,1144012400,서울특별시 마포구 연남동,570-2,37.55870233,126.91909764,YN_50000SQM_R04_C03,4,3,1,일반,01000,단독주택,21.0,철근콘크리트구조,118.32,1995-12-18,470.52,197.4,11.0,59.94,179.82,29544,N,B00100000000PHQBL,2026-04-06,11440,,,4.0,1.0,5,2017-01-27
10305,1990192824814507199100000000,1144012400105700009,1144012400,서울특별시 마포구 연남동,570-9,37.55872595,126.91958114,YN_50000SQM_R04_C03,4,3,1,일반,01000,단독주택,11.0,벽돌구조,82.44,1990-12-29,247.32,0.0,0.0,0.0,0.0,29548,N,B00100000000PHZ5O,2026-04-06,11440,,,3.0,1.0,4,2017-02-09
10308,1970192805344507210700000000,1144012400105700007,1144012400,서울특별시 마포구 연남동,570-7,37.55873623,126.91936076,YN_50000SQM_R04_C03,4,3,1,일반,04000,제2종근린생활시설,11.0,벽돌구조,107.97,1970-12-24,217.33,198.3,0.0,54.45,54.45,29546,N,B00100000000PIDNL,2026-04-06,11440,M4M,,2.0,1.0,3,2019-06-26
10310,1993192870504507221000000000,1144012400105700031,1144012400,서울특별시 마포구 연남동,570-31,37.55874600,126.92009822,YN_50000SQM_R04_C03,4,3,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,129.96,1993-08-21,518.68,218.5,11.4,59.48,177.9,29562,N,B00100000000PHQ3D,2026-04-06,11440,,,4.0,1.0,5,2018-04-24
