그리드ID,그리드행,그리드열,건물수,숙박시설수,건물데이터_0여부,기준면적_m2,입체화재하중_분자,입체화재하중밀도,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
YN_50000SQM_R06_C04,6,4,94,8,N,50000.0,89775.776,1.79551552,37.56324275,126.92172647,192972.666,551414.363,193196.273,551637.97
YN_50000SQM_R06_C05,6,5,188,5,N,50000.0,104039.35,2.080787,37.56324440,126.92425737,193196.273,551414.363,193419.88,551637.97
YN_50000SQM_R06_C06,6,6,156,0,N,50000.0,78541.36,1.5708272,37.56324600,126.92678826,193419.88,551414.363,193643.487,551637.97
YN_50000SQM_R06_C07,6,7,0,0,Y,50000.0,0.0,0.0,37.56324754,126.92931916,193643.487,551414.363,193867.094,551637.97
YN_50000SQM_R06_C08,6,8,0,0,Y,50000.0,0.0,0.0,37.56324903,126.93185005,193867.094,551414.363,194090.7,551637.97
YN_50000SQM_R07_C01,7,1,0,0,Y,50000.0,0.0,0.0,37.56525216,126.91413148,192301.846,551637.97,192525.453,551861.577
YN_50000SQM_R07_C02,7,2,96,0,N,50000.0,35943.03,0.7188606,37.56525398,126.91666244,192525.453,551637.97,192749.06,551861.577
YN_50000SQM_R07_C03,7,3,108,0,N,50000.0,75611.776,1.51223552,37.56525573,126.91919340,192749.06,551637.97,192972.666,551861.577
YN_50000SQM_R07_C04,7,4,182,0,N,50000.0,75335.49,1.5067098,37.56525744,126.92172437,192972.666,551637.97,193196.273,551861.577
YN_50000SQM_R07_C05,7,5,144,0,N,50000.0,65518.53,1.3103706,37.56525909,126.92425533,193196.273,551637.97,193419.88,551861.577
YN_50000SQM_R07_C06,7,6,28,0,N,50000.0,9454.81,0.1890962,37.56526069,126.92678629,193419.88,551637.97,193643.487,551861.577
YN_50000SQM_R07_C07,7,7,0,0,Y,50000.0,0.0,0.0,37.56526223,126.92931726,193643.487,551637.97,193867.094,551861.577
YN_50000SQM_R07_C08,7,8,0,0,Y,50000.0,0.0,0.0,37.56526372,126.93184822,193867.094,551637.97,194090.7,551861.577
YN_50000SQM_R08_C01,8,1,0,0,Y,50000.0,0.0,0.0,37.56726685,126.91412917,192301.846,551861.577,192525.453,552085.184
YN_50000SQM_R08_C02,8,2,36,0,N,50000.0,18145.62,0.3629124,37.56726866,126.91666020,192525.453,551861.577,192749.06,552085.184
YN_50000SQM_R08_C03,8,3,30,0,N,50000.0,5382.75,0.107655,37.56727042,126.91919123,192749.06,551861.577,192972.666,552085.184
YN_50000SQM_R08_C04,8,4,5,0,N,50000.0,542.8,0.010856,37.56727213,126.92172226,192972.666,551861.577,193196.273,552085.184
YN_50000SQM_R08_C05,8,5,0,0,Y,50000.0,0.0,0.0,37.56727378,126.92425329,193196.273,551861.577,193419.88,552085.184
YN_50000SQM_R08_C06,8,6,0,0,Y,50000.0,0.0,0.0,37.56727537,126.92678432,193419.88,551861.577,193643.487,552085.184
YN_50000SQM_R08_C07,8,7,0,0,Y,50000.0,0.0,0.0,37.56727692,126.92931535,193643.487,551861.577,193867.094,552085.184
YN_50000SQM_R08_C08,8,8,0,0,Y,50000.0,0.0,0.0,37.56727840,126.93184638,193867.094,551861.577,194090.7,552085.184
