X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,용적률,건폐률,고유단속지점수_50m,로그_주변대비_상대위험도_고유단속지점_50m,원본행번호,필지키,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m
198630.79627088,452035.412646906,서울특별시 종로구 종로2가 9번지,11110,13800,0,9,0,서울YMCA관광호텔,1002124034,서울특별시 종로구 종로 69 (종로2가),13668.3,21.0,철근콘크리트구조,03000,제1종근린생활시설,8,1,19651026.0,,2,0,0.0,주소만일치,Y,Y,서울 YMCA,서울특별시 종로구 종로2가 9번지,서울특별시 종로구 종로 69 (종로2가),exact_name_gu_dong,100.0,438.95,77.71,37,0.6931471805599453,0,1111013800100090000,21,6,0.2857142857142857,4,0.6666666666666666,3,0.5,49.72940908053844,52.81587953456537,91.00068446269678,1975.8333333333333,189472.29,0.009104128102320398,0.003490484017478229,5.703931151956398,5.703931151956398,40,13,0.325,8,0.6153846153846154,7,0.5384615384615384,44.092665718949085,50.63381245722108,91.00068446269678,1981.5384615384614,290878.19,0.08276687915309153,0.07911026261542674,5.703931151956398,5.703931151956398
198586.86523867,452307.07147577,서울특별시 종로구 관훈동 198-11번지,11110,12800,0,198,11,호텔 썬비,1002117468,서울특별시 종로구 인사동7길 26 (관훈동),2070.85,21.0,철근콘크리트구조,15000,숙박시설,9,1,20031105.0,20020720.0,2,0,1.0,이름+주소일치,N,N,호텔 썬비,서울특별시 종로구 관훈동 198-11번지,서울특별시 종로구 인사동7길 26 (관훈동),exact_name_gu_dong,100.0,344.65,49.79,92,0.7304542329727559,1,1111012800101980011,12,5,0.4166666666666667,4,0.8,3,0.6,50.07200547570157,53.568788501026695,66.652977412731,1975.6,66026.4,0.08217682623920129,0.07496698290380818,30.386162893679664,30.386162893679664,47,27,0.574468085106383,25,0.9259259259259259,19,0.7037037037037037,53.94225162876771,56.51471594798083,70.53798767967146,1971.7407407407406,103822.79,0.4156142403801709,0.37994760109991266,30.386162893679664,30.386162893679664
198498.918632911,452473.403750001,서울특별시 종로구 관훈동 155-2번지,11110,12800,0,155,2,나인트리 바이 파르나스 서울 인사동,10021100217365,서울특별시 종로구 인사동길 49 (관훈동),45284.0,42.0,"철골철근콘크리트구조,철근콘크리트구조",15000,숙박시설,13,4,20190808.0,20170105.0,9,2,1.0,주소만일치,Y,N,안녕인사동 / 나인트리 파르나스(구.프리미어),서울특별시 종로구 관훈동 155-2번지,서울특별시 종로구 인사동길 49 (관훈동),exact_name_gu_dong,100.0,473.58,58.91,54,0.4895482253187058,2,1111012800101550002,17,6,0.35294117647058826,6,1.0,5,0.8333333333333334,56.65890942276979,58.82135523613963,62.27241615331965,1969.0,18089.06,1.0,0.15296759477828034,17.259000647543385,17.259000647543385,55,20,0.36363636363636365,17,0.85,11,0.55,49.74455852156058,56.421629021218344,68.12320328542094,1975.95,246822.209,0.5259437533030101,0.018412970285020015,17.259000647543385,17.259000647543385
201365.396263672,452247.733898196,서울특별시 종로구 숭인동 313-2번지,11110,17500,0,313,2,U-STAY HOSTEL,100217433,서울특별시 종로구 지봉로 24-12 (숭인동),860.28,21.0,철근콘크리트조,04000,근린생활시설,5,1,19960423.0,19950721.0,0,0,0.0,불일치,,,,,,,,293.93,59.81,1322,1.8643198527313989,4,1111017500103130002,5,5,1.0,5,1.0,4,0.8,54.45913757700206,57.58521560574949,57.58521560574949,1971.2,23976.55,1.0,0.46126527794866234,22.04267969645004,33.10313475414814,53,24,0.4528301886792453,22,0.9166666666666666,16,0.6666666666666666,53.201916495550996,57.58521560574949,70.69404517453799,1972.5416666666667,79175.48999999999,0.5348281393648464,0.15088141544813932,22.04267969645004,33.10313475414814
198988.983646221,452223.097221066,서울특별시 종로구 낙원동 134-2번지,11110,13700,0,134,2,목시 서울 인사동 호텔,10021100217845,서울특별시 종로구 돈화문로11길 37 (낙원동),5971.04,21.0,철근콘크리트구조,15000,숙박시설(관광호텔),16,3,20191017.0,20150407.0,2,1,1.0,주소만일치,Y,N,MOXY 관광호텔,서울특별시 종로구 낙원동 134-2번지,서울특별시 종로구 돈화문로11길 37 (낙원동),exact_name_gu_dong,100.0,833.0,59.32,1902,1.7926362777015894,5,1111013700101340002,27,17,0.6296296296296297,13,0.7647058823529411,7,0.4117647058823529,44.565124612473326,43.2498288843258,69.88364134154689,1981.1176470588234,33885.89,0.6773305939433788,0.17829043297962663,7.386264353877805,7.386264353877805,65,41,0.6307692307692307,30,0.7317073170731707,18,0.43902439024390244,46.10033221482112,43.2498288843258,87.28542094455852,1979.6341463414635,86140.65000000001,0.37649913252337885,0.1460752850135215,7.386264353877805,7.386264353877805
200280.218939597,452611.575936538,서울특별시 종로구 이화동 105-2번지,11110,16500,0,105,2,글루호텔,10021100217665,서울특별시 종로구 율곡로 228 (이화동),1843.53,21.0,철근콘크리트구조,15000,숙박시설,13,2,20190924.0,20160520.0,1,1,1.0,이름+주소일치,Y,N,글루호텔(glue hotel),서울특별시 종로구 이화동 105-2번지,서울특별시 종로구 율곡로 228 (이화동),exact_name_gu_dong,100.0,505.8,48.02,21,0.058188157683169,6,1111016500101050002,7,6,0.8571428571428571,4,0.6666666666666666,3,0.5,45.397672826830934,50.625598904859686,59.81930184804928,1980.1666666666667,5187.2,0.3707356570018507,0.2287900987045034,37.92967514101141,37.92967514101141,72,30,0.4166666666666667,20,0.6666666666666666,12,0.4,44.36970111795574,46.23956194387406,69.45653661875428,1981.1666666666667,20401.630000000005,0.6741569178541125,0.33619568632506325,37.92967514101141,37.92967514101141
197769.253723172,452117.73988487,서울특별시 종로구 당주동 20-1번지,11110,11700,0,20,1,SOUNDS INN GWANGHWAMUN,100214699,서울특별시 종로구 새문안로9길 25 (당주동),715.9,21.0,"철근콘크리트조, 연와조",04000,"제1,2종근린생활시설",5,0,19630611.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,12,0.035612071788877,7,1111011700100200001,7,3,0.42857142857142855,2,0.6666666666666666,0,0.0,38.96235455167693,46.83367556468173,46.83367556468173,1987.0,10765.490000000002,0.9138264955891464,0.0,16.724622948785594,,32,13,0.40625,12,0.9230769230769231,8,0.6153846153846154,52.71373663981467,57.4757015742642,67.45242984257358,1973.076923076923,52198.61,0.9822274960961603,0.13039715042220473,16.724622948785594,51.9675198837273
199893.409361955,452037.93796291,서울특별시 종로구 종로4가 167-1번지,11110,16100,0,167,1,진가,100217744,서울특별시 종로구 종로 198 (종로4가),270.48,21.0,철근콘크리트조,15000,"영업용, 관광숙박시설(호스텔)",5,0,19670520.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,159,0.6931471805599453,8,1111016100101670001,55,42,0.7636363636363637,36,0.8571428571428571,29,0.6904761904761905,57.89472311854243,58.60232717316906,93.41273100616016,1967.8333333333333,13205.679999999998,0.9224280764034871,0.645532831327126,5.420210743674538,5.420210743674538,185,121,0.654054054054054,96,0.7933884297520661,80,0.6611570247933884,57.555664918741265,58.5242984257358,95.40041067761807,1968.1652892561983,38342.54,0.8223174573202505,0.5488681761823813,5.420210743674538,5.420210743674538
199177.064296757,452360.626823417,서울특별시 종로구 묘동 121번지,11110,15100,0,121,0,킴스텔코리아 종로점,100214703,서울특별시 종로구 돈화문로 56-1 (묘동),744.99,21.0,"철근콘크리트조, 연와조",15000,"숙박시설, 근린생활시설",6,0,19651111.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,146,0.698324068739479,9,1111015100101210000,36,19,0.5277777777777778,14,0.7368421052631579,9,0.47368421052631576,44.37076263554163,48.24366872005476,65.84531143052703,1981.3684210526317,47295.36,0.2307410282953761,0.1642427502401927,9.800602538170136,9.800602538170136,125,58,0.464,42,0.7241379310344828,28,0.4827586206896552,45.60173711912011,46.741957563312795,100.28473648186174,1980.0862068965516,71512.45999999999,0.3129731518115864,0.186164620822721,9.800602538170136,9.800602538170136
199243.960959498,452293.899531079,서울특별시 종로구 봉익동 10-1번지,11110,15200,0,10,1,포레스트 스테이 종로,1002112483,서울특별시 종로구 율곡로10길 105 (봉익동),1931.23,21.0,철근콘크리트구조,03000,"근린생활시설,숙박시설",5,0,20070207.0,20040518.0,1,0,0.0,불일치,,,,,,,,268.79,58.18,95,0.3761947258080512,11,1111015200100100001,18,9,0.5,8,0.8888888888888888,7,0.7777777777777778,60.41919537607422,58.392881587953454,100.28473648186174,1965.2222222222222,11778.769999999999,0.7020317061968271,0.4937408574919113,21.296545187844597,21.296545187844597,77,34,0.44155844155844154,29,0.8529411764705882,27,0.7941176470588235,55.00978379031284,58.43394934976044,100.28473648186174,1970.6176470588234,58965.09,0.3563856173203501,0.3058436780135501,21.296545187844597,21.296545187844597
