TOT_OA_CD,전체건물수
11020670010203,1
11020670010204,1
11020670010205,1
11020670010206,1
11020670010301,5
11020670010401,4
11020670011001,3
11020670011101,2
11020680010101,20
11020680020001,107
11020680020002,46
11020680020003,96
11020680020004,113
11020680020005,203
11020680020006,44
11020680020008,10
11020680020009,86
11020680020010,17
11020680020101,10
11020680020102,9
11020680020103,9
11020680020104,10
11020680020401,7
11020680020601,63
11020680020801,4
11020680020901,2
11020680020902,11
11020680020903,51
11020680020904,2
11020680020905,5
11020680020906,5
11020680020907,7
11020680021001,15
11020690010001,77
11020690010301,4
11020690010302,21
11020690010401,26
11020690020001,259
11020690030001,149
11020690030002,83
11020690030003,163
11020690030004,218
11020690030005,82
11020690030006,54
11020690030007,56
11020690030008,96
11020690030009,111
11020690030010,129
11020690030011,61
11020690030012,44
11020690030013,110
11020690030014,85
11020700010001,56
11020700010002,63
11020700010003,125
11020700010004,158
11020700010005,68
11020700010006,42
11020700010007,31
11020700010008,63
11020700010009,76
11020700020001,53
11020700020002,94
11020700020003,30
11020700020004,67
11020700020005,100
11020700020006,62
11020700020007,82
11020700020008,61
11020700020009,99
11020700020010,92
11020700020011,93
11020700020012,60
11020700020013,32
11020700020014,49
11020700020015,35
11020700020016,55
11020700020017,90
11020710010001,61
11020710010002,89
11020710010003,26
11020710010004,28
11020710010005,35
11020710020001,133
11020710020002,71
11020710020101,5
11020710020102,4
11020710020103,13
11020710020104,6
11020710020105,10
11020710020106,2
11020710020107,10
11020710020108,9
11020710020109,12
11020710020110,5
11020710020111,20
11020710020112,11
11020710020113,13
11020710020114,10
11020710020115,4
11020710020116,12
11020710020117,22
11020710020118,3
11020710020119,6
11020710020120,13
11020710020121,17
11020710020201,3
11020710020601,18
11020720010001,84
11020720010002,85
11020720010003,69
11020720010004,72
11020720010005,45
11020720010006,56
11020720010007,145
11020720010008,72
11020720010009,154
11020720010101,3
11020720010102,4
11020720010103,7
11020720010104,12
11020720010105,9
11020720010106,2
11020720010107,5
11020720010108,8
11020720010109,7
11020720010110,10
11020720010201,10
11020720010202,6
11020720010203,5
11020720010204,6
11020720010205,6
11020720010206,8
11020720010207,7
11020730010001,85
11020730010002,62
11020730010003,88
11020730010004,60
11020730010005,42
11020730010006,84
11020730010007,93
11020730010008,12
11020730010101,86
11020730010102,1
11020730010103,88
11020730010104,42
11020730010105,62
11020730010201,6
11020730010202,2
11020730010203,2
11020730010204,4
11020730010205,2
11020730010301,6
11020730010302,7
11020730010303,6
11020730010401,2
11030510010001,50
11030510010002,64
11030510010003,38
11030510010004,59
11030510010005,104
11030510010006,86
11030510010007,139
11030510010008,69
11030510010009,121
11030510010010,52
11030510010011,136
11030510010012,46
11030510010013,80
11030510010014,124
11030510010015,51
11030510010016,33
11030510010017,100
11030510010018,46
11030510010019,54
11030510010020,86
11030510010021,89
11030510010022,71
11030510010023,81
11030510010024,70
11030510010025,59
11030510010026,48
11030510010027,63
11030510010028,61
11030510010029,75
11030510010030,65
11030510010031,83
11030510010201,6
11030510011501,19
11030520010001,75
11030520010002,74
11030520010003,94
11030520010004,37
11030520010005,74
11030520010006,82
11030520010007,83
11030520010008,50
11030520010009,64
11030520010010,70
11030520010011,685
11030520010012,81
11030520010013,120
11030520010014,62
11030520010015,72
11030520010016,101
11030520010017,65
11030520010018,67
11030520010019,27
11030520010020,81
11030520010021,83
11030530010001,72
11030530010002,100
11030530010003,102
11030530010004,108
11030530010005,79
11030530010006,490
11030530010007,111
11030530010008,102
11030530010009,160
11030530010010,1
11030530010011,209
11030530010012,77
11030530010013,44
11030530010101,5
11030570010001,72
11030570010002,27
11030570010003,99
11030570010004,76
11030570010005,106
11030570010006,66
11030570010007,68
11030570010008,44
11030570010009,90
11030570010010,64
11030570010011,136
11030570010012,168
11030570010013,3
11030570010201,16
11030570010301,8
11030570010302,7
11030570010303,5
11030570010304,11
11030570010305,9
11030570010306,6
11030570010307,6
11030570010401,8
11030570010501,12
11030570010701,6
11030570020001,80
11030570020101,8
11030570020201,2
11030570020202,7
11030570020203,3
11030580010001,19
11030580010002,2
11030580010201,12
11030580020001,92
11030580020002,31
11030580020003,32
11030580020004,95
11030580020005,27
11030580020006,18
11030580020007,35
11030580020008,45
11030580020009,45
11030580020010,39
11030580020011,36
11030580020012,75
11030580020013,37
11030580020201,5
11030580020301,68
11030580020302,59
11030580020501,24
11030580020502,14
11030580020601,13
11030590010001,58
11030590010002,65
11030590010003,178
11030590010004,29
11030590010005,42
11030590010006,63
11030590010007,98
11030590010008,81
11030590010009,71
11030590010010,33
11030590010011,62
11030590010012,31
11030590010101,3
11030590010102,2
11030590010103,5
11030590010104,5
11030590010105,2
11030590010106,8
11030590010107,6
11030590010108,7
11030590010201,3
11030590010202,1
11030590010501,7
11030630010001,47
11030630010002,12
11030630010003,7
11030630010004,38
11030630010005,4
11030630010007,95
11030630010101,2
11030630010102,7
11030630010103,6
11030630010104,3
11030630010105,4
11030630010106,9
11030630010107,4
11030630010108,1
