변수,VIF,판정,사용행수
주변_노후연면적비율_30년이상_100m,2.0420695586224333,양호,3642
주변_노후연면적비율_30년이상_50m,2.0219514456346492,양호,3642
반경_50m_건물수,1.0706242019563563,양호,3642
공식도로폭m,1.0305446607592232,양호,3642
노후도_점수,1.0300493679218343,양호,3642
소방접근성_점수,1.0287455563442205,양호,3642
로그_주변대비_상대위험도_고유단속지점_50m,1.0163905419495087,양호,3642
집중도(%),1.0121529031844503,양호,3642
