숙소ID,구,동,업소명,주소,위도,경도,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드
28,종로구,창신동,동대문인순,서울특별시 종로구 창신동 465번지,37.56877711,127.01021919,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,31,91,1723,350,1507.0,3101011
29,종로구,권농동,스테이 종로 온당,서울특별시 종로구 권농동 134-1번지,37.57416521,126.99046732,삼일대로30길,폭6-8m,6m미만,API,교차,6.31,6.0,0.85,1.22,54,114,999,200,1302.0,4100145
30,종로구,,편안정,서울특별시 종로구 종로6가 49번지,37.56925877,127.006942,청계천로,폭25-30m,폭25-30m,공식만,교차,20.52,25.0,0.18,0.98,64,124,817,464,1513.0,3100021
31,종로구,낙원동,소락방 주식회사,서울특별시 종로구 낙원동 98-1번지,37.57009871,126.98769431,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,49,109,2584,214,687.0,3100013
32,종로구,연지동,스테이누아 종로,서울특별시 종로구 연지동 258-4번지,37.56957912,126.99966041,종로,폭35-40m,6m미만,API,교차,12.77,35.0,0.08,0.95,76,136,2584,214,687.0,3100013
33,종로구,관철동,1996 종로인,서울특별시 종로구 관철동 7-11번지,37.56632523,126.98626896,을지로,폭30-35m,6m미만,API,교차,8.57,30.0,0.12,0.96,86,146,1605,584,1516.0,3101006
34,종로구,관수동,THE EXTAY LOUNGE,서울특별시 종로구 관수동 13-2번지,37.56665459,126.98850671,을지로9길,폭10-12m,폭8-10m,API,교차,4.06,11.0,0.55,1.08,80,140,1480,248,536.0,4103264
35,종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,서울특별시 종로구 관철동 11-24번지,37.56594442,126.98577426,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,86,146,1723,350,1507.0,3101011
36,종로구,견지동,더프리마호텔 종로,서울특별시 종로구 견지동 65-1번지,37.57038151,126.98267937,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,97,157,2584,214,687.0,3100013
37,종로구,숭인동,서울앤호텔 동대문,서울특별시 종로구 숭인동 202-13번지,37.5705788,127.02004352,난계로21길,6m미만,6m미만,API,교차,20.73,4.0,1.0,1.3,116,176,1986,158,1574.0,4103008
38,종로구,와룡동,클래식 아파트먼트 익선,서울특별시 종로구 와룡동 116-1번지,37.57389547,126.9897488,돈화문로11다길,6m미만,6m미만,API,교차,8.96,3.0,1.0,1.3,58,118,515,294,1898.0,4100053
39,종로구,효제동,하우스 오손 종묘점,서울특별시 종로구 효제동 245-11번지,37.56890164,127.00203539,무교로,폭20-25m,폭20-25m,공식만,교차,0.0,20.0,0.25,1.0,107,167,1435,678,1512.0,3005002
40,종로구,관수동,HELLO HOSTEL,서울특별시 종로구 관수동 87번지,37.56619998,126.99118829,을지로,폭30-35m,6m미만,API,교차,0.0,30.0,0.12,0.96,55,115,1605,584,1516.0,3101006
41,종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,서울특별시 종로구 청진동 11-6번지,37.56915801,126.9800544,청계천로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,129,189,1707,422,1513.0,3100021
42,종로구,숭인동,브릭 스테이 (BRIC STAY),서울특별시 종로구 숭인동 178-90번지,37.57248011,127.01971336,난계로27길,폭6-8m,6m미만,API,교차,13.24,7.0,0.85,1.22,89,149,1203,268,746.0,4100028
43,종로구,충신동,연경당,서울특별시 종로구 충신동 148번지,37.57203715,127.00395269,대학로2길,6m미만,6m미만,API,교차,14.55,4.0,1.0,1.3,130,190,1016,246,1418.0,4100038
44,종로구,숭인동,호텔 DM,서울특별시 종로구 숭인동 217-19번지,37.57059843,127.01860129,무교로,폭20-25m,폭20-25m,공식만,교차,0.0,20.0,0.25,1.0,82,142,1435,678,1512.0,3005002
45,종로구,원남동,오라카이 대학로 호텔,서울특별시 종로구 원남동 49-17번지,37.57297519,126.99797784,창경궁로,폭25-30m,폭25-30m,공식만,교차,18.73,28.0,0.18,0.98,62,122,376,703,390.0,3005008
46,종로구,창신동,D-STAY HOSTEL,서울특별시 종로구 창신동 444-5번지,37.56798355,127.00952148,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,30,90,1723,350,1507.0,3101011
47,종로구,돈의동,더 메이 호텔,서울특별시 종로구 돈의동 76-2번지,37.56923344,126.98879056,수표로,폭12-15m,6m미만,API,교차,0.0,14.0,0.45,1.04,49,109,1025,196,1902.0,3005006
48,종로구,숭인동,루나하우스,서울특별시 종로구 숭인동 1142번지,37.57353634,127.0219178,난계로27길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,68,128,1203,268,746.0,4100028
49,종로구,익선동,엠제이호텔,서울특별시 종로구 익선동 33-7번지,37.57227399,126.98806987,종로17길,폭8-10m,폭6-8m,API,교차,13.66,9.0,0.7,1.14,55,115,865,214,842.0,4100310
50,종로구,익선동,킹스가든,서울특별시 종로구 익선동 89번지,37.57179889,126.98893263,종로17길,폭8-10m,폭6-8m,API,교차,23.75,9.0,0.7,1.14,42,102,865,214,842.0,4100310
51,종로구,관철동,수레지던스,서울특별시 종로구 관철동 19-16번지,37.56655068,126.98415388,남대문로10길,폭10-12m,폭6-8m,API,교차,19.18,10.0,0.55,1.08,117,177,2124,169,1225.0,4103012
