대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 서초구 방배동 1-62번지,11650,10100,0,1,62,102316025,2,집합,3,표제부,서울특별시 서초구 동광로27길 38 (방배동),프레스턴,,,,0,116504163122.0,10101.0,0.0,38.0,,,0,주건축물,1729.0,797.26,46.11,6403.89,4112.81,237.87,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"공동주택,아파트",90.0,기타지붕,경사(박공)지붕,17,0,19.5,6,2,2,0,0,0.0,6403.89,0,0.0,0,0.0,54,1865.01,0,0.0,20030626,20030629,20050126,2003.0,3210081.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 12-90번지,11650,10100,0,12,90,10231100257663,2,집합,3,표제부,서울특별시 서초구 방배로40길 15-19 (방배동),서래아트리움 비동,,,,0,116504163275.0,10101.0,0.0,15.0,19.0,,0,주건축물,235.0,140.28,59.69,468.51,468.51,199.37,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,공동주택,10.0,(철근)콘크리트,철근콘크리트,8,0,15.39,5,0,1,0,0,0.0,468.51,0,0.0,0,0.0,7,80.5,0,0.0,20151217,20160720,20170414,2015.0,3210141.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 서초구 방배동 432-8번지,11650,10100,0,432,8,10231902,1,일반,2,일반건축물,서울특별시 서초구 청두곶길 64-4 (방배동),릴리하우스,,,,0,116504163574.0,10101.0,0.0,64.0,4.0,,0,주건축물,0.0,83.52,0.0,329.55,246.03,0.0,11.0,벽돌구조,연와조,01000,단독주택,다가구주택(6가구),10.0,(철근)콘크리트,콘크리트지붕아스팔트슁글,0,6,0.0,3,1,0,0,0,0.0,329.55,0,0.0,0,0.0,0,0.0,0,0.0,19920106,,19921205,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 459-16번지,11650,10100,0,459,16,102311288,1,일반,2,일반건축물,서울특별시 서초구 청두곶8길 38-11 (방배동),,,,,0,116504163572.0,10101.0,0.0,38.0,11.0,,0,주건축물,65.5,38.43,58.67,99.57,65.82,100.49,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,다가구형단독주택,10.0,(철근)콘크리트,평스라브,0,3,6.9,2,1,0,0,0,0.0,99.57,0,0.0,0,0.0,0,0.0,0,0.0,19900509,19901106,19981012,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 798-6번지,11650,10100,0,798,6,10231100283475,2,집합,3,표제부,서울특별시 서초구 방배로34길 97 (방배동),방배하이빌11차,,,,0,116504163269.0,10101.0,0.0,97.0,,,0,주건축물,276.1,165.51,59.95,551.27,551.27,199.66,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,평스라브,8,0,16.1,5,0,1,0,0,0.0,551.27,0,0.0,0,0.0,3,131.14,4,46.0,20180920,20200225,20201021,2018.0,3210141.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,0.203G / Ⅶ
서울특별시 서초구 방배동 862-8번지,11650,10100,0,862,8,10231100249354,2,집합,3,표제부,서울특별시 서초구 도구로 120-3 (방배동),리움캐슬,,,,0,116503121003.0,10101.0,0.0,120.0,3.0,,0,주건축물,343.5,205.98,59.97,650.07,650.07,189.25,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,(철근)콘크리트,20,0,13.7,5,0,1,0,0,0.0,650.07,0,0.0,0,0.0,10,0.0,0,0.0,20151230,20160107,20160701,2015.0,3210141.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 870-20번지,11650,10100,0,870,20,10231100227594,2,집합,3,표제부,서울특별시 서초구 서초대로15길 16 (방배동),해오름빌,,,,0,116504163385.0,10101.0,0.0,16.0,,,0,주건축물,213.6,128.07,59.96,419.86,419.86,196.56,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,평스라브,7,0,14.125,5,0,1,0,0,0.0,419.86,0,0.0,0,0.0,6,0.0,0,0.0,20130711,20130712,20140411,2013.0,3210134.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 891-22번지,11650,10100,0,891,22,102317126,2,집합,3,표제부,서울특별시 서초구 서초대로30길 27-5 (방배동),,,,,0,116504163399.0,10101.0,0.0,27.0,5.0,,0,주건축물,162.63,80.94,49.77,243.18,153.78,94.56,11.0,벽돌구조,시멘트벽돌조,02000,공동주택,공동주택,10.0,(철근)콘크리트,스라브,3,0,9.08,2,1,0,0,0,0.0,243.18,0,0.0,0,0.0,0,0.0,0,0.0,19870305,,19880317,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 900-36번지,11650,10100,0,900,36,102313934,1,일반,2,일반건축물,서울특별시 서초구 서초대로28길 47 (방배동),,,,,0,116504163396.0,10101.0,0.0,47.0,,,0,주건축물,156.5,92.7,59.23,278.1,185.4,118.46,11.0,벽돌구조,연와조,01000,단독주택,다가구용단독주택(5가구),10.0,(철근)콘크리트,평스라브,0,5,7.6,2,1,0,0,0,0.0,278.1,0,0.0,0,0.0,0,0.0,2,0.0,19921123,19930215,19930525,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198147,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,112동,1,부속건축물,0.0,0.0,0.0,169.82,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,노인정,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,2,0,0,0,0.0,169.82,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
