cluster,cluster_label,구,동,숙소명,위도,경도,x_5181,y_5181,최종_화재위험점수,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,local_R2,residual,coef_intercept,tval_intercept,bw_intercept,coef_승인연도,tval_승인연도,bw_승인연도,coef_소방위험도_점수,tval_소방위험도_점수,bw_소방위험도_점수,coef_주변건물수,tval_주변건물수,bw_주변건물수,coef_집중도,tval_집중도,bw_집중도,coef_단속위험도,tval_단속위험도,bw_단속위험도,coef_구조노후도,tval_구조노후도,bw_구조노후도,coef_도로폭위험도,tval_도로폭위험도,bw_도로폭위험도,coef_최근접_소화용수_거리등급,tval_최근접_소화용수_거리등급,bw_최근접_소화용수_거리등급,coef_총층수,tval_총층수,bw_총층수,coef_연면적,tval_연면적,bw_연면적,z_승인연도,contrib_승인연도,z_소방위험도_점수,contrib_소방위험도_점수,z_주변건물수,contrib_주변건물수,z_집중도,contrib_집중도,z_단속위험도,contrib_단속위험도,z_구조노후도,contrib_구조노후도,z_도로폭위험도,contrib_도로폭위험도,z_최근접_소화용수_거리등급,contrib_최근접_소화용수_거리등급,z_총층수,contrib_총층수,z_연면적,contrib_연면적
0,저위험군,서초구,잠원동,Choice Guesthouse(초이스 게스트하우스),37.50860686,127.01897163,201677.38224674884,445459.5431596829,33.6679229829494,2004,0.5682,26,100.0,1.6756641976853914,0.1293,0.85,0,7,4.276666119016055,,-7.105427357601002e-15,28.80971589652672,2.6842999767144936e+16,74.0,-3.4524763908068686e-16,-0.37434664101101606,182.0,1.8968557008132174,2269025056311391.5,184.0,0.6072991995971322,865549888758105.8,212.0,1.696131583904195,2243250636873304.5,172.0,1.9164500371977504,2931827967128156.5,204.0,5.161652591193667,5472275750456687.0,146.0,5.0836864503645245,5358298035922055.0,142.0,2.6436263598660297,3197275606927184.0,178.0,0.08318125907001366,73246194633275.39,116.0,1.2108168087525653,1115458250648204.5,110.0,0.7596234857925656,-2.6225821506012493e-16,1.6307111199256763,3.093223684210525,0.3759058760719236,0.22828733766233797,1.1203783414815698,1.90030909090909,0.7878738949834438,1.5099209553481574,-0.8095363608303474,-4.1785454545454535,0.9016542065450553,4.583727272727274,-0.5983516452371672,-1.5818181818181822,0.33555553414608164,0.02791193181818203,-0.598612064723461,-0.7248095498892451
0,저위험군,용산구,후암동,라운드 하우스,37.54417115,126.9824605,198449.9759712121,449406.7114837811,27.18525445360588,2000,0.2984,44,68.2,0.1275133202989596,0.1351,1.0,0,4,3.871201010907891,,3.552713678800501e-15,28.80971589652671,2.693157060552735e+16,74.0,-4.715246982164868e-18,-0.004842116914455066,182.0,1.8968557008132183,2336031981733731.0,184.0,0.607299199597132,876108461453741.4,212.0,1.696131583904195,2118312461202511.8,172.0,1.9164500371977495,3131626871346058.5,204.0,5.161652591193668,5546227903022387.0,146.0,5.083686450364524,5144102156679889.0,142.0,2.643626359866029,3144908538583389.0,178.0,0.08318125907001499,79031113286996.08,116.0,1.2108168087525633,1088168602549745.1,110.0,0.5405252663571467,-2.5487101309743977e-18,-0.08484724609633831,-0.16094298245614141,1.6990945598450948,1.0318587662337673,-0.19201983630375324,-0.32569090909090925,-1.1649384408145227,-2.2325463182320804,-0.77957179736272,-4.023878787878789,1.3147402653537024,6.683727272727275,-0.5983516452371672,-1.5818181818181818,-0.22797284380917002,-0.018963068181818633,-0.8227563633265822,-0.9962072342239567
0,저위험군,용산구,동자동,서정여인숙,37.55041744,126.97370561,197676.471061352,450100.1546344696,37.34518228088065,1960,0.1761,28,42.9,2.0386023577929224,0.4729,0.55,1,1,5.125213198803691,,0.0,28.80971589652672,2.7316952940622776e+16,74.0,2.017598519226282e-16,0.21094776056911063,182.0,1.8968557008132172,2470466290524707.5,184.0,0.6072991995971317,876046530578025.0,212.0,1.6961315839041942,2145788817184225.0,172.0,1.9164500371977498,3125915310948128.5,204.0,5.161652591193667,5480952833348253.0,146.0,5.0836864503645245,5076081265662021.0,142.0,2.6436263598660292,3281697027949196.0,178.0,0.08318125907001486,78104972731526.34,116.0,1.2108168087525637,1085522137119715.5,110.0,-1.6504569279970416,-3.3299594539735893e-16,-0.8625076914799275,-1.6360526315789479,0.5229268409356093,0.31757305194805213,-1.2361605249191205,-2.096690909090908,1.245678186892193,2.3872800076059684,0.9656057094242756,4.98412121212121,0.07548208892776191,0.3837272727272733,1.6712580435934672,4.418181818181819,-0.7915012217644217,-0.06583806818181966,-0.12952856967710447,-0.15683536937871573
0,저위험군,영등포구,영등포동,대성 여인숙,37.51724897,126.90746112,191819.09015907525,446422.56173355656,32.98331820585961,1964,0.1433,31,64.5,1.407347770317723,0.4658,0.7,0,1,5.1298987149230735,,7.105427357601002e-15,28.809715896526715,2.7016553035784776e+16,74.0,2.621676659747229e-15,2.560047306617829,182.0,1.8968557008132187,2327884809657960.5,184.0,0.6072991995971324,846679922204937.8,212.0,1.6961315839041962,1909526066834527.5,172.0,1.9164500371977493,2883920923542339.5,204.0,5.16165259119367,5193746899709031.0,146.0,5.083686450364525,5053214885060521.0,142.0,2.64362635986603,3167919421475129.5,178.0,0.0831812590700085,54876510936610.91,116.0,1.2108168087525675,915278731588853.9,110.0,-1.4313587085616228,-3.752559717961943e-15,-1.0710707545100315,-2.031666666666669,0.7434582882311378,0.45150162337662414,-0.3447202532158821,-0.5846909090909097,0.4494239177141844,0.8612984838209069,0.9289249506966626,4.794787878787881,0.4885681477364085,2.4837272727272737,-0.5983516452371672,-1.5818181818181827,-0.7915012217644217,-0.06583806818181462,-0.12693837953948015,-0.15369912362221555
0,저위험군,마포구,성산동,파라다이스 인 마포,37.56086449,126.91013341,192059.96050715967,451263.1236808475,35.42160617792871,1991,0.571,18,88.9,0.3949109204294741,0.4183,0.7,0,4,4.859812404361672,,0.0,28.80971589652672,3.077432683634866e+16,74.0,1.833243678705805e-15,1.8869226405097301,182.0,1.8968557008132183,2359209434987724.0,184.0,0.607299199597132,879835781435543.4,212.0,1.6961315839041962,1955274866964703.5,172.0,1.9164500371977498,3010446900444856.5,204.0,5.161652591193668,5245007317129639.0,146.0,5.083686450364524,4916443164166739.0,142.0,2.643626359866029,3296745924525031.0,178.0,0.08318125907000964,55370207114218.39,116.0,1.2108168087525668,922075123628588.8,110.0,0.04755427262745433,8.717856968973315e-17,1.6485152838428798,3.126995614035087,-0.21217798338281915,-0.12885551948051963,0.6622770907451836,1.1233090909090913,-0.8276474572773279,-1.586145000285758,0.6835255085048856,3.5281212121212127,0.4885681477364085,2.483727272727273,-0.5983516452371672,-1.5818181818181818,-0.22797284380917002,-0.018963068181817415,-0.27624421481973954,-0.33448113862439555
0,저위험군,송파구,잠실동,마쯔&2060,37.50826138,127.08384404,207413.1302786916,445424.332769334,41.44146989498448,1986,0.4028,43,97.7,0.7663976422995379,0.4272,1.0,0,6,6.278971604245476,,-7.105427357601002e-15,28.809715896526722,2.599297264888291e+16,74.0,-4.626570667245899e-16,-0.4928775188512295,182.0,1.8968557008132174,2371938985065420.0,184.0,0.6072991995971315,840024992272110.0,212.0,1.6961315839041942,2244335717959289.8,172.0,1.9164500371977506,2884566087684405.0,204.0,5.16165259119367,5219967638554738.0,146.0,5.083686450364523,5109548819632322.0,142.0,2.6436263598660297,3183455547211656.0,178.0,0.0831812590700125,73716765502640.61,116.0,1.2108168087525637,1182288905669430.2,110.0,-0.22631850166681922,1.0470785412667479e-16,0.5789937228165538,1.0982675438596479,1.625584077413252,0.9872159090909094,1.0254564606983547,1.7393090909090894,-0.3590601486051307,-0.6881208351505326,0.7295056145155555,3.765454545454548,1.3147402653537024,6.683727272727274,-0.5983516452371672,-1.5818181818181822,0.14771274149433108,0.01228693181818174,0.5082781450654539,0.6154317215668255
0,저위험군,종로구,숭인동,메종호텔,37.57469579,127.02185517,201930.62640681124,452794.6649681688,36.76349610246915,1958,0.1531,12,58.3,2.3175244888207174,0.8984,0.08,0,1,4.9624949187683205,,-7.105427357601002e-15,28.809715896526704,2.787299900120461e+16,74.0,-4.692116537703575e-16,-0.4747112414160322,182.0,1.8968557008132167,2170265224747026.0,184.0,0.6072991995971317,850763106007897.8,212.0,1.6961315839041946,2054608835558770.0,172.0,1.91645003719775,2913034252638359.0,204.0,5.16165259119367,5701789744395090.0,146.0,5.08368645036452,5363443497372532.0,142.0,2.643626359866029,3000220394295061.0,178.0,0.08318125907001524,79145561582165.33,116.0,1.210816808752563,1068758018065885.2,110.0,-1.760006037714751,8.258153436019526e-16,-1.0087561807998175,-1.913464912280702,-0.6532408779738762,-0.3967126623376626,-0.600596627501071,-1.018690909090909,1.5975060262547625,3.061540483439569,3.163868081057984,16.330787878787888,-1.218854228672665,-6.196272727272725,-0.5983516452371672,-1.5818181818181818,-0.7915012217644217,-0.06583806818181995,-0.21948051380025912,-0.2657506953030026
0,저위험군,마포구,연남동,소솜 하우스,37.55854827,126.92366828,193255.60683710125,451004.9933162124,31.632359732859022,1990,0.5304,12,100.0,2.0085440472451315,0.42,0.18,0,5,4.127134385045092,,-7.105427357601002e-15,28.80971589652672,3.0466524164577356e+16,74.0,1.5988786401685957e-15,1.669320076223691,182.0,1.8968557008132185,2391677128082466.0,184.0,0.6072991995971321,882117008079024.2,212.0,1.696131583904195,1969184210481016.5,172.0,1.9164500371977502,3047046421557785.0,204.0,5.161652591193669,5295230130387874.0,146.0,5.0836864503645245,4957243928275362.0,142.0,2.643626359866029,3287957135446420.5,178.0,0.083181259070011,62795989692191.36,116.0,1.2108168087525666,938986528104710.6,110.0,-0.007220282231400372,-1.15443550357749e-17,1.390354907043422,2.6373026315789474,-0.6532408779738762,-0.39671266233766284,1.1203783414815698,1.90030909090909,1.2077631228707417,2.314617681751704,0.692308225383328,3.573454545454546,-0.9434635228002337,-4.79627272727273,-0.5983516452371672,-1.5818181818181818,-0.04013005115741947,-0.003338068181818104,-0.6812743825396935,-0.824898473751587
0,저위험군,강서구,화곡동,화곡 Song.Stay,37.54071243,126.8361979,185523.5890893176,449035.2999680917,22.83787471538804,1997,0.3904,18,94.4,0.4403118394383326,0.1394,0.08,1,3,3.713572066704308,,-3.552713678800501e-15,28.80971589652672,2.711479807347314e+16,74.0,2.6520463691514523e-15,2.4250631732647463,182.0,1.8968557008132192,2231898773403412.2,184.0,0.6072991995971325,846607186712146.9,212.0,1.6961315839041964,1849303558396138.0,172.0,1.9164500371977495,2789410069942101.5,204.0,5.161652591193669,5034586625754704.0,146.0,5.083686450364526,4706862848891832.0,142.0,2.64362635986603,3059517673386316.0,178.0,0.08318125907000964,51715935563939.28,116.0,1.2108168087525675,862046660204783.8,110.0,0.3762016017805826,9.977040920711546e-16,0.500146711183222,0.9487061403508772,-0.21217798338281915,-0.12885551948051976,0.8892641969659156,1.5083090909090917,-0.7703794764932218,-1.4763937763818178,-0.7573566899643064,-3.9092121212121222,-1.218854228672665,-6.196272727272732,1.6712580435934672,4.418181818181821,-0.41581563646092057,-0.03458806818181678,-0.9098948826011862,-1.1017160180514602
0,저위험군,용산구,후암동,서울 게스트하우스,37.55074223,126.97622697,197899.2825700717,450136.1430954201,26.058869358471327,1995,0.1153,39,69.2,0.4848922417394862,0.1422,1.0,0,4,4.143134726391533,,-3.552713678800501e-15,28.80971589652672,2.7809177020864016e+16,74.0,1.2301485566840208e-16,0.12798102750919535,182.0,1.8968557008132174,2429201807086571.0,184.0,0.607299199597132,876590351091308.8,212.0,1.6961315839041944,2147147126861431.2,172.0,1.91645003719775,3113437829159644.5,204.0,5.1616525911936675,5532428789984883.0,146.0,5.0836864503645245,5064013801510476.0,142.0,2.6436263598660297,3252547191147254.0,178.0,0.08318125907001492,78721517237479.4,116.0,1.2108168087525637,1085875504504527.2,110.0,0.26665249206287317,3.2802217824734073e-17,-1.2491123936820716,-2.3693859649122815,1.3315421476858806,0.8086444805194813,-0.15074945335452924,-0.25569090909090914,-0.7141464821383707,-1.3686260522587228,-0.742891038635107,-3.834545454545455,1.3147402653537024,6.6837272727272765,-0.5983516452371672,-1.5818181818181822,-0.22797284380917002,-0.01896306818181862,-0.6724292680852291,-0.8141886604947792
