구,위도,경도,위험점수_AHP,소방위험도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
종로구,37.57059843,127.01860129,30.75,0.3044,11,100.0,0.8746092615811812,20.0,0.1065,0.0
종로구,37.57297519,126.99797784,24.35,0.2308,5,0.0,1.0632729222228008,28.0,0.1079,0.0
종로구,37.56798355,127.00952148,40.99,0.1266,6,0.0,0.1482530044498824,39.0,0.1808,71.43
종로구,37.56923344,126.98879056,24.36,0.1735,21,71.4,0.9408455369813622,14.0,0.1065,43.33
종로구,37.57353634,127.0219178,44.57,0.2056,30,46.7,1.2512891288770671,7.0,0.4553,50.0
종로구,37.57227399,126.98806987,26.36,0.1761,18,55.6,2.672021859258811,9.0,0.1279,71.43
종로구,37.57179889,126.98893263,24.39,0.1433,21,71.4,2.500969678805677,9.0,0.1179,0.0
종로구,37.56655068,126.98415388,53.76,0.4058,5,0.0,0.5596157879354227,10.0,0.1623,30.0
종로구,37.56916257,127.01374879,27.51,0.1337,10,40.0,1.9997770917556368,5.0,0.1608,54.55
종로구,37.57244418,127.00083322,31.44,0.3379,11,63.6,1.0283354452521425,5.0,0.1,63.64
종로구,37.57044997,127.01867554,34.75,0.2984,22,90.9,0.7940648516932153,8.0,0.1079,64.0
종로구,37.56604937,126.99210865,46.1,0.1947,25,64.0,2.574111725223541,6.0,0.1794,57.14
종로구,37.56737832,127.01474752,33.99,0.1108,14,71.4,0.0564856021345574,6.0,0.1794,0.0
종로구,37.57929506,126.99713608,34.82,0.1867,5,0.0,2.6288008294480694,28.0,0.138,0.0
종로구,37.57109607,127.02145559,39.09,0.3287,2,100.0,0.2694761079552084,20.0,0.1108,0.0
종로구,37.56790086,127.00943028,31.72,0.129,6,0.0,0.2810012094609484,25.0,0.1465,0.0
종로구,37.56597443,126.98782642,49.95,0.2744,14,0.0,0.4418327522790392,39.0,0.1565,58.82
종로구,37.57336561,126.99794846,29.53,0.2365,17,70.6,1.2008429113170085,28.0,0.115,55.56
종로구,37.57427525,126.99045283,38.08,0.1658,54,72.2,2.3135541243646194,6.0,0.1394,50.0
종로구,37.56990125,126.98030475,42.83,0.4643,2,50.0,0.589606501619105,35.0,0.1136,67.74
종로구,37.56913495,126.99733645,36.49,0.2167,31,74.2,0.3467462995973981,25.0,0.1293,55.56
종로구,37.5696394,126.98875606,21.84,0.1658,18,61.1,1.8758425864385964,7.0,0.1122,22.22
종로구,37.57050676,127.02206499,40.53,0.3595,18,88.9,0.9974430536743816,4.0,0.1122,25.0
종로구,37.56622871,126.98353342,56.92,0.3997,4,25.0,2.415417623490573,39.0,0.1823,42.11
종로구,37.57209924,126.98812931,22.21,0.1735,19,47.4,2.7817292841849,9.0,0.1179,72.73
종로구,37.57189895,126.98875238,25.1,0.1482,22,77.3,1.9857296100625288,9.0,0.1165,37.5
종로구,37.57131629,126.9874005,30.33,0.1947,8,62.5,0.9824726387554562,11.0,0.1523,0.0
종로구,37.60669991,126.97433044,50.98,0.5451,0,0.0,0.0,4.95,0.1494,94.74
종로구,37.57025733,126.98654665,40.0,0.2337,19,94.7,0.6194439847728106,35.0,0.1322,70.83
종로구,37.56598513,126.9900523,39.35,0.2195,24,75.0,0.2811160606808903,39.0,0.1436,60.0
종로구,37.56984481,126.98341181,48.72,0.3626,5,60.0,1.2127064842946906,30.0,0.1565,9.09
종로구,37.56801651,126.97463351,63.42,0.6046,11,9.1,0.0120121564480035,10.0,0.1136,30.65
종로구,37.5716747,126.99041695,42.29,0.0959,62,69.4,2.1717454920352344,5.0,0.1851,50.0
종로구,37.57393452,126.98887068,25.32,0.1556,22,54.5,3.049457672910154,6.0,0.1279,53.33
종로구,37.57338396,126.98952523,38.85,0.1556,90,66.7,0.9784679768260464,3.0,0.248,58.33
종로구,37.57168791,126.98843016,21.36,0.1581,12,58.3,2.352052076140245,9.0,0.1165,73.33
종로구,37.56764454,127.00812433,24.49,0.1658,15,73.3,1.9090851529441544,4.0,0.1136,88.46
종로구,37.56962018,126.9863919,35.69,0.2481,26,88.5,3.678599523494187,9.0,0.1094,84.62
종로구,37.57184081,127.00175573,41.48,0.3718,13,84.6,2.205256749033484,9.0,0.1065,50.0
종로구,37.56874973,127.01018412,31.56,0.129,2,50.0,2.577167206594277,39.0,0.178,50.0
종로구,37.56968368,127.01175024,34.61,0.1433,2,100.0,1.4376179213932505,25.0,0.1837,0.0
중구,37.55742965,127.00160709,65.74,0.3935,3,0.0,0.0,12.0,0.188,28.57
성동구,37.54070199,127.0562547,28.78,0.2394,14,42.9,4.611152257665639,7.0,0.115,0.0
중구,37.55527178,126.97898241,14.35,0.2223,0,0.0,0.0219789067187752,34.0,0.1136,50.0
중구,37.5619628,127.00695765,33.04,0.3196,10,70.0,1.3909133069761852,9.0,0.1136,0.0
중구,37.55924412,126.98729931,11.38,0.0877,5,0.0,0.4885317068067778,34.0,0.1136,21.95
중구,37.55661038,126.97811019,51.4,0.2167,41,70.7,0.8002011767241046,3.0,0.1866,33.96
중구,37.56091185,127.00486601,48.98,0.4213,53,67.9,0.616029877215514,6.0,0.1136,26.09
중구,37.55974994,126.98437425,31.78,0.1001,23,69.6,1.7060041108251514,9.0,0.1766,0.0
중구,37.56195615,126.97553552,58.65,0.3564,3,0.0,2.1118068261818674,11.97,0.1922,85.71
중구,37.56189383,126.9844402,36.31,0.184,28,85.7,2.0163512467186298,6.0,0.1322,73.47
중구,37.56347491,127.00124884,58.95,0.3349,49,85.7,0.6879433526849182,7.0,0.1565,66.67
중구,37.55930346,126.97797124,27.65,0.2112,15,73.3,0.123132685403624,7.0,0.1136,0.0
중구,37.56586745,126.99740093,56.73,0.251,21,0.0,1.9250905212729232,3.0,0.1823,0.0
중구,37.56418691,126.9872883,32.71,0.2423,3,0.0,0.752336051950276,39.0,0.1136,14.81
중구,37.55856041,126.98658709,38.27,0.1086,27,81.5,0.7798304197287472,3.0,0.1794,0.0
중구,37.55605441,126.98563136,18.99,0.1457,0,0.0,0.0,7.0,0.1565,68.42
중구,37.56145726,126.98456352,42.64,0.1658,19,68.4,1.7510884294971272,15.0,0.1794,100.0
중구,37.55618747,126.98405523,32.77,0.1175,1,100.0,2.128231705849268,34.0,0.1594,33.33
중구,37.55655506,126.98441998,15.96,0.1086,3,100.0,1.845368919833436,9.0,0.1194,26.32
중구,37.56374548,127.00581237,44.91,0.2954,19,47.4,0.6931471805599453,6.0,0.1551,55.88
중구,37.56629135,127.00045147,61.58,0.3626,34,58.8,0.1177830356563834,9.0,0.1808,59.46
중구,37.56339033,126.99268792,35.76,0.0838,37,78.4,0.2993933318726824,2.0,0.1766,0.0
중구,37.55530397,126.98284082,27.78,0.1506,3,0.0,0.7282385003712154,38.0,0.1265,40.62
중구,37.56119377,127.00084581,59.75,0.3135,32,62.5,0.5643439291313687,12.0,0.4817,44.44
중구,37.5618116,127.00675249,52.07,0.3318,9,55.6,1.0736109864626924,4.0,0.1837,45.83
중구,37.56262124,127.0082658,32.53,0.2597,24,95.8,0.4663738611951568,6.0,0.1179,33.33
중구,37.55681031,126.98310837,8.1,0.0898,9,88.9,0.5616258388634469,38.0,0.1,0.0
중구,37.56106147,126.97459289,31.82,0.3718,2,0.0,1.3293120501244582,9.0,0.1011,71.43
중구,37.56101578,126.9799895,41.38,0.1867,7,71.4,1.3237147044676525,7.0,0.1766,15.69
중구,37.56418869,127.0203495,46.61,0.192,51,82.4,1.6453061451866118,3.0,0.158,25.0
중구,37.55663789,126.9831709,10.73,0.0959,4,100.0,0.2089589163222533,38.0,0.1,33.33
중구,37.5557044,126.97785909,41.84,0.2452,3,33.3,1.3516741604732871,34.0,0.1652,42.11
중구,37.56011013,126.98486327,35.58,0.1198,19,52.6,1.7645098267806796,9.0,0.1866,69.23
중구,37.56386326,127.00211965,42.71,0.3749,26,76.9,0.8946039777841406,9.0,0.1079,33.33
중구,37.56189911,126.98190996,15.5,0.1867,6,33.3,5.676753802268282,39.0,0.105,0.0
중구,37.56571746,127.0106231,32.35,0.1001,4,0.0,2.25044254165524,11.0,0.4535,22.22
중구,37.56535668,126.99747477,50.54,0.2365,9,22.2,1.2918251737361308,3.0,0.188,0.0
중구,37.55941767,126.98975855,34.12,0.067,3,0.0,1.6193781504839415,9.0,0.1851,14.29
중구,37.56263589,127.00240658,32.97,0.3749,7,57.1,0.3809454909338458,39.0,0.1036,31.82
중구,37.56263015,127.00804487,40.21,0.2656,22,90.9,0.4102843945441133,6.0,0.1408,14.29
중구,37.56042879,126.98317648,37.93,0.1153,7,14.3,1.155343917473199,2.0,0.48,0.0
중구,37.55609169,126.98541188,11.3,0.1408,0,0.0,0.0425596144187959,7.0,0.1308,36.0
중구,37.56332856,127.01860099,44.4,0.1457,25,84.0,0.2986770404591526,8.0,0.9051,0.0
중구,37.56555219,126.97585864,68.91,0.4735,2,0.0,0.041672696400568,10.59,0.1766,0.0
중구,37.55956061,126.97310353,45.96,0.412,3,0.0,0.3113518165376857,26.0,0.1108,100.0
중구,37.55884724,126.97618148,34.65,0.2774,3,100.0,1.0595929651036675,20.0,0.1094,4.76
