Y,건물나이,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,구_강서구,구_마포구,구_서초구,구_성동구,구_송파구,구_영등포구,구_용산구,구_종로구,구_중구,잔차,예측값
1.9459101490553128,61,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,0,0,0,0,0,0,0,1,0,0.5913719108637421,1.3545382381915707
2.079441541679836,23,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,0,0,0,0,0,0,0,1,0,0.6753772651005261,1.40406427657931
1.6094379124341005,7,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,0,0,0,0,0,0,0,1,0,0.226086381134031,1.3833515313000695
2.3978952727983707,41,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,0,0,0,0,0,0,0,1,0,1.1540384405165303,1.2438568322818404
1.6094379124341005,30,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,0,0,0,0,0,0,0,1,0,0.04996586236291689,1.5594720500711836
3.044522437723423,7,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,0,0,0,0,0,0,0,1,0,1.690486610381316,1.354035827342107
1.6094379124341005,7,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,0,0,0,0,0,0,0,1,0,0.13585517513084922,1.4735827373032513
0.6931471805599453,63,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,0,0,0,0,0,0,0,1,0,-0.39007345540782234,1.0832206359677676
1.9459101490553128,59,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,0,0,0,0,0,0,0,1,0,0.38578224460086097,1.5601279044544518
2.995732273553991,61,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,0,0,0,0,0,0,0,1,0,1.6873356556918138,1.308396617862177
1.9459101490553128,34,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,0,0,0,0,0,0,0,1,0,0.5121240746753839,1.4337860743799289
3.091042453358316,19,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,0,0,0,0,0,0,0,1,0,1.599152051966057,1.4918904013922591
1.3862943611198906,67,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,0,0,0,0,0,0,0,1,0,-0.012262863628629495,1.39855722474852
1.6094379124341005,32,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,0,0,0,0,0,0,0,1,0,0.10186932144598115,1.5075685909881194
1.9459101490553128,12,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,0,0,0,0,0,0,0,0,1,0.6756216429134254,1.2702885061418874
1.0986122886681098,37,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,0,0,0,0,0,0,0,1,0,-0.5201275604029287,1.6187398490710385
1.3862943611198906,51,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,0,0,0,0,0,0,0,1,0,0.011655480553619535,1.374638880566271
1.6094379124341005,54,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,0,0,0,0,0,0,0,1,0,0.21003056270948361,1.399407349724617
2.079441541679836,59,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,0,0,0,0,0,0,0,1,0,0.5987692599070908,1.4806722817727453
1.3862943611198906,67,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,0,0,0,0,0,0,0,1,0,-0.34377253770220206,1.7300668988220926
2.079441541679836,51,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,0,0,0,0,0,0,0,1,0,0.6290564181098728,1.4503851235699634
1.6094379124341005,32,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,0,0,0,0,0,0,0,1,0,0.132859700595652,1.4765782118384485
3.044522437723423,26,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,0,0,0,0,0,0,0,1,0,1.7123259132062456,1.3321965245171774
1.791759469228055,2,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,0,0,0,0,0,0,0,1,0,0.2681549455594121,1.5236045236686429
1.0986122886681098,4,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,0,0,0,0,0,0,0,1,0,-0.5000903985369998,1.5987026872051096
2.3978952727983707,57,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,0,0,0,0,0,0,0,1,0,1.0249461884855866,1.372949084312784
