useAprvYmd,frspnSprklHYn,bildSn,sprklAvYn,bassAdres,ctpvNm,sggNm,dongNm,sprklHYn,frspnSprklAvYn,spskHYn,objNm,spskAvYn,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,매핑방법
19880127,N,11000000011637,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,종로크라운호텔,N,서울특별시 종로구 낙원동 25번지,11110,13700,0,0025,0000,1002119497,1,일반,2,일반건축물,서울특별시 종로구 삼일대로30길 9 (낙원동),종로크라운호텔,,,,2,111104100145,13703,0,9,0,,0,주건축물,957.02,466.29,48.72,4285.76,3486.16,364.27,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10,(철근)콘크리트,철근콘크리트슬라브,0,0,21.97,9,2,0,0,0,0,4285.76,19,45.38,0,0,0,0,9,0,19810130,        ,19880127,,,,,,0,,0,0,,0,,0,20250530,0,,구+동+건물명
19751020,N,11000000012993,Y,서울특별시 중구 명동1가,서울특별시,중구,명동1가,Y,N,N,타임워크명동빌딩(이비스앰배서더명동호텔),N,서울특별시 중구 명동1가 59-5번지,11140,12600,0,0059,0005,100315109,2,집합,3,표제부,서울특별시 중구 남대문로 78 (명동1가),타임워크명동빌딩,,,,8,111403101001,12613,0,78,,,0,주건축물,4240.42,2849.51,67.198768,37285.89,28609.44,674.68411,42,철골철근콘크리트구조,철골철근콘크리트구조,14000,업무시설,"업무시설,숙박시설",10,(철근)콘크리트,(철근)콘크리트,0,0,72.02,19,4,9,1,0,0,37285.89,49,410.09,0,0,49,2514.14,0,0,,,19751020,2004,,,1102,증축허가,15,,0,0,,0,,0,20240104,1,VII-0.179g,구+동+건물명
20080526,N,11000000016466,Y,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,Y,N,N,역삼아르누보씨티,N,서울특별시 강남구 역삼동 701-1번지,11680,10100,0,0701,0001,10241100183134,2,집합,3,표제부,서울특별시 강남구 언주로 506 (역삼동),역삼아르누보씨티,,,,0,116803005086,10101,0,506,,역삼아르누보씨티,0,주건축물,1562,769.11,49.24,21431.69,12478.99,798.91,21,철근콘크리트구조,철근콘크리트구조,14000,업무시설,"오피스텔,근린생활시설,숙박시설",10,(철근)콘크리트,(철근)콘크리트,226,0,82.8,18,7,2,1,0,0,21431.69,0,0,0,0,88,5080.93,0,0,20020322,20050430,20080526,2008,3220088,건축과,1101,신축허가,0,,0,0,,0,,0,20230727,1,,구+동+건물명
19810105,N,11000000024765,N,서울특별시 종로구 창신동,서울특별시,종로구,창신동,N,N,N,나라빌딩,N,서울특별시 종로구 창신동 460-1번지,11110,17400,0,0460,0001,1002116798,2,집합,3,표제부,서울특별시 종로구 종로48길 12 (창신동),나라빌딩,,,,1,111104100344,17401,0,12,0,,0,주건축물,1118.64,500.5,44.74,2849.47,2051.49,183.39,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"근린생활시설, 업무시설, 위락시설, 숙박시설",10,(철근)콘크리트,평스라브,5,0,14.3,4,1,0,0,0,0,2849.47,0,0,5,43.5,0,0,14,161,,,19810105,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19811201,N,11000000026174,Y,서울특별시 서초구 잠원동,서울특별시,서초구,잠원동,Y,N,N,더리버사이드호텔,N,서울특별시 서초구 잠원동 6-1번지,11650,10600,0,0006,0001,1023111120,1,일반,2,일반건축물,서울특별시 서초구 강남대로107길 6 (잠원동),더리버사이드호텔,,,,4,116504163005,10601,0,6,,1동,0,주건축물,0,18284.26,0,23651.54,18284.26,0,41,철골콘크리트구조,철골철근콘크리트,15000,숙박시설,숙박시설(관광호텔),10,(철근)콘크리트,평슬라브,0,0,46.6,13,2,6,1,2,168.1,23651.54,0,0,200,0,92,0,0,0,,,19811215,,,,,,0,,0,0,,0,,0,20230824,0,,구+동+건물명
19811201,N,11000000026174,Y,서울특별시 서초구 잠원동,서울특별시,서초구,잠원동,Y,N,N,더리버사이드호텔,N,서울특별시 서초구 잠원동 6-1번지,11650,10600,0,0006,0001,10231100214953,1,일반,2,일반건축물,서울특별시 서초구 강남대로107길 6 (잠원동),더리버사이드호텔,,,,4,116504163005,10601,0,6,,부속건축물제1동,1,부속건축물,0,87.5,0,87.5,0,0,31,일반철골구조,일반철골구조,15000,숙박시설,기계식 주차타워,90,기타지붕,기타지붕,0,0,50,1,0,1,0,0,0,87.5,0,0,0,0,0,0,0,0,,,19870707,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19811201,N,11000000026174,Y,서울특별시 서초구 잠원동,서울특별시,서초구,잠원동,Y,N,N,더리버사이드호텔,N,서울특별시 서초구 잠원동 6-1번지,11650,10600,0,0006,0001,10231100231214,1,일반,2,일반건축물,서울특별시 서초구 강남대로107길 6 (잠원동),더리버사이드호텔,,,,4,116504163005,10601,0,6,,부속건축물제2동,1,부속건축물,0,80.6,0,80.6,0,0,31,일반철골구조,일반철골구조,15000,숙박시설,주차타워,90,기타지붕,기타지붕,0,0,49.51,1,0,1,0,0,0,80.6,0,0,0,0,0,0,0,0,,,19870707,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19811201,N,11000000026174,Y,서울특별시 서초구 잠원동,서울특별시,서초구,잠원동,Y,N,N,더리버사이드호텔,N,서울특별시 서초구 잠원동 6-1번지,11650,10600,0,0006,0001,1023111119,1,일반,2,일반건축물,서울특별시 서초구 강남대로107길 6 (잠원동),더리버사이드호텔,,,,4,116504163005,10601,0,6,,2동,0,주건축물,0,500.26,0,6276.23,1220.68,0,41,철골콘크리트구조,철골철근콘크리트,04000,제2종근린생활시설,운동시설,10,(철근)콘크리트,평슬라브,0,0,27.6,5,2,1,0,0,0,6276.23,0,0,0,0,0,0,0,0,,,19870707,,,,,,0,,0,0,,0,,0,20230824,0,,구+동+건물명
19891031,N,11000000026397,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,트리아관광호텔,N,서울특별시 강남구 역삼동 677-11번지,11680,10100,0,0677,0011,1024112267,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 16 (역삼동),트리아관광호텔,,,,0,116804166734,10101,0,16,,,0,주건축물,497.3,293.12,58.94,3001.86,2231.76,448.78,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설,10,(철근)콘크리트,슬라브,0,0,29.9,8,2,0,0,0,0,3001.86,0,0,0,0,8,285.82,2,23,19890729,,19891031,,,,,,0,,0,0,,0,,0,20220813,1,,구+동+건물명
19840517,N,11000000033106,N,서울특별시 강남구 대치동,서울특별시,강남구,대치동,N,N,N,프린스호텔,N,서울특별시 강남구 대치동 890-40번지,11680,10600,0,0890,0040,1024121041,1,일반,2,일반건축물,서울특별시 강남구 선릉로86길 43 (대치동),프린스호텔,,,,0,116804166495,10601,0,43,,,0,주건축물,497.1,243.64,49.01,1809.48,1414.39,284.53,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10,(철근)콘크리트,슬라브,0,0,18,6,1,0,0,0,0,1809.48,0,0,0,0,6,0,3,0,19820531,,19840517,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
