X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,후보개수,후보미리보기
201219.173877564,451303.699905245,서울특별시 중구 무학동 59-2번지,11140,16400,0,59,2,탑모텔,1003122525,서울특별시 중구 퇴계로74길 25 (무학동),408.1,21.0,철근콘크리트,01000,"주택, 점포",4,1,19710625.0,,0,0,0.0,복수후보,,,,,,,,2,탑모텔 / 서울특별시 중구 무학동 59-2번지 / 서울특별시 중구 퇴계로74길 25 (무학동) | 부산장여관(탑모텔) / 서울특별시 중구 무학동 59-2번지 / 서울특별시 중구 퇴계로74길 25 (무학동)
186529.517688772,449732.875947079,서울특별시 강서구 화곡동 981-13번지,11500,10300,0,981,13,샤르망모텔,1017126570,서울특별시 강서구 화곡로50길 5 (화곡동),810.41,21.0,철근콘크리트조,15000,"근린생활시설, 여관",4,1,19860809.0,19860429.0,0,0,0.0,복수후보,,,,,,,,2,샤르망모텔 / 서울특별시 강서구 화곡동 981-13번지 / 서울특별시 강서구 화곡로50길 5 (화곡동) | 샤르망모텔 / 서울특별시 강서구 화곡동 981-13번지 / 서울특별시 강서구 화곡로50길 5 (화곡동)
186410.731206613,447474.891018884,서울특별시 강서구 화곡동 902-2번지,11500,10300,0,902,2,리치모텔,10171100200527,서울특별시 강서구 곰달래로24길 26 (화곡동),706.56,21.0,철근콘크리트구조,15000,숙박시설(여관),8,1,20081204.0,20080529.0,1,0,1.0,복수후보,,,,,,,,2,리치모텔 / 서울특별시 강서구 화곡동 902-2번지 / 서울특별시 강서구 곰달래로24길 26 (화곡동) | 리치모텔 / 서울특별시 강서구 화곡동 902-2번지 / 서울특별시 강서구 곰달래로24길 26 (화곡동)
204478.674974509,444938.089518142,서울특별시 강남구 삼성동 142-12번지,11680,10500,0,142,12,캘리포니아호텔,102415694,서울특별시 강남구 선릉로100길 52 (삼성동),2056.7,21.0,철근콘크리트조,15000,숙박시설,6,1,20020118.0,20010210.0,1,0,1.0,복수후보,,,,,,,,2,캘리포니아호텔 / 서울특별시 강남구 삼성동 142-12번지 / 서울특별시 강남구 선릉로100길 52 (삼성동) | 캘리포니아호텔 / 서울특별시 강남구 삼성동 142-12번지 / 서울특별시 강남구 선릉로100길 52 (삼성동)
