사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부,지번주소_매칭,도로명주소_매칭,매칭건물명,매칭건축물대장PK,매칭소스,매칭방식,매칭점수
19700101,N,11000000006358,N,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,N,N,N,대양여관,N,,,,,,,0.0
19700101,N,11000000006359,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,영빈장여관,N,서울 성북구 하월곡동 88-154,서울 성북구 동소문로42다길 13-1,영빈장여관,,kakao_keyword,kakao_keyword,10.0
19590214,N,11000000006360,N,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,N,N,N,인송빌딩,N,서울 중구 충무로1가 22-4,서울 중구 명동8나길 18,인송빌딩,,kakao_keyword,kakao_keyword,12.5
19700124,N,11000000006410,Y,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,Y,N,N,명동하늘빌딩(호텔스카이파크 명동1호점),N,서울특별시 중구 충무로1가 24-23번지,서울특별시 중구 명동8나길 15 (충무로1가),명동하늘빌딩,100314807,등기부등본_표제부_중구.csv,exact_name_gu_dong,100.0
19700201,N,11000000006439,N,서울특별시 영등포구 당산동1가,서울특별시,영등포구,당산동1가,N,N,N,향도여관,N,서울특별시 영등포구 당산동1가 256-119번지,서울특별시 영등포구 당산로16길 22 (당산동1가),향도여관,102017921,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19700205,N,11000000006462,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,캐슬장(캐슬장),N,서울특별시 종로구 숭인동 207-6번지,서울특별시 종로구 난계로29길 64-3 (숭인동),캐슬장,1002114889,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19700224,N,11000000006477,Y,서울특별시 중구 소공동,서울특별시,중구,소공동,Y,N,N,신세계조선호텔(구.웨스틴조선호텔),N,서울특별시 중구 소공동 87-1번지,서울특별시 중구 소공로 106 (소공동),웨스틴 조선호텔,100312073,등기부등본_표제부_중구.csv,exact_name_gu_dong,100.0
19940409,N,11000000006481,N,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동,N,N,N,K2모텔,N,서울특별시 강서구 화곡동 938-13번지,서울특별시 강서구 곰달래로 56 (화곡동),케이투(K2),1017118787,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.45
19700301,N,11000000006505,N,서울특별시 종로구 관수동,서울특별시,종로구,관수동,N,N,N,브레드 힐 호텔,N,서울특별시 종로구 관수동 56번지,서울특별시 종로구 종로18길 7 (관수동),브레드 힐 호텔(Bread Hill Hotel),1002113920,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19700301,N,11000000006524,N,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,N,N,N,광희동1가 38-1건물,N,,,,,,,0.0
19700310,N,11000000006560,N,서울특별시 용산구 한남동,서울특별시,용산구,한남동,N,N,N,모텔아리지(남강여관),N,,,,,,,0.0
