구,위도,경도,위험점수_AHP,소방접근성_점수,노후도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m
종로구,37.56990125,126.98030475,38.44,0.4905,0.1348,2,50.0,0.589606501619105,35.0
종로구,37.56913495,126.99733645,33.47,0.752,0.2281,31,67.7,0.3467462995973981,25.0
종로구,37.5696394,126.98875606,27.25,0.815,0.1263,18,55.6,1.8758425864385964,7.0
종로구,37.57050676,127.02206499,44.1,0.598,0.1263,18,66.7,0.9974430536743816,4.0
종로구,37.56622871,126.98353342,54.39,0.5575,0.542,4,50.0,2.415417623490573,39.0
종로구,37.57209924,126.98812931,28.6,0.806,0.1603,19,42.1,2.7817292841849,9.0
종로구,37.57189895,126.98875238,29.31,0.8355,0.1518,22,72.7,1.9857296100625288,9.0
종로구,37.57131629,126.9874005,34.99,0.7795,0.3638,8,37.5,0.9824726387554562,11.0
종로구,37.60669991,126.97433044,56.03,0.4035,0.3469,0,0.0,0.0,4.95
종로구,37.57025733,126.98654665,34.26,0.7355,0.2451,19,94.7,0.6194439847728106,35.0
종로구,37.56598513,126.9900523,32.82,0.7505,0.3129,24,70.8,0.2811160606808903,39.0
종로구,37.56984481,126.98341181,46.79,0.5955,0.3893,5,60.0,1.2127064842946906,30.0
종로구,37.56801651,126.97463351,62.28,0.3375,0.1348,11,90.9,0.0120121564480035,10.0
종로구,37.5716747,126.99041695,47.3,0.9095,0.5589,62,38.7,2.1717454920352344,5.0
종로구,37.57393452,126.98887068,32.56,0.8265,0.2196,22,50.0,3.049457672910154,6.0
종로구,37.57338396,126.98952523,39.55,0.8275,0.1518,90,53.3,0.9784679768260464,3.0
종로구,37.57168791,126.98843016,27.18,0.8235,0.1518,12,58.3,2.352052076140245,9.0
종로구,37.56764454,127.00812433,30.31,0.813,0.1348,15,73.3,1.9090851529441544,4.0
종로구,37.56962018,126.9863919,40.43,0.719,0.1094,26,88.5,3.678599523494187,9.0
종로구,37.57184081,127.00175573,44.7,0.587,0.0924,13,84.6,2.205256749033484,9.0
종로구,37.56874973,127.01018412,30.97,0.8615,0.5165,2,50.0,2.577167206594277,39.0
종로구,37.56968368,127.01175024,36.45,0.8425,0.5504,2,50.0,1.4376179213932505,25.0
중구,37.55742965,127.00160709,66.01,0.5635,0.5759,3,100.0,0.0,12.0
성동구,37.54070199,127.0562547,37.3,0.727,0.1433,14,57.1,4.611152257665639,7.0
중구,37.55527178,126.97898241,12.95,0.7475,0.1348,0,0.0,0.0219789067187752,34.0
중구,37.5619628,127.00695765,37.12,0.6405,0.1348,10,50.0,1.3909133069761852,9.0
중구,37.55924412,126.98729931,8.89,0.9235,0.1348,5,60.0,0.4885317068067778,34.0
중구,37.55661038,126.97811019,55.51,0.754,0.5674,41,48.8,0.8002011767241046,3.0
중구,37.56091185,127.00486601,50.04,0.535,0.1348,53,34.0,0.616029877215514,6.0
중구,37.55974994,126.98437425,37.5,0.9045,0.508,23,43.5,1.7060041108251514,9.0
중구,37.56195615,126.97553552,63.01,0.6015,0.6013,3,66.7,2.1118068261818674,11.97
중구,37.56189383,126.9844402,40.37,0.792,0.2451,28,85.7,2.0163512467186298,6.0
중구,37.56347491,127.00124884,59.42,0.6265,0.3893,49,73.5,0.6879433526849182,7.0
중구,37.55930346,126.97797124,30.4,0.759,0.1348,15,66.7,0.123132685403624,7.0
중구,37.56586745,126.99740093,61.4,0.714,0.542,21,100.0,1.9250905212729232,3.0
중구,37.56418691,126.9872883,26.72,0.7255,0.1348,3,100.0,0.752336051950276,39.0
중구,37.55856041,126.98658709,43.32,0.891,0.525,27,66.7,0.7798304197287472,3.0
중구,37.55605441,126.98563136,25.87,0.839,0.3893,0,0.0,0.0,7.0
중구,37.56145726,126.98456352,45.61,0.814,0.525,19,68.4,1.7510884294971272,15.0
중구,37.55618747,126.98405523,31.17,0.8795,0.4062,1,100.0,2.128231705849268,34.0
중구,37.55655506,126.98441998,21.84,0.8925,0.1688,3,66.7,1.845368919833436,9.0
중구,37.56374548,127.00581237,48.71,0.667,0.3808,19,52.6,0.6931471805599453,6.0
중구,37.56629135,127.00045147,62.5,0.5965,0.5335,34,55.9,0.1177830356563834,9.0
중구,37.56339033,126.99268792,40.27,0.929,0.508,37,59.5,0.2993933318726824,2.0
중구,37.55530397,126.98284082,22.72,0.834,0.2112,3,100.0,0.7282385003712154,38.0
중구,37.56119377,127.00084581,61.51,0.648,0.6438,32,40.6,0.5643439291313687,12.0
중구,37.5618116,127.00675249,57.88,0.6285,0.5504,9,44.4,1.0736109864626924,4.0
중구,37.56262124,127.0082658,35.73,0.705,0.1603,24,50.0,0.4663738611951568,6.0
중구,37.55681031,126.98310837,4.35,0.9185,0.05,9,55.6,0.5616258388634469,38.0
중구,37.56106147,126.97459289,35.97,0.5865,0.0585,2,50.0,1.3293120501244582,9.0
중구,37.56101578,126.9799895,46.6,0.7895,0.508,7,71.4,1.3237147044676525,7.0
중구,37.56418869,127.0203495,50.34,0.782,0.3978,51,66.7,1.6453061451866118,3.0
중구,37.55663789,126.9831709,6.12,0.909,0.05,4,75.0,0.2089589163222533,38.0
중구,37.5557044,126.97785909,39.59,0.7215,0.4402,3,66.7,1.3516741604732871,34.0
중구,37.56011013,126.98486327,41.61,0.876,0.5674,19,42.1,1.7645098267806796,9.0
중구,37.56386326,127.00211965,44.02,0.5845,0.1009,26,69.2,0.8946039777841406,9.0
중구,37.56189911,126.98190996,18.14,0.789,0.0839,6,33.3,5.676753802268282,39.0
중구,37.56571746,127.0106231,38.28,0.9035,0.508,4,75.0,2.25044254165524,11.0
중구,37.56535668,126.99747477,56.22,0.7315,0.5759,9,77.8,1.2918251737361308,3.0
중구,37.55941767,126.98975855,39.32,0.959,0.5589,3,100.0,1.6193781504839415,9.0
중구,37.56263589,127.00240658,27.56,0.5825,0.0754,7,42.9,0.3809454909338458,39.0
중구,37.56263015,127.00804487,43.28,0.6995,0.296,22,59.1,0.4102843945441133,6.0
중구,37.56042879,126.98317648,45.52,0.88,0.6353,7,57.1,1.155343917473199,2.0
중구,37.55609169,126.98541188,18.09,0.847,0.2366,0,0.0,0.0425596144187959,7.0
중구,37.56332856,127.01860099,48.18,0.8385,0.6438,25,48.0,0.2986770404591526,8.0
중구,37.56555219,126.97585864,69.15,0.4795,0.508,2,100.0,0.041672696400568,10.59
중구,37.55956061,126.97310353,42.05,0.5455,0.1179,3,100.0,0.3113518165376857,26.0
중구,37.55884724,126.97618148,34.07,0.6855,0.1094,3,100.0,1.0595929651036675,20.0
중구,37.56088977,127.00776838,46.12,0.6125,0.1094,21,95.2,0.6931471805599453,3.0
중구,37.56466188,127.00107824,37.52,0.615,0.0839,31,58.1,0.9496384970203852,20.0
중구,37.56131454,127.01446136,37.33,0.7985,0.3384,28,46.4,0.6554068525770982,8.0
중구,37.55599413,126.98473806,11.94,0.858,0.2536,0,0.0,1.13560085803745,34.0
중구,37.55945274,126.99012549,43.98,0.944,0.6438,1,100.0,1.519252194795509,9.0
중구,37.5614873,126.9924598,33.61,0.9585,0.508,22,54.5,0.0994449297057108,6.0
중구,37.5646535,127.00666628,58.05,0.7245,0.5929,25,56.0,1.8674258023017924,4.0
중구,37.56281707,127.001911,47.89,0.6035,0.5335,14,35.7,0.1943595353534336,39.0
중구,37.55926806,126.98767512,25.72,0.939,0.542,4,50.0,0.481258947477698,34.0
중구,37.56647742,127.02231807,41.67,0.686,0.3045,15,46.7,0.1725257551322526,6.0
중구,37.55608468,126.96814345,64.88,0.5015,0.5759,25,48.0,1.1301819904368455,28.0
중구,37.5583226,126.98161125,43.09,0.926,0.5929,24,79.2,0.3457963134963362,8.0
중구,37.55960572,126.97683678,58.28,0.7065,0.525,14,100.0,0.5684437020589881,3.0
중구,37.55898959,126.98911126,35.1,0.9955,0.6438,3,66.7,2.841286274533761,20.0
중구,37.55981918,126.98998281,22.01,0.9365,0.3469,2,100.0,1.3201915862543043,39.0
중구,37.55543671,126.97494606,54.16,0.62,0.542,6,100.0,0.6931471805599453,39.0
중구,37.55987697,126.99371678,28.36,0.8705,0.2112,2,100.0,1.0543572796640688,9.0
중구,37.56491356,126.98031531,52.96,0.608,0.5165,2,50.0,0.0714589639821449,15.0
중구,37.55927368,126.98753085,4.4,0.933,0.0839,4,50.0,0.4909442532121617,34.0
중구,37.56344317,126.99317659,50.83,0.926,0.8473,32,59.4,0.3669189783089517,20.0
중구,37.55847797,126.99426166,47.89,0.789,0.542,2,100.0,0.0266682470821613,12.0
중구,37.56006354,126.98895997,16.47,0.9395,0.3554,3,66.7,0.0386148361277795,40.0
중구,37.56590912,126.99838824,44.2,0.681,0.279,27,59.3,0.6931471805599453,9.0
중구,37.56112681,126.97475999,35.25,0.592,0.0585,2,50.0,1.0620228412358177,9.0
중구,37.56738069,127.02003395,34.9,0.757,0.05,73,50.7,0.0281312502503589,5.0
중구,37.55986394,126.98891523,8.59,0.9505,0.0585,4,50.0,0.2647841083585263,9.0
중구,37.56027363,126.98140792,24.01,0.861,0.5335,0,0.0,1.4455626827148471,39.0
중구,37.55896817,126.98192631,18.27,0.9285,0.0754,9,88.9,0.5121362399431111,4.0
중구,37.55934315,126.98332654,38.93,0.94,0.6522,7,57.1,1.1668880572200644,13.0
중구,37.55561712,126.98432036,25.46,0.8455,0.3214,0,0.0,2.677441572623574,7.0
중구,37.5530029,126.97995879,25.55,0.7585,0.3469,0,0.0,0.0192578166044145,22.0
중구,37.56283151,126.98864042,18.27,0.806,0.0924,2,100.0,0.4075593497112791,39.0
중구,37.56414615,126.99675538,40.81,0.798,0.4656,42,33.3,0.6087088614133708,20.0
중구,37.56394721,127.02058063,48.84,0.7695,0.3469,47,74.5,1.4319548452276067,3.0
중구,37.55907589,126.9921215,10.34,0.8625,0.0924,12,58.3,0.0285363072649343,39.0
중구,37.55355582,126.96738568,39.06,0.6115,0.1009,27,37.0,0.5933967777928858,5.0
중구,37.55514884,126.98432696,29.37,0.8205,0.3808,0,0.0,2.0880996044229505,7.0
중구,37.55807414,126.99051213,7.24,0.9165,0.1094,0,0.0,0.6931471805599453,9.0
중구,37.56352003,127.00356135,31.43,0.574,0.1094,12,50.0,0.3220202100326725,39.0
중구,37.55715446,126.97870364,30.28,0.789,0.1094,41,53.7,0.2297880940328783,6.0
중구,37.55861521,126.98619248,20.88,0.8745,0.1348,24,41.7,0.8695457190507778,9.0
중구,37.56322588,127.00182446,47.45,0.604,0.2112,22,72.7,0.780879174428781,9.0
중구,37.56094517,127.00596078,46.4,0.569,0.1942,32,53.1,2.688099414682861,25.0
중구,37.56206664,127.0089649,44.79,0.6955,0.3638,24,41.7,0.9088557533866368,9.0
중구,37.55844079,126.97613718,29.73,0.685,0.1263,10,50.0,0.8166206081401566,20.0
중구,37.563663,127.00109712,44.49,0.631,0.1263,41,68.3,0.5931547759524908,7.0
중구,37.55888617,126.99138527,30.09,0.895,0.3045,2,100.0,0.3039956479433046,9.0
중구,37.56160377,126.98318249,41.61,0.8145,0.4996,14,57.1,1.3130221600135648,15.0
중구,37.56217058,126.98426358,42.41,0.779,0.3045,26,73.1,2.1351521486938414,6.0
중구,37.55952462,126.98113677,24.26,0.8825,0.1263,6,100.0,0.9245514488815216,8.0
중구,37.55587082,126.98398358,15.46,0.863,0.296,0,0.0,2.6556884490078847,34.0
중구,37.56030545,127.00475169,59.16,0.5335,0.3214,25,76.0,0.4660897299245992,6.0
중구,37.56589354,127.00694427,34.37,0.7595,0.296,8,75.0,2.502938151671187,30.0
중구,37.5615963,126.99013673,17.88,0.8725,0.1179,25,48.0,0.6931471805599453,20.0
중구,37.5553408,126.98379252,21.47,0.8355,0.3723,0,0.0,2.978187963903081,34.0
중구,37.56060529,126.98968153,26.38,0.905,0.4656,9,55.6,1.85077964762718,39.0
중구,37.55646209,126.98424233,44.62,0.891,0.5759,1,100.0,1.5410659661456148,9.0
중구,37.55634977,126.98417952,37.95,0.8865,0.5759,1,100.0,1.4914374618404542,34.0
중구,37.56105995,127.00331236,46.65,0.5395,0.1179,29,48.3,0.6931471805599453,6.0
중구,37.56039746,126.97757525,32.64,0.722,0.1094,23,60.9,0.2050498078715107,7.0
중구,37.55558838,126.9850216,23.63,0.8325,0.1603,5,60.0,0.017241806434506,7.0
중구,37.55897352,126.98351716,28.47,0.9595,0.6268,21,38.1,0.5986563371390229,39.0
중구,37.56237712,126.98294095,47.37,0.771,0.6013,8,50.0,1.036539860025732,15.0
중구,37.55730627,126.99049245,16.96,0.886,0.2451,0,0.0,1.0986122886681098,7.0
중구,37.55893191,126.98857126,15.2,0.9805,0.1348,15,66.7,1.2881257692367702,9.0
중구,37.56058087,126.99202564,21.77,0.905,0.1348,33,51.5,0.0516500095542754,4.0
중구,37.55857874,126.99502482,39.74,0.7825,0.4656,15,40.0,0.0909717782057266,12.0
중구,37.56386051,126.98858496,22.13,0.785,0.1348,6,100.0,0.1177830356563834,39.0
중구,37.5613481,126.99911036,35.43,0.725,0.1433,9,66.7,2.712598247600114,7.0
중구,37.55378191,126.99241512,26.52,0.6745,0.1518,0,0.0,0.0,7.0
중구,37.55439108,126.97410212,50.93,0.658,0.3893,15,40.0,4.29898464197175,9.78
중구,37.55883796,126.98523766,36.94,0.908,0.5335,23,34.8,0.8744840006913605,7.0
중구,37.55890463,126.986388,38.38,0.8845,0.4487,34,55.9,0.7798304197287472,9.0
중구,37.55862664,126.97564128,47.0,0.6625,0.4402,7,57.1,1.125439530901254,20.0
중구,37.56046238,126.97732197,36.49,0.7105,0.1518,23,65.2,0.5916107613405224,7.0
중구,37.55871693,126.98716971,28.2,0.918,0.5335,15,40.0,1.0557102671239005,34.0
중구,37.556976,126.98465416,38.27,0.906,0.4826,25,64.0,1.0957095290101484,9.0
중구,37.56192055,126.97712593,54.75,0.661,0.4487,14,57.1,3.558351066749184,9.0
중구,37.55399997,127.0052469,51.14,0.795,0.3808,44,75.0,3.872802292274865,3.0
중구,37.56206001,126.98030217,30.37,0.7515,0.3554,3,66.7,0.0218190473946397,39.0
중구,37.5615652,126.984857,49.03,0.804,0.508,29,79.3,2.134937947129352,15.0
중구,37.55958613,126.97790365,29.91,0.752,0.1518,8,62.5,0.0405460943943499,7.0
중구,37.5594974,127.00609868,47.4,0.6,0.3893,6,50.0,1.699539747131287,25.0
중구,37.56144741,127.00129028,41.04,0.6305,0.1433,29,48.3,0.7390842757469709,7.0
중구,37.55820209,126.98284338,14.57,0.98,0.3299,15,60.0,0.6461586711240263,39.0
중구,37.56140326,126.99787449,34.46,0.7795,0.1433,37,62.2,0.7985076962177716,3.0
중구,37.56555219,126.97585864,69.15,0.4795,0.508,2,100.0,0.041672696400568,10.59
중구,37.54780376,127.00218665,50.7,0.5655,0.4826,0,0.0,2.9363088530831902,18.0
중구,37.56342608,126.995507,25.21,0.866,0.2027,32,50.0,0.6931471805599453,15.0
중구,37.56143879,126.98227454,37.61,0.818,0.4741,9,44.4,1.2017965249033404,15.0
중구,37.55986298,126.96908924,58.51,0.409,0.2112,5,80.0,0.1282106588186425,10.0
중구,37.56253058,127.00194604,39.25,0.603,0.1433,10,40.0,0.2145598076228183,3.0
중구,37.56137967,127.00793569,38.93,0.64,0.1433,14,57.1,0.3417492937220566,5.0
중구,37.56288054,126.97864626,55.82,0.672,0.508,19,36.8,3.1939813570440467,5.0
중구,37.55792308,126.98548871,44.21,0.901,0.5929,27,63.0,0.7357067949787413,7.0
중구,37.56523844,126.97737331,46.55,0.533,0.525,0,0.0,0.7449722484245314,39.0
중구,37.56168836,126.97931189,47.77,0.7415,0.5165,7,42.9,2.389841537991274,9.0
중구,37.56206173,126.99491248,27.88,0.9135,0.4232,45,46.7,1.0968233794253852,39.0
중구,37.56177049,127.00707987,37.39,0.6355,0.1094,17,41.2,1.0672617587840336,4.0
중구,37.56440216,126.99952076,48.2,0.684,0.3554,46,65.2,0.4370134658430903,20.0
중구,37.55589221,126.98425667,19.12,0.861,0.3723,0,0.0,2.5709513761465352,34.0
중구,37.56182034,126.98235783,23.37,0.7985,0.067,6,50.0,2.7126691469585045,9.0
중구,37.56201257,126.98374891,32.96,0.791,0.2705,14,50.0,0.4126853560816514,6.0
중구,37.56041505,126.98504625,35.5,0.8575,0.3638,18,61.1,1.8272215026672964,9.0
중구,37.55602148,126.98400789,24.77,0.871,0.508,0,0.0,2.5113651113274305,34.0
용산구,37.5309905,126.99287096,37.56,0.771,0.296,4,100.0,0.009389740349839,13.0
용산구,37.51842522,126.95939349,39.56,0.391,0.1857,0,0.0,0.017241806434506,40.0
용산구,37.53117208,126.99046509,45.76,0.704,0.508,6,66.7,3.2086348857548064,38.0
용산구,37.53120965,126.9912185,35.21,0.731,0.1688,21,47.6,3.4850065721311685,13.0
용산구,37.5517128,126.96658186,61.86,0.6845,0.4147,100,47.0,0.2122469600899965,5.0
용산구,37.52489689,126.96363419,41.44,0.466,0.067,14,71.4,1.556604497612753,40.0
용산구,37.55142339,126.96553086,61.66,0.7335,0.4062,108,62.0,0.6757554378480761,5.0
용산구,37.52931063,126.99379816,40.8,0.704,0.3129,5,60.0,0.046091107200267,5.0
용산구,37.53213283,126.99278762,28.39,0.817,0.1603,28,53.6,1.7727112742573603,13.0
용산구,37.5367936,126.99702538,35.2,0.856,0.3554,15,66.7,1.000848119902218,6.0
용산구,37.52917031,126.9616552,25.84,0.635,0.1179,0,0.0,0.0,14.0
용산구,37.53258975,126.99761001,48.43,0.8725,0.3638,87,71.3,1.2959351403605768,3.0
용산구,37.52621325,126.99250665,40.97,0.6795,0.3638,7,100.0,0.0,38.0
용산구,37.54811198,126.97199695,23.89,0.738,0.1348,12,75.0,0.6371529112053704,40.0
용산구,37.5312925,126.99084352,26.62,0.7215,0.1263,14,57.1,3.259184480105219,38.0
용산구,37.55008607,126.97146748,37.41,0.713,0.4232,15,60.0,0.0823249452560027,40.0
용산구,37.5428,126.97079796,42.54,0.5365,0.1263,12,66.7,2.8058593409741737,30.0
용산구,37.52917031,126.9616552,25.84,0.635,0.1179,0,0.0,0.0,14.0
용산구,37.5315035,126.99550844,32.61,0.839,0.1518,47,51.1,2.418269491993508,4.0
성동구,37.55719846,127.03528869,35.54,0.752,0.3214,30,60.0,0.462134464596392,30.0
성동구,37.54745731,127.05231704,44.5,0.7255,0.3214,12,66.7,3.054001181677967,8.0
성동구,37.5369324,127.06154244,18.11,0.957,0.296,17,47.1,0.1823215567939546,20.0
성동구,37.55948579,127.03411372,37.34,0.8445,0.3469,10,90.0,0.3325326386171326,4.0
성동구,37.56086358,127.03451002,26.17,0.92,0.1942,35,51.4,2.180780219109842,5.0
성동구,37.55868812,127.06005271,44.83,0.585,0.4062,0,0.0,0.0,8.0
성동구,37.55988082,127.03402623,16.09,0.8625,0.1518,8,87.5,0.3058643915349713,40.0
성동구,37.55865215,127.05985981,45.37,0.5775,0.4062,0,0.0,0.0,8.0
성동구,37.5602666,127.03120088,35.34,0.7845,0.1688,29,65.5,1.6094379124341005,3.0
마포구,37.55351459,126.91602446,23.54,0.8215,0.067,24,50.0,1.2585183800659887,7.0
마포구,37.54951825,126.9176306,34.95,0.896,0.3554,29,65.5,0.88343356671638,4.0
마포구,37.55360436,126.92114016,34.69,0.6925,0.067,14,78.6,1.04243378671451,6.0
마포구,37.55176055,126.93463668,40.51,0.8545,0.4487,11,81.8,0.9162907318741552,7.0
마포구,37.53906401,126.94749688,19.94,0.833,0.0839,24,41.7,0.978533040751376,15.0
마포구,37.55257178,126.92161513,32.76,0.7035,0.0924,27,63.0,0.691757326270891,14.0
마포구,37.54915395,126.91679149,25.27,0.9135,0.1518,31,74.2,1.9061698204057995,9.0
마포구,37.55675094,126.92273851,49.56,0.5215,0.1433,14,71.4,1.4897781167648567,9.0
마포구,37.55279782,126.91957432,29.05,0.7745,0.1518,18,44.4,1.5218754194206014,9.0
마포구,37.54012376,126.94891178,28.29,0.8295,0.1348,38,52.6,0.9990115720949166,8.0
마포구,37.55444695,126.91780256,36.28,0.75,0.1263,29,72.4,1.519667913005391,4.0
마포구,37.53794493,126.94757344,45.51,0.776,0.4402,25,48.0,0.947006787104602,2.0
마포구,37.54610662,126.90997111,25.33,0.661,0.2196,0,0.0,0.1335313926245226,27.0
마포구,37.54218159,126.94980945,19.3,0.8095,0.1857,1,100.0,0.6931471805599453,51.0
마포구,37.57957611,126.88587938,31.14,0.795,0.1688,4,100.0,0.4461027538399907,10.0
마포구,37.55348987,126.94178683,43.01,0.5605,0.1179,3,66.7,0.0741079721537218,3.0
마포구,37.54026211,126.95040144,29.29,0.7725,0.1179,8,87.5,0.0360399364831968,9.0
마포구,37.55297852,126.92084785,34.01,0.7225,0.1179,29,51.7,1.551102335421137,9.0
마포구,37.55168271,126.92046518,32.09,0.769,0.1094,29,62.1,1.1300979052416762,5.0
마포구,37.55103429,126.91978342,23.07,0.8075,0.1263,16,68.8,0.6198159074743956,23.0
마포구,37.55523533,126.92394078,48.99,0.539,0.1263,29,55.2,1.1069110914828049,4.0
마포구,37.54519815,126.90996604,33.17,0.624,0.0839,2,100.0,0.9985288301111273,34.06
마포구,37.55117099,126.93573044,30.45,0.8525,0.2705,7,71.4,1.0857088838322018,7.0
마포구,37.55111367,126.93465172,21.35,0.886,0.2112,6,50.0,0.2076393647782445,7.0
마포구,37.554874,126.92806823,47.46,0.625,0.2451,29,62.1,0.3424069721410274,7.0
마포구,37.55152908,126.92007467,43.44,0.788,0.3978,25,60.0,0.8771508235368848,4.0
마포구,37.55210431,126.93347537,35.19,0.851,0.3299,7,57.1,3.7467854516913777,6.0
마포구,37.55107515,126.91943166,38.63,0.8225,0.3638,19,73.7,0.245122458032985,6.0
마포구,37.55166088,126.93446678,33.34,0.8625,0.3299,11,81.8,0.1431008436406733,7.0
