인덱스,보정_X,보정_Y,반경_50m_건물수,주택_수,상업_수,숙박_수,사무_수,기타_수,밀집도,주요_시설군,집중도(%)
2376.0,199776.64427412537,547598.1915448278,75,60,1,0,0,14,75개,주택,80.0
2377.0,197354.97948748837,547856.6680665006,31,5,17,0,0,9,31개,상업,54.8
2378.0,199018.11244995007,548501.312048632,47,31,6,0,0,10,47개,주택,66.0
2379.0,199161.25433295468,548063.0206358654,3,1,1,0,1,0,3개,주택,33.3
2380.0,198231.79308129958,549509.386561007,0,0,0,0,0,0,0개,없음,0.0
2381.0,199693.65268530566,547737.0456097842,6,0,0,0,0,6,6개,기타,100.0
2382.0,196405.4837539462,548430.4275796697,5,2,1,0,0,2,5개,주택,40.0
2383.0,197891.9641350753,549551.8136361211,3,0,0,0,0,3,3개,기타,100.0
2384.0,199331.03540004403,547925.572323915,11,0,0,0,0,11,11개,기타,100.0
2385.0,197532.70883341267,549385.3921709631,22,1,14,1,0,6,22개,상업,63.6
2386.0,197765.48799626768,549816.0848204937,47,36,0,0,0,11,47개,주택,76.6
2387.0,197120.1078882861,549753.8197613655,25,21,3,0,0,1,25개,주택,84.0
2388.0,199183.1810986519,548808.0355545965,28,20,0,0,0,8,28개,주택,71.4
2389.0,197618.7224083929,549711.2563718071,32,30,1,0,0,1,32개,주택,93.8
2390.0,196928.41508405397,550141.0202189492,80,55,5,0,0,20,80개,주택,68.8
2391.0,198549.0119311821,549030.669459336,2,0,0,0,0,2,2개,기타,100.0
2392.0,197971.61837141123,550140.1305786883,43,19,16,1,0,7,43개,주택,44.2
2393.0,197121.179139338,550283.5791075515,83,40,10,0,0,33,83개,주택,48.2
2394.0,197625.91928040693,547946.0687411816,41,8,6,0,0,27,41개,기타,65.9
2395.0,197658.03196639864,549464.8172916877,15,5,7,0,1,2,15개,상업,46.7
2396.0,195801.05735366044,547500.7505810513,0,0,0,0,0,0,0개,없음,0.0
2397.0,196971.00532601765,550147.3497216614,66,48,1,0,0,17,66개,주택,72.7
2398.0,196721.3781690859,547971.9085571667,1,0,0,0,0,1,1개,기타,100.0
2399.0,199226.77210858554,547852.2360408591,12,0,6,0,0,6,12개,상업,50.0
2400.0,198804.00514332394,549050.259373512,22,18,4,0,0,0,22개,주택,81.8
2401.0,198978.10928947447,548235.4444999414,6,1,3,0,0,2,6개,상업,50.0
2402.0,197146.8847328395,548794.7516927444,24,11,8,0,0,5,24개,주택,45.8
2403.0,199347.9218768727,547875.4303683528,7,0,0,0,0,7,7개,기타,100.0
2404.0,198265.98273738587,549469.624425993,0,0,0,0,0,0,0개,없음,0.0
2405.0,198417.4120295489,549570.7351110672,55,38,4,0,0,13,55개,주택,69.1
2406.0,199175.6034739421,548714.1189179615,63,45,3,0,0,15,63개,주택,71.4
2407.0,199284.2917899467,548534.2660663228,24,21,2,0,0,1,24개,주택,87.5
2408.0,199095.47996769747,548110.4215518392,0,0,0,0,0,0,0개,없음,0.0
2409.0,198042.58626872583,549458.1187469278,4,0,0,0,0,4,4개,기타,100.0
2410.0,197725.3250969658,550082.9292140645,50,12,8,0,0,30,50개,기타,60.0
2411.0,199366.5258203279,548494.0080357535,13,10,0,0,0,3,13개,주택,76.9
2412.0,198141.11203754618,549662.1044714198,31,12,10,1,1,7,31개,주택,38.7
2413.0,198978.63671759397,548262.831885254,6,1,4,0,0,1,6개,상업,66.7
2414.0,196811.5975276369,548963.7615532831,12,6,0,0,0,6,12개,주택,50.0
2415.0,202648.34302956623,550674.1218264926,4,2,0,0,0,2,4개,주택,50.0
2416.0,200951.2065806626,549000.9200618445,23,17,4,0,0,2,23개,주택,73.9
2417.0,202543.2657730003,550947.8515439992,5,3,0,0,0,2,5개,주택,60.0
2418.0,204895.37537611375,548413.2171381747,15,8,3,0,0,4,15개,주택,53.3
2419.0,204665.51948734393,548277.5690477514,0,0,0,0,0,0,0개,없음,0.0
2420.0,202337.16457316288,551272.116364495,3,0,0,0,0,3,3개,기타,100.0
2421.0,203673.10071833717,549363.42304827,1,0,0,0,0,1,1개,기타,100.0
2422.0,201822.5672505284,549976.7868660518,18,8,1,0,0,9,18개,기타,50.0
2423.0,204050.78240987827,551240.7154252147,39,27,3,0,0,9,39개,주택,69.2
2424.0,204227.47061134427,548598.1624801789,24,13,4,0,0,7,24개,주택,54.2
2425.0,202851.12066178548,550806.1843008926,6,0,0,0,0,6,6개,기타,100.0
2426.0,204016.40923509758,549616.9143053165,43,5,17,0,0,21,43개,기타,48.8
2427.0,205700.08699272227,549681.1836341982,3,0,0,0,0,3,3개,기타,100.0
2428.0,202700.68706107806,551010.838030088,26,16,3,0,0,7,26개,주택,61.5
2429.0,202889.73831259803,550980.2146209275,20,11,6,0,0,3,20개,주택,55.0
2430.0,205101.34363166182,548790.9149765039,28,13,10,0,0,5,28개,주택,46.4
2431.0,202448.09050571293,551203.0713100552,24,10,5,0,0,9,24개,주택,41.7
2432.0,202291.0227736548,551269.1001641972,5,5,0,0,0,0,5개,주택,100.0
2433.0,204266.81233718526,549591.7000279297,8,1,1,0,0,6,8개,기타,75.0
2434.0,204488.66354333048,549078.9965745369,13,9,2,0,0,2,13개,주택,69.2
2435.0,204784.77852618595,548885.3420173228,9,2,6,0,0,1,9개,상업,66.7
2436.0,203195.32023332108,551616.0634521447,16,1,2,4,1,8,16개,기타,50.0
2437.0,204042.62980094212,549274.4787764641,5,2,3,0,0,0,5개,상업,60.0
2438.0,204062.25756996425,548574.676665083,0,0,0,0,0,0,0개,없음,0.0
2439.0,204171.5131642609,548815.968769013,39,19,8,0,0,12,39개,주택,48.7
2440.0,204740.0668647706,548870.971985908,10,2,7,0,0,1,10개,상업,70.0
2441.0,204747.68054982298,549395.6236094433,13,1,1,0,0,11,13개,기타,84.6
2442.0,202887.90941490902,551458.3266771596,22,1,12,0,0,9,22개,상업,54.5
2443.0,203577.21828111282,549376.5494701996,1,0,0,0,0,1,1개,기타,100.0
2444.0,202661.7045524339,550011.282364792,7,3,2,0,0,2,7개,주택,42.9
2445.0,201660.93882253504,549830.2961850258,67,42,11,0,0,14,67개,주택,62.7
2446.0,205880.57438390702,549683.6443712227,12,4,4,0,0,4,12개,주택,33.3
