인덱스,보정_X,보정_Y,반경_50m_건물수,주택_수,상업_수,숙박_수,사무_수,기타_수,밀집도,주요_시설군,집중도(%)
0.0,198630.79627087922,552035.4126469055,13,0,2,0,1,10,13개,기타,76.9
1.0,198586.8652386699,552307.0714757699,8,0,4,0,0,4,8개,상업,50.0
2.0,198498.91863291207,552473.4037499999,14,0,10,0,1,3,14개,상업,71.4
3.0,199636.41086315393,552376.6679740263,3,0,0,0,0,3,3개,기타,100.0
4.0,201365.39626367114,552247.7338981959,3,0,0,1,0,2,3개,기타,66.7
5.0,198988.9836462216,552223.0972210659,21,1,13,2,1,4,21개,상업,61.9
6.0,200280.21893959673,552611.5759365377,7,0,4,0,0,3,7개,상업,57.1
7.0,197769.2537231727,552117.7398848702,5,0,0,0,0,5,5개,기타,100.0
8.0,199893.409361955,552037.9379629096,37,7,22,0,1,7,37개,상업,59.5
9.0,199177.06429675664,552360.6268234181,31,2,19,2,0,8,31개,상업,61.3
10.0,200833.12138128167,552040.3239096423,6,0,0,0,0,6,6개,기타,100.0
11.0,199243.96095949816,552293.899531079,11,1,8,1,1,0,11개,상업,72.7
12.0,198568.7779223695,551891.2996229794,4,0,0,0,2,2,4개,사무,50.0
13.0,201801.30013730587,552526.9513245515,9,1,2,0,0,6,9개,기타,66.7
14.0,197912.5694321283,550501.8263390432,14,2,4,0,0,8,14개,기타,57.1
15.0,201161.56956579944,552070.7311822909,5,0,1,0,0,4,5개,기타,80.0
16.0,198527.2010799602,551901.1550598735,3,0,0,0,1,2,3개,기타,66.7
17.0,198549.37739769503,551960.972726138,15,0,5,0,3,7,15개,기타,46.7
18.0,200401.72293956898,552062.9568302049,12,0,0,0,0,12,12개,기타,100.0
19.0,201192.31984822478,552214.3525444112,6,2,4,0,0,0,6개,상업,66.7
20.0,200328.85058794063,551973.845648665,5,0,0,0,0,5,5개,기타,100.0
21.0,200297.41136398888,552567.9679397504,8,0,6,0,0,2,8개,상업,75.0
22.0,198906.52558246476,552222.2605370608,16,0,12,0,0,4,16개,상업,75.0
23.0,201689.36029146623,552306.0100812571,48,8,24,0,0,16,48개,상업,50.0
24.0,201057.43107016655,552245.9446390521,3,1,1,0,0,1,3개,주택,33.3
25.0,198819.5742696315,551942.9790719448,1,0,0,0,1,0,1개,사무,100.0
26.0,198656.93362390113,551906.8502930223,3,0,0,0,2,1,3개,사무,66.7
27.0,200902.80723224266,552137.5843467464,2,0,1,0,0,1,2개,상업,50.0
28.0,199157.90320770355,552735.594736647,66,7,40,1,1,17,66개,상업,60.6
29.0,200613.28166375207,552191.0166809219,2,0,1,0,0,1,2개,상업,50.0
30.0,198912.88206470537,552284.288999581,7,0,6,0,1,0,7개,상업,85.7
31.0,199969.99969961532,552226.5493232541,17,0,16,0,1,0,17개,상업,94.1
32.0,198786.90172332362,551865.4942417177,2,0,0,0,1,1,2개,사무,50.0
33.0,198984.60487528364,551902.0228161257,21,3,16,1,1,0,21개,상업,76.2
34.0,198743.1895276212,551823.2355717733,2,0,0,0,0,2,2개,기타,100.0
35.0,198469.8545194891,552315.7462092468,0,0,0,0,0,0,0개,없음,0.0
36.0,201770.68798191342,552337.6907489251,10,6,4,0,0,0,10개,주택,60.0
37.0,199094.42697408606,552705.663555768,76,1,47,0,0,28,76개,상업,61.8
38.0,200179.81452861117,552151.358602176,19,2,12,0,0,5,19개,상업,63.2
39.0,199221.509430179,551851.540972503,24,1,20,0,0,3,24개,상업,83.3
40.0,198237.9295259146,552179.9982888355,0,0,0,0,0,0,0개,없음,0.0
41.0,201741.47664686866,552548.7079597571,27,4,11,0,0,12,27개,기타,44.4
42.0,200349.18228231726,552499.3693311221,37,3,22,3,0,9,37개,상업,59.5
43.0,201643.27788272346,552339.843125652,11,5,6,0,0,0,11개,상업,54.5
44.0,199821.36367809607,552603.4755350583,5,0,0,0,2,3,5개,기타,60.0
45.0,200841.17686852723,552049.5026247533,6,0,0,0,0,6,6개,기타,100.0
46.0,199009.71656988762,552188.241668341,21,0,15,1,0,5,21개,상업,71.4
47.0,201936.18913620804,552665.9806295971,30,1,13,2,3,11,30개,상업,43.3
48.0,198946.09037130894,552525.7160791107,18,1,9,2,0,6,18개,상업,50.0
49.0,199022.30098238483,552472.9760066031,21,0,15,1,1,4,21개,상업,71.4
50.0,198600.0443949757,551890.5464631869,5,0,0,0,2,3,5개,기타,60.0
51.0,201214.62022821675,552180.4065679527,10,1,3,0,2,4,10개,기타,40.0
52.0,200073.60644566335,552544.5378805806,11,1,6,1,1,2,11개,상업,54.5
53.0,201649.8403289358,552323.3680747976,22,6,14,0,0,2,22개,상업,63.6
54.0,199302.81854134166,551834.8171651559,25,0,16,0,4,5,25개,상업,64.0
55.0,201302.88378366685,551982.388503793,14,2,8,0,0,4,14개,상업,57.1
56.0,199747.024385134,553304.9105681141,5,0,0,0,0,5,5개,기타,100.0
57.0,201895.41940314445,552395.1297735608,2,2,0,0,0,0,2개,주택,100.0
58.0,200833.12138128167,552040.3239096423,6,0,0,0,0,6,6개,기타,100.0
59.0,198924.49331165513,551826.5407488396,14,0,0,0,0,14,14개,기타,100.0
60.0,199818.76970981288,552646.8080887382,17,2,10,0,1,4,17개,상업,58.8
61.0,199156.62391649256,552747.8079910919,54,9,30,1,1,13,54개,상업,55.6
62.0,198260.06319060337,552262.4845731237,2,0,1,0,1,0,2개,상업,50.0
63.0,199764.69151090944,552177.2552243591,31,2,21,1,0,7,31개,상업,67.7
64.0,199006.673946376,552233.2991507471,18,1,10,0,2,5,18개,상업,55.6
65.0,201949.27071649054,552329.7351665435,18,12,4,0,0,2,18개,주택,66.7
66.0,198545.2224178295,551854.820889784,4,0,1,0,2,1,4개,사무,50.0
67.0,198951.33900906675,552506.3200992222,19,1,8,2,0,8,19개,상업,42.1
68.0,199006.37860514747,552484.0833005342,22,1,16,1,1,3,22개,상업,72.7
69.0,198886.94444602664,552419.4295567598,8,2,3,0,0,3,8개,상업,37.5
70.0,197733.39181877067,556346.8473702095,0,0,0,0,0,0,0개,없음,0.0
71.0,198811.4974178066,552301.9077807188,19,0,18,1,0,0,19개,상업,94.7
72.0,199121.14481438347,551827.704774757,24,1,17,0,0,6,24개,상업,70.8
73.0,198534.54919873414,552256.166993396,5,0,3,0,0,2,5개,상업,60.0
74.0,197758.9930267871,552053.4208385511,11,0,1,0,0,10,11개,기타,90.9
75.0,199153.42506620253,552459.1771753419,62,24,19,3,0,16,62개,주택,38.7
76.0,199016.85608094474,552710.0067954563,22,1,11,1,2,7,22개,상업,50.0
77.0,199074.67063506105,552648.8944072318,90,12,48,2,0,28,90개,상업,53.3
78.0,198977.9110159749,552460.6630465159,12,0,7,0,1,4,12개,상업,58.3
79.0,200717.74903159903,552011.865092337,15,0,11,0,0,4,15개,상업,73.3
80.0,198797.8154327891,552231.1935629464,26,0,23,0,1,2,26개,상업,88.5
81.0,200155.10229340655,552477.5718007372,13,0,11,0,0,2,13개,상업,84.6
82.0,200899.70909642527,552134.5454252053,2,0,1,0,0,1,2개,상업,50.0
83.0,201038.05425103797,552238.2191970734,2,1,1,0,0,0,2개,주택,50.0
84.0,200141.99846946233,550878.1029810552,3,0,0,0,0,3,3개,기타,100.0
85.0,204971.64555146697,549023.0196935256,14,2,4,0,0,8,14개,기타,57.1
86.0,198142.881185175,550638.8104780519,0,0,0,0,0,0,0개,없음,0.0
87.0,200614.72471174813,551381.2495005345,10,2,5,1,1,1,10개,상업,50.0
88.0,198877.8236016681,551079.5618396221,5,0,0,0,2,3,5개,기타,60.0
89.0,198065.8456165286,550787.3967705403,41,20,9,0,0,12,41개,주택,48.8
90.0,200429.92935371332,551264.5957920651,53,18,18,0,0,17,53개,주택,34.0
91.0,198619.38819773082,551135.7402799611,23,10,6,0,0,7,23개,주택,43.5
92.0,197838.50630844338,551380.7703030313,3,0,0,0,1,2,3개,기타,66.7
93.0,198625.25425126354,551373.6860029487,28,0,24,3,1,0,28개,상업,85.7
94.0,200110.33530204362,551549.0544291819,49,6,36,0,0,7,49개,상업,73.5
95.0,198053.6383276479,551086.299785655,15,1,10,0,2,2,15개,상업,66.7
96.0,199770.377675688,551814.6004484777,21,0,0,0,0,21,21개,기타,100.0
97.0,198876.92529225606,551628.1531880903,3,0,0,0,0,3,3개,기타,100.0
98.0,198814.88444059843,551003.6869586416,27,18,4,1,1,3,27개,주택,66.7
99.0,198730.3970723464,550725.5630760725,0,0,0,0,0,0,0개,없음,0.0
100.0,198636.1421243112,551325.2298411328,19,0,13,2,1,3,19개,상업,68.4
101.0,198591.1337482027,550740.3531601301,1,0,1,0,0,0,1개,상업,100.0
102.0,198623.36975485436,550781.1467289266,3,2,1,0,0,0,3개,주택,66.7
103.0,200513.52452822865,551579.0998381434,19,4,5,0,0,10,19개,기타,52.6
104.0,200039.88636336167,551861.6456940857,34,1,19,0,0,14,34개,상업,55.9
105.0,199353.97264766175,551539.6910528258,37,7,22,2,0,6,37개,상업,59.5
106.0,198483.81164100833,550642.3148532975,3,0,0,0,0,3,3개,기타,100.0
107.0,200074.73044890078,551295.8738878997,32,7,13,0,3,9,32개,상업,40.6
108.0,200596.59900978397,551364.4676098253,9,1,4,1,2,1,9개,상업,44.4
109.0,200730.29620403366,551454.3387158178,24,12,11,0,0,1,24개,주택,50.0
110.0,198507.48244617833,550809.4954558081,9,5,3,0,1,0,9개,주택,55.6
111.0,197755.19557687806,551281.4931884133,2,0,0,0,1,1,2개,사무,50.0
112.0,198232.003862906,551276.3072972411,7,0,5,0,0,2,7개,상업,71.4
113.0,201797.8722851374,551628.4698741261,51,34,8,0,0,9,51개,주택,66.7
114.0,198513.00447155253,550790.3581579385,4,3,1,0,0,0,4개,주택,75.0
115.0,198043.63551127567,550686.8499566467,3,0,1,0,0,2,3개,기타,66.7
116.0,198662.60152975773,551175.7106648618,19,2,8,0,1,8,19개,상업,42.1
117.0,200187.27140031138,551592.1581060358,26,2,18,0,1,5,26개,상업,69.2
118.0,198401.7013059131,551374.312212737,6,0,2,1,1,2,6개,상업,33.3
119.0,200938.5281368711,551798.0030862498,4,0,0,0,1,3,4개,기타,75.0
120.0,199776.899898701,551757.9113115079,9,0,2,0,0,7,9개,기타,77.8
121.0,199095.11347444434,551098.7968180873,3,0,0,0,0,3,3개,기타,100.0
122.0,200212.62477367217,551455.9352263928,7,3,1,0,2,1,7개,주택,42.9
123.0,200710.77679720952,551455.3252182081,22,13,7,0,1,1,22개,주택,59.1
124.0,198513.571993373,551211.1033804319,7,0,1,1,1,4,7개,기타,57.1
125.0,198711.0044082769,550729.7037203801,0,0,0,0,0,0,0개,없음,0.0
126.0,201643.41106220515,551532.9733679544,25,12,9,0,0,4,25개,주택,48.0
127.0,197867.1566411129,551779.8808975669,2,0,0,0,0,2,2개,기타,100.0
128.0,197623.5582939999,551114.9523959993,3,0,0,0,3,0,3개,사무,100.0
129.0,197895.49116050793,551035.7030265001,3,0,3,0,0,0,3개,상업,100.0
130.0,200686.36465816828,551262.1613897205,21,20,1,0,0,0,21개,주택,95.2
131.0,200095.261182809,551680.7936632182,31,0,18,0,1,12,31개,상업,58.1
132.0,201277.70608521532,551309.3758412572,28,13,10,0,0,5,28개,주택,46.4
133.0,198651.4645207709,550718.885269002,0,0,0,0,0,0,0개,없음,0.0
134.0,199127.5345291792,551102.6861913538,1,0,0,0,0,1,1개,기타,100.0
135.0,199333.80138744815,551328.4794870764,22,0,12,1,3,6,22개,상업,54.5
136.0,200588.9599099359,551679.8840504448,25,1,14,2,1,7,25개,상업,56.0
137.0,200168.83910333065,551476.043044703,14,5,4,0,2,3,14개,주택,35.7
138.0,198911.02864409995,551082.214388761,4,0,0,0,2,2,4개,사무,50.0
139.0,201971.73433262116,551882.53103038,15,7,4,1,0,3,15개,주택,46.7
140.0,197185.17880579855,550729.3021068457,25,7,12,0,0,6,25개,상업,48.0
141.0,198375.2323745463,550977.3670322751,24,1,4,0,0,19,24개,기타,79.2
142.0,197953.41098862592,551119.8715293836,14,0,14,0,0,0,14개,상업,100.0
143.0,199037.91647727598,551051.2919938677,3,0,0,0,1,2,3개,기타,66.7
144.0,199114.93304756208,551143.358208599,2,0,0,0,0,2,2개,기타,100.0
145.0,197786.2331037208,550657.2032372862,6,0,0,0,0,6,6개,기타,100.0
146.0,199444.8471528459,551149.7429041993,2,0,0,0,0,2,2개,기타,100.0
147.0,198260.88073224734,551708.9091623086,2,0,0,1,0,1,2개,숙박,50.0
148.0,198898.28200952755,551082.8393021182,4,0,0,0,2,2,4개,사무,50.0
149.0,199397.14761905445,551545.5523470456,32,2,19,1,0,10,32개,상업,59.4
150.0,199492.98110917996,550994.4681934149,2,0,0,0,0,2,2개,기타,100.0
151.0,199024.56277137456,551170.488726467,3,0,0,0,2,1,3개,사무,66.7
152.0,199857.60507136743,551819.2232806961,27,4,16,0,1,6,27개,상업,59.3
153.0,197769.96181620515,551288.7415806794,2,0,0,0,1,1,2개,사무,50.0
154.0,201769.9180126023,551982.737675837,73,37,21,1,0,14,73개,주택,50.7
155.0,199020.6072956978,551148.3361045314,4,0,0,0,2,2,4개,사무,50.0
156.0,198357.30899455908,551193.9114926367,0,0,0,0,0,0,0개,없음,0.0
157.0,198403.08319730542,551049.0124258364,9,0,1,0,0,8,9개,기타,88.9
158.0,198526.80971895694,551090.6071435082,7,1,2,0,0,4,7개,기타,57.1
159.0,198614.55019948696,550677.047277743,0,0,0,0,0,0,0개,없음,0.0
160.0,198229.10038180478,550386.9737594093,0,0,0,0,0,0,0개,없음,0.0
161.0,198996.36663282558,551477.7041077145,2,0,0,0,0,2,2개,기타,100.0
162.0,199713.33857172565,551623.5581707405,42,13,14,0,1,14,42개,상업,33.3
163.0,201818.29808364902,551601.6724901746,47,35,7,0,0,5,47개,주택,74.5
164.0,199303.88959026226,551060.8430105731,12,4,1,0,0,7,12개,기타,58.3
165.0,197118.12565496447,550448.6522842534,27,10,7,0,0,10,27개,주택,37.0
166.0,198615.1245708002,550625.0734453698,0,0,0,0,0,0,0개,없음,0.0
167.0,199161.6808447745,550949.6746314872,0,0,0,0,0,0,0개,없음,0.0
168.0,200314.646974737,551554.0669252265,12,2,6,0,2,2,12개,상업,50.0
169.0,198118.29656597605,550847.7712050288,41,22,9,0,0,10,41개,주택,53.7
170.0,198780.01867934928,551009.7735895613,24,9,10,2,1,2,24개,상업,41.7
171.0,200161.19241800494,551521.4155171107,22,3,16,0,0,3,22개,상업,72.7
172.0,200526.65636129526,551268.2986850314,32,17,9,0,1,5,32개,주택,53.1
173.0,200792.068633415,551392.7896117498,24,8,6,0,0,10,24개,기타,41.7
174.0,197891.56489744195,550990.5934655636,10,0,5,1,0,4,10개,상업,50.0
175.0,200096.93068802796,551569.9296380804,41,5,28,1,0,7,41개,상업,68.3
176.0,199238.83747724435,551039.7925520273,2,0,0,0,0,2,2개,기타,100.0
177.0,198514.1267679165,551341.5123094659,14,0,8,0,1,5,14개,상업,57.1
178.0,198609.6542670506,551404.4049061491,26,0,19,4,0,3,26개,상업,73.1
179.0,198333.3358245795,551110.7848875709,6,0,0,0,0,6,6개,기타,100.0
180.0,198584.7972575515,550705.2102493829,0,0,0,0,0,0,0개,없음,0.0
181.0,200419.8321865149,551197.2911072366,25,1,19,1,0,4,25개,상업,76.0
182.0,200613.5102976689,551817.5153668826,8,0,6,0,0,2,8개,상업,75.0
183.0,199128.5532846016,551340.5954942082,25,0,12,2,2,9,25개,상업,48.0
184.0,198567.90431841192,550646.3871875398,0,0,0,0,0,0,0개,없음,0.0
185.0,199088.3226670009,551230.6101491931,9,1,5,0,1,2,9개,상업,55.6
186.0,198607.67094714683,550770.8299362587,1,0,1,0,0,0,1개,상업,100.0
187.0,198602.1192504995,550758.3646665887,1,0,1,0,0,0,1개,상업,100.0
188.0,200292.65826970834,551281.0270117031,29,14,5,0,0,10,29개,주택,48.3
189.0,198018.67992650642,551207.729791044,23,0,14,0,1,8,23개,상업,60.9
190.0,198676.51035964844,550673.8480235527,5,0,3,0,0,2,5개,상업,60.0
191.0,198543.6447003793,551049.5806203656,21,8,8,0,0,5,21개,주택,38.1
192.0,198492.80193313395,551427.348965871,8,0,4,0,0,4,8개,상업,50.0
193.0,199159.93318735666,550864.449621814,0,0,0,0,0,0,0개,없음,0.0
194.0,198990.2029550499,551044.8953472287,15,1,3,0,1,10,15개,기타,66.7
195.0,199295.43397725286,551227.879585741,33,8,17,0,4,4,33개,상업,51.5
196.0,199560.41161802996,551005.6478144604,15,5,3,0,1,6,15개,기타,40.0
197.0,198991.4806520314,551591.9120712162,6,0,0,0,0,6,6개,기타,100.0
198.0,199921.39750753148,551313.0036475562,9,0,3,0,0,6,9개,기타,66.7
199.0,199329.7851600761,550473.2728096884,0,0,0,0,0,0,0개,없음,0.0
200.0,197711.63011985098,550541.1714024538,15,2,3,2,2,6,15개,기타,40.0
201.0,198695.65858701643,551034.5095175853,23,6,8,4,0,5,23개,상업,34.8
202.0,198797.29864019086,551041.8933256074,34,19,7,1,1,6,34개,주택,55.9
203.0,197847.75449952157,551011.2318615171,7,0,4,1,2,0,7개,상업,57.1
204.0,197996.30319005865,551214.9404435953,23,0,15,0,1,7,23개,상업,65.2
205.0,198866.3649172101,551021.0509605156,15,6,3,0,1,5,15개,주택,40.0
206.0,198644.06904047477,550827.8617628606,25,16,2,0,0,7,25개,주택,64.0
207.0,197979.02122986247,551376.7833715854,14,0,8,1,1,4,14개,상업,57.1
208.0,200463.62530353808,550497.4609039078,44,33,1,0,0,10,44개,주택,75.0
209.0,198259.65357738943,551392.198218658,3,0,0,0,1,2,3개,기타,66.7
210.0,198662.0732208512,551337.2062726249,29,0,23,0,1,5,29개,상업,79.3
211.0,198047.67406342644,551117.674050617,8,0,5,0,1,2,8개,상업,62.5
212.0,200538.8501274174,551107.6143402848,6,0,1,0,2,3,6개,기타,50.0
213.0,200113.99961554926,551324.0261006444,29,8,14,0,0,7,29개,상업,48.3
214.0,198484.09646567202,550963.9717531778,15,3,2,0,1,9,15개,기타,60.0
215.0,199812.204706686,551319.1274690026,37,6,23,1,0,7,37개,상업,62.2
216.0,197867.1566411129,551779.8808975669,2,0,0,0,0,2,2개,기타,100.0
217.0,200193.23242456815,549809.7446848883,0,0,0,0,0,0,0개,없음,0.0
218.0,199603.04070677955,551543.6434233019,32,8,16,0,0,8,32개,상업,50.0
219.0,198433.9032119565,551323.216289926,9,0,4,0,2,3,9개,상업,44.4
220.0,197268.88543382386,551148.6209789647,5,0,0,0,1,4,5개,기타,80.0
221.0,200171.9358167246,551444.2464211365,10,4,2,0,2,2,10개,주택,40.0
222.0,200701.14240474367,551316.536804153,14,8,4,0,0,2,14개,주택,57.1
223.0,198113.3706636476,551483.2999769116,19,2,7,0,5,5,19개,상업,36.8
224.0,198717.82449165173,550932.9648397779,27,17,6,1,0,3,27개,주택,63.0
225.0,198000.96717682102,551745.0255470946,0,0,0,0,0,0,0개,없음,0.0
226.0,198172.15111948736,551350.9692234289,7,1,1,0,3,2,7개,사무,42.9
227.0,199550.50627087321,551392.2196935826,45,11,13,0,0,21,45개,기타,46.7
228.0,200625.5246484691,551359.906142005,17,6,7,0,1,3,17개,상업,41.2
229.0,199957.6590441175,551651.9673153334,46,3,30,0,1,12,46개,상업,65.2
230.0,198608.92722350088,550707.5805105665,0,0,0,0,0,0,0개,없음,0.0
231.0,198441.26987484412,551365.5617368659,6,0,3,0,2,1,6개,상업,50.0
232.0,198564.1795108992,551386.874682462,14,0,7,2,0,5,14개,상업,50.0
233.0,198678.77428683123,551209.5507291807,18,2,11,0,1,4,18개,상업,61.1
234.0,198586.94748395696,550721.9311662026,0,0,0,0,0,0,0개,없음,0.0
235.0,199369.87196840518,547943.6997762911,4,0,0,0,0,4,4개,기타,100.0
236.0,196410.23349429294,546549.8620902312,0,0,0,0,0,0,0개,없음,0.0
237.0,199157.22175149963,547963.8718903941,6,0,0,1,1,4,6개,기타,66.7
238.0,199223.81548374763,547968.0358844441,21,1,7,2,1,10,21개,기타,47.6
239.0,197047.02493391788,550244.1239275848,100,47,6,0,0,47,100개,주택,47.0
240.0,196785.40480194162,547267.9828644327,14,0,3,0,1,10,14개,기타,71.4
241.0,196954.1422987215,550212.036562714,108,67,4,0,0,37,108개,주택,62.0
242.0,199451.81421534054,547757.2493563124,5,2,0,0,0,3,5개,기타,60.0
243.0,199362.51518341963,548070.4853884809,28,11,2,0,0,15,28개,기타,53.6
244.0,199737.09741355453,548587.7533147938,15,10,1,0,0,4,15개,주택,66.7
245.0,196610.6638395097,547742.348636253,0,0,0,0,0,0,0개,없음,0.0
246.0,199788.75574832334,548121.1757984336,87,62,3,0,0,22,87개,주택,71.3
247.0,199337.62862898168,547413.4871563803,7,0,0,0,0,7,7개,기타,100.0
248.0,197525.40731046128,549844.3198415597,12,1,9,0,1,1,12개,상업,75.0
249.0,199190.67180628283,547977.2343352534,14,1,2,2,1,8,14개,기타,57.1
250.0,197478.6856538602,550063.434682284,15,0,9,0,0,6,15개,상업,60.0
251.0,197419.27126614566,549254.7868135421,12,0,4,0,0,8,12개,기타,66.7
252.0,196610.6638395097,547742.348636253,0,0,0,0,0,0,0개,없음,0.0
253.0,199602.99833577304,548000.6223536262,47,24,4,0,0,19,47개,주택,51.1
254.0,203118.0367228507,550853.0273317611,30,18,7,0,0,5,30개,주택,60.0
255.0,204623.227883499,549772.5771855414,12,2,2,0,0,8,12개,기타,66.7
256.0,205439.23601786495,548604.933857576,17,4,8,0,0,5,17개,상업,47.1
257.0,203014.12637112496,551106.8553532227,10,0,1,0,0,9,10개,기타,90.0
258.0,203049.08509207872,551259.7864866282,35,15,2,0,0,18,35개,기타,51.4
259.0,205306.02940685136,551019.4711221303,0,0,0,0,0,0,0개,없음,0.0
260.0,203006.37979418747,551150.696474495,8,1,0,0,0,7,8개,기타,87.5
261.0,205288.9871661364,551015.4678790962,0,0,0,0,0,0,0개,없음,0.0
262.0,202756.732460612,551193.4264742057,29,19,6,0,0,4,29개,주택,65.5
263.0,192579.727675563,550446.8908291837,24,12,11,0,0,1,24개,주택,50.0
264.0,192721.2614858386,550003.2192477863,29,10,19,0,0,0,29개,상업,65.5
265.0,193031.77114200912,550456.4628187867,14,1,11,0,1,1,14개,상업,78.6
266.0,194224.2107591496,550250.9071452431,11,2,0,0,0,9,11개,기타,81.8
267.0,195359.80805065628,548841.0318032437,24,7,10,0,1,6,24개,상업,41.7
268.0,193073.64466155105,550341.8232140292,27,1,17,0,0,9,27개,상업,63.0
269.0,192647.07567168487,549962.8511910717,31,7,23,0,0,1,31개,상업,74.2
270.0,193173.29149878205,550805.5776562579,14,1,10,0,1,2,14개,상업,71.4
271.0,192893.33307840407,550367.0638589964,18,3,8,0,2,5,18개,상업,44.4
272.0,195484.91986945143,548958.5823135229,38,6,20,0,0,12,38개,상업,52.6
273.0,192736.93539728766,550550.2326562738,29,21,7,0,0,1,29개,주택,72.4
274.0,195366.50448647645,548716.823596557,25,12,7,0,1,5,25개,주택,48.0
275.0,192044.05206234832,549625.1901753983,0,0,0,0,0,0,0개,없음,0.0
276.0,195564.37575784838,549186.933273231,1,0,0,0,1,0,1개,사무,100.0
277.0,189919.55005187396,553342.2222085992,4,4,0,0,0,0,4개,주택,100.0
278.0,194856.14817511349,550442.4248141889,3,1,0,0,0,2,3개,기타,66.7
279.0,195616.58072389598,548973.8671316367,8,1,0,0,0,7,8개,기타,87.5
280.0,193005.8833653644,550387.0232303045,29,10,15,0,0,4,29개,상업,51.7
281.0,192971.94772774665,550243.2325474278,29,9,18,0,0,2,29개,상업,62.1
282.0,192911.64262449893,550171.3173523587,16,4,11,0,0,1,16개,상업,68.8
283.0,193279.38663667932,550637.2767767386,29,16,13,0,0,0,29개,주택,55.2
284.0,192043.50729711825,549524.361048162,2,0,0,0,0,2,2개,기타,100.0
285.0,194320.81609484158,550185.4056712824,7,2,0,0,0,5,7개,기타,71.4
286.0,194225.4902219463,550179.1097242023,6,3,0,0,0,3,6개,주택,50.0
287.0,193644.05818476385,550596.8862317323,29,18,10,0,1,0,29개,주택,62.1
288.0,192937.426138743,550226.2105306266,25,8,15,0,0,2,25개,상업,60.0
289.0,194121.61946048733,550289.1323323683,7,1,4,0,0,2,7개,상업,57.1
290.0,192880.56369439358,550175.8786764926,19,5,14,0,0,0,19개,상업,73.7
291.0,194209.19053112168,550239.8546583429,11,2,0,0,0,9,11개,기타,81.8
292.0,193599.72224399418,550582.8356985659,31,18,12,0,0,1,31개,주택,58.1
293.0,195002.71618744545,548331.0671348718,0,0,0,0,0,0,0개,없음,0.0
294.0,193449.98502703835,551015.020894903,10,2,5,0,1,2,10개,상업,50.0
295.0,193285.5497358972,550808.5716411193,5,0,3,0,1,1,5개,상업,60.0
296.0,192702.3578994277,550008.9175761901,31,9,22,0,0,0,31개,상업,71.0
297.0,184522.90783477048,551531.9244885368,0,0,0,0,0,0,0개,없음,0.0
298.0,189200.1477331521,549654.9510389593,23,19,3,0,0,1,23개,주택,82.6
299.0,183863.69250241236,549443.6107350423,2,0,0,0,0,2,2개,기타,100.0
300.0,186892.9473893522,550261.9913635341,24,11,10,0,0,3,24개,주택,45.8
301.0,184029.32007898437,549535.6072319562,4,0,0,0,0,4,4개,기타,100.0
302.0,186720.89501067568,550123.2113561542,3,0,0,0,1,2,3개,기타,66.7
303.0,183962.8286621921,549599.177635822,13,0,2,0,0,11,13개,기타,84.6
304.0,182524.82383563003,551438.2508967903,0,0,0,0,0,0,0개,없음,0.0
305.0,186440.44386380812,547428.8644480398,13,11,0,0,0,2,13개,주택,84.6
306.0,186374.2778775907,547401.426813655,12,12,0,0,0,0,12개,주택,100.0
307.0,188239.33676093692,550510.8018706226,7,1,4,0,0,2,7개,상업,57.1
308.0,185373.8755524768,550852.5218455098,0,0,0,0,0,0,0개,없음,0.0
309.0,185841.6525517449,547544.3946159423,31,24,6,0,0,1,31개,주택,77.4
310.0,185746.53500000018,550996.1449999998,9,0,3,0,0,6,9개,기타,66.7
311.0,187554.7133711281,550514.9669271898,19,8,4,0,2,5,19개,주택,42.1
312.0,186358.33210230997,549480.1638845467,23,15,7,0,0,1,23개,주택,65.2
313.0,183171.10158215323,550946.909086172,34,29,1,0,1,3,34개,주택,85.3
314.0,189152.26963715602,549524.5407861056,5,3,2,0,0,0,5개,주택,60.0
315.0,183993.3931473847,549605.865701793,17,0,2,0,0,15,17개,기타,88.2
316.0,192165.9345303703,546508.0007927087,15,1,1,0,4,9,15개,기타,60.0
317.0,192899.0647959343,547567.1383019297,3,0,0,0,2,1,3개,사무,66.7
318.0,191851.1930040651,544816.9088144179,0,0,0,0,0,0,0개,없음,0.0
319.0,190915.9225909909,547210.3041674449,48,23,23,0,0,2,48개,주택,47.9
320.0,192147.07137418207,546166.1985799756,0,0,0,0,0,0,0개,없음,0.0
321.0,190182.95623698345,546740.0034489969,3,0,0,0,1,2,3개,기타,66.7
322.0,190171.84479551148,546760.1312737277,3,0,0,0,1,2,3개,기타,66.7
323.0,189850.7519998296,547211.4903599118,47,28,9,0,1,9,47개,주택,59.6
324.0,190378.8953670583,546678.151132038,7,3,3,0,1,0,7개,주택,42.9
325.0,189758.73565502572,547157.1308580169,9,1,4,0,0,4,9개,상업,44.4
326.0,189814.29107752384,547181.9999732929,33,18,7,0,0,8,33개,주택,54.5
327.0,191925.582929647,546245.8063873901,3,0,2,0,0,1,3개,상업,66.7
328.0,190705.3221578545,545302.1561173723,8,3,0,0,0,5,8개,기타,62.5
329.0,191858.02730632553,546421.2132633316,30,0,19,1,0,10,30개,상업,63.3
330.0,190957.9998881082,546729.2606087426,2,0,0,0,0,2,2개,기타,100.0
331.0,189774.09954796723,547173.1612670461,12,3,5,0,0,4,12개,상업,41.7
332.0,191019.9940490927,546713.4082947674,0,0,0,0,0,0,0개,없음,0.0
