119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
녹번119안전센터,,11000000147429,서울특별시,,응암동,20200628,숙박시설,Y,20111118,은평소방서,베네치아 모텔,19990515,Y,,,454532.22,,20190628,,192750.84,20111020,은평구,베네치아모텔,kb손해보험,작동점검대상
현장대응단,서울특별시 관악구 봉천동,11000000213714,서울특별시,,봉천동,20190501,숙박시설,Y,20140904,관악소방서,린호텔(베스테이린빌딩),20140929,Y,N,,442258.25,,20180501,N,195699.17,20140904,관악구,,현대해상,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000105128,서울특별시,,방이동,20161231,숙박시설,Y,20050821,송파소방서,라비호텔,20010110,Y,,,446201.47,,20160101,,209662.62,,송파구,히노스모텔,삼성화재,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000089279,서울특별시,,방이동,20170114,숙박시설,Y,20050802,송파소방서,동그라미호텔 (주)마그넷 앤 컴퍼니,19970814,Y,N,,446278.67,,20160115,,209971.37,,송파구,호텔 동그라미,삼성화재,종합점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000107454,서울특별시,,방이동,20171231,숙박시설,Y,20050821,송파소방서,와우모텔,20020805,Y,,,446144.79,,20170101,,209526.0,,송파구,와우모텔,삼성화재,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000104784,서울특별시,,방이동,20151231,숙박시설,Y,20050821,송파소방서,HL모텔(구 아모르모텔),20011224,Y,N,,446239.48,,20150101,,209722.53,,송파구,,동부화재,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000048559,서울특별시,,방이동,20150708,숙박시설,Y,20050913,송파소방서,올리브호텔,19890915,Y,,,446298.2,,20140709,,210048.65,,송파구,올리브호텔,한화손해보험,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000029974,서울특별시,,방이동,20151130,숙박시설,Y,19990224,송파소방서,힐빌딩,19830801,Y,,,445511.35,,20141130,,210405.8,,송파구,힐모텔,삼성,작동점검대상
방이119안전센터,서울특별시 송파구 방이동,11000000117688,서울특별시,,방이동,20170405,숙박시설,Y,20050414,송파소방서,까사호텔,20040621,Y,,,446286.98,,20160405,,209810.47,,송파구,까사호텔,삼성화재,작동점검대상
공릉119안전센터,서울특별시 노원구 공릉동,11000000025874,서울특별시,,공릉동,20181231,숙박시설,Y,20011124,노원소방서,QT모텔,19811022,Y,N,,458107.68,,20130601,,206493.04,,노원구,화랑장여관,삼성화재,작동점검대상
