시설ID,시설명,시설유형,소방서ID,X좌표,Y좌표,위도,경도,관할구역
1107102,청량리119안전센터,안전센터/구조대,1107000,204628.101,554181.596,37.5871823,127.0524,"동대문구중 : 청량리동, 회기동, 이문동[이문1동 중 255의(6, 12, 13, 15, 63, 65~116, 124, 126, 130~135, 259, 284, 288~341, 344, 347, 354~358, 367, 376~379, 396, 416호), 257, 262~264, 266~287, 288의(39~71, 74, 94호), 290, 291, 292의 4호, 305의(6~146, 154호), 306~351, 375~426]"
1107103,전농119안전센터,안전센터/구조대,1107000,204062.571611,552975.774611,37.5763206,127.0459903,"동대문구중 : 전농동(전농1ㆍ2동), 답십리동 (답십리1동),"
1107104,용두119안전센터,안전센터/구조대,1107000,202801.302,553145.174,37.5778516,127.0317128,"동대문구중 : 용신동, 제기동"
1107105,휘경119안전센터,안전센터/구조대,1107000,205739.835,554572.149,37.5906949,127.0649903,"동대문구중 : 휘경동, 이문동[이문1동 중 255의(6, 12, 13, 15, 63, 65~116, 124, 126, 130~135, 259, 284, 288~341, 344, 347, 354~358, 367, 376~379, 396, 416호), 257, 262~264, 266~287, 288의(39~71, 74, 94호), 290, 291, 292의 4호, 305의(6~146, 154호), 306~351, 375~426번지 제외], 이문2동"
1108000,영등포소방서,소방서,1100000,191525.273,546557.077,37.5184583,126.904136,"영등포구중 : 당산동(당산1ㆍ2동), 양평동(양평1ㆍ2동) / 영등포구중 : 대림동, 신길동(신길5ㆍ6동) / 영등포구중 : 신길동(신길1ㆍ2ㆍ4ㆍ7동) / 영등포구중 : 여의도동 / 영등포구중 : 영등포동(영등포1~3동), 도림동, 문래동(문래1ㆍ2동), 신길동(신길3동)"
1108101,영등포119안전센터,안전센터/구조대,1108000,191527.592,546543.738,37.5183381,126.9041624,"영등포구중 : 영등포동(영등포1~3동), 도림동, 문래동(문래1ㆍ2동), 신길동(신길3동)"
1108102,여의도119안전센터,안전센터/구조대,1108000,193637.287,546421.51,37.5172538,126.9280278,영등포구중 : 여의도동
1108103,당산119안전센터,안전센터/구조대,1108000,191092.141,548448.622,37.5354971,126.8992136,"영등포구중 : 당산동(당산1ㆍ2동), 양평동(양평1ㆍ2동)"
1108104,대림119안전센터,안전센터/구조대,1108000,191522.249,544219.922,37.4974004,126.9041288,"영등포구중 : 대림동, 신길동(신길5ㆍ6동)"
1108105,신길119안전센터,안전센터/구조대,1108000,193124.077,545672.036,37.5104974,126.9222296,영등포구중 : 신길동(신길1ㆍ2ㆍ4ㆍ7동)
1109000,성북소방서,소방서,1100000,202796.31,555865.529,37.6023618,127.0316666,"성북구중 : 정릉동, 길음동 / 성북구중 : 돈암동(돈암2동), 삼선동(삼선1ㆍ2동), 성북동, 보문동, 동선동(동선1ㆍ2동), 동소문동 / 성북구중 : 장위동, 석관동 / 성북구중 : 종암동, 상월곡동, 하월곡동, 안암동, 돈암동(돈암1동)"
1109101,종암119안전센터,안전센터/구조대,1109000,202787.163,555879.672,37.6024893,127.0315631,"성북구중 : 종암동, 상월곡동, 하월곡동, 안암동, 돈암동(돈암1동)"
1109102,돈암119안전센터,안전센터/구조대,1109000,201280.753,554600.247,37.5909651,127.0145016,"성북구중 : 돈암동(돈암2동), 삼선동(삼선1ㆍ2동), 성북동, 보문동, 동선동(동선1ㆍ2동), 동소문동"
1109103,길음119안전센터,안전센터/구조대,1109000,201690.034,555917.924,37.6028366,127.0191388,"성북구중 : 정릉동, 길음동"
1109104,장위119안전센터,안전센터/구조대,1109000,205008.0574,557540.2475,37.6174415,127.0567249,"성북구중 : 장위동, 석관동"
1110000,도봉소방서,소방서,1100000,203799.774,562703.761,37.6639697,127.0430658,"도봉구중 : 도봉동(도봉1ㆍ2동), 방학2동 / 도봉구중 : 방학동[방학1동], 창동[창4동(26~33, 35, 38, 762, 766, 770, 722, 773, 775~777, 783, 788, 789, 790, 795, 797 제외), 창5동], 쌍문2동 / 도봉구중 : 방학3동, 쌍문1,3,4동 / 도봉구중 : 창동[창1동?3동, 창4동중 26~33, 35, 38, 762, 766, 770, 772, 773, 775~777, 783, 788~790, 795, 797번지] "
1110102,방학119안전센터,안전센터/구조대,1110000,203802.774,562703.76,37.6639697,127.0430998,"도봉구중 : 방학동[방학1동], 창동[창4동(26~33, 35, 38, 762, 766, 770, 722, 773, 775~777, 783, 788, 789, 790, 795, 797 제외), 창5동], 쌍문2동"
1110103,창동119안전센터,안전센터/구조대,1110000,203860.745,560793.12,37.6467549,127.0437468,"도봉구중 : 창동[창1동?3동, 창4동중 26~33, 35, 38, 762, 766, 770, 772, 773, 775~777, 783, 788~790, 795, 797번지] "
1110106,도봉119안전센터,안전센터/구조대,1110000,203608.2024,565323.0406,37.6875696,127.0409076,"도봉구중 : 도봉동(도봉1ㆍ2동), 방학2동"
1110108,쌍문119안전센터,안전센터/구조대,1110000,202367.981,560953.287,37.6482031,127.0268325,"도봉구중 : 방학3동, 쌍문1,3,4동"
1111000,노원소방서,소방서,1100000,206282.718,559833.779,37.638098,127.0711823,"노원구중 : 공릉1ㆍ2동 / 노원구중 : 상계2ㆍ3ㆍ4ㆍ5동, 중계1ㆍ4동 / 노원구중 : 상계1동ㆍ8동ㆍ9동ㆍ10동 / 노원구중 : 월계1ㆍ2ㆍ3동 / 노원구중 : 하계1ㆍ2동, 중계본동, 중계2ㆍ3동, 상계6ㆍ7동"
1111101,하계119안전센터,안전센터/구조대,1111000,206282.718,559833.779,37.638098,127.0711823,"노원구중 : 하계1ㆍ2동, 중계본동, 중계2ㆍ3동, 상계6ㆍ7동"
1111102,상계119안전센터,안전센터/구조대,1111000,206323.823,561709.013,37.6549933,127.0716643,"노원구중 : 상계2ㆍ3ㆍ4ㆍ5동, 중계1ㆍ4동"
1111104,월계119안전센터,안전센터/구조대,1111000,204982.754,558803.637,37.6288246,127.0564469,노원구중 : 월계1ㆍ2ㆍ3동
1111105,수락119안전센터,안전센터/구조대,1111000,204914.792,564448.892,37.6796877,127.055715,노원구중 : 상계1동ㆍ8동ㆍ9동ㆍ10동
1111106,공릉119안전센터,안전센터/구조대,1111000,207124.3886,557728.0491,37.6191196,127.0806978,노원구중 : 공릉1ㆍ2동
1112000,은평소방서,소방서,1100000,192946.427,558799.52,37.6287739,126.920094,"은평구중 : 녹번동, 응암동(응암1ㆍ2ㆍ3동) / 은평구중 : 신사동(신사1ㆍ2동), 수색동, 증산동 / 은평구중 : 역촌동, 구산동, 갈현동(갈현2동) / 은평구중 : 진관동, 갈현동(갈현1동), 대조동, 불광동(불광1ㆍ2동)"
1112105,녹번119안전센터,안전센터/구조대,1112000,194260.402,555730.588,37.6011324,126.9350033,"은평구중 : 녹번동, 응암동(응암1ㆍ2ㆍ3동)"
1112106,역촌119안전센터,안전센터/구조대,1112000,192111.068864,556161.096981,37.6049953,126.9106591,"은평구중 : 역촌동, 구산동, 갈현동(갈현2동)"
1112107,수색119안전센터,안전센터/구조대,1112000,190277.590163,553970.126508,37.5852373,126.8899244,"은평구중 : 신사동(신사1ㆍ2동), 수색동, 증산동"
1112108,진관119안전센터,안전센터/구조대,1112000,192940.242,558802.511,37.6288008,126.9200239,"은평구중 : 진관동, 갈현동(갈현1동), 대조동, 불광동(불광1ㆍ2동)"
1113000,마포소방서,소방서,1100000,194103.53,549986.269,37.5493754,126.9332731,"마포구중 : 공덕동, 신공덕동, 아현동 / 마포구중 : 상암동 / 마포구중 : 동교동, 서교동, 연남동, 합정동, 망원동(망원1동) / 마포구중 : 망원동(망원2동), 성산동, 중동 / 마포구중 : 대흥동, 노고산동, 신수동, 구수동, 현석동, 창전동, 상수동, 하중동, 신정동, 당인동 / 마포구중 : 도화동, 마포동, 염리동, 용강동, 토정동"
1113102,신수119안전센터,안전센터/구조대,1113000,194088.916,549993.098,37.5494368,126.9331077,"마포구중 : 대흥동, 노고산동, 신수동, 구수동, 현석동, 창전동, 상수동, 하중동, 신정동, 당인동"
1113103,염리119안전센터,안전센터/구조대,1113000,195187.158,549126.337,37.5416337,126.9455415,"마포구중 : 도화동, 마포동, 염리동, 용강동, 토정동"
1113104,서교119안전센터,안전센터/구조대,1113000,192534.048,550093.925,37.550334,126.9155111,"마포구중 : 동교동, 서교동, 연남동, 합정동, 망원동(망원1동)"
