좌표정보X(EPSG5174),좌표정보Y(EPSG5174),대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,도로명대지위치,연면적(㎡),대지면적(㎡),건축면적(㎡),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,용적률(%),건폐율(%),용적률산정연면적(㎡),용도지역,건폐율_법정상한(%),용적률_법정상한(%)
202881.57,444632.32,서울특별시 강남구 역삼동 626-29번지,11680,10100,0,626,29,1024112250,서울특별시 강남구 봉은사로20길 52 (역삼동),260.82,130.41,96.36,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19830913.0,19830210.0,0,0,0.0,100.0,50.0,164.46,제1종전용주거지역,50.0,100.0
203033.44,444637.16,서울특별시 강남구 역삼동 628-12번지,11680,10100,0,628,12,10241100268074,서울특별시 강남구 논현로 533 (역삼동),1956.35,541.5,269.59,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),8,2,20171222.0,20151218.0,2,0,1.0,279.62,49.79,1514.16,제3종일반주거지역,50.0,300.0
202704.86,444276.21,서울특별시 강남구 역삼동 636-24번지,11680,10100,0,636,24,1024123008,서울특별시 강남구 강남대로94길 51-4 (역삼동),659.5,356.5,189.6,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19951125.0,19950721.0,0,0,0.0,139.02,53.18,495.6,제2종일반주거지역,60.0,250.0
202877.4,444457.5,서울특별시 강남구 역삼동 638-6번지,11680,10100,0,638,6,102416645,서울특별시 강남구 테헤란로19길 34-5 (역삼동),106.56,83.9,38.52,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19910601.0,19910107.0,0,0,0.0,81.1,45.91,68.04,제1종전용주거지역,50.0,100.0
202929.49,444433.24,서울특별시 강남구 역삼동 639-15번지,11680,10100,0,639,15,102416797,서울특별시 강남구 논현로95길 24 (역삼동),590.44,256.4,152.4,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,제2종근린생활시설 / 단독주택,5,0,20040119.0,20030625.0,1,0,0.0,230.28,59.44,590.44,제2종일반주거지역,60.0,250.0
203095.19,444354.43,서울특별시 강남구 역삼동 642-2번지,11680,10100,0,642,2,1024114891,서울특별시 강남구 테헤란로25길 6-13 (역삼동),1999.18,420.7,247.25,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광숙박시설-관광호텔,10,1,20030127.0,20011114.0,2,0,1.0,457.49,58.77,1924.65,일반상업지역,80.0,800.0
202985.41,444343.59,서울특별시 강남구 역삼동 644-13번지,11680,10100,0,644,13,1024117558,서울특별시 강남구 테헤란로21길 14 (역삼동),992.46,655.2,259.84,21.0,철근콘크리트구조,철근콘크리트조,02000,공동주택,연립주택,3,1,19910614.0,19891102.0,0,0,0.0,115.84,39.66,758.97,제3종일반주거지역,50.0,300.0
202944.35,444394.08,서울특별시 강남구 역삼동 645-7번지,11680,10100,0,645,7,102413911,서울특별시 강남구 테헤란로21길 25 (역삼동),494.57,248.9,128.6,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,"근린생활시설, 단독주택",5,0,20040902.0,20040309.0,0,0,0.0,198.7,51.67,494.57,제2종일반주거지역,60.0,250.0
202838.96,444252.64,서울특별시 강남구 역삼동 647-6번지,11680,10100,0,647,6,10241100183427,서울특별시 강남구 테헤란로13길 8-5 (역삼동),1999.94,348.0,208.14,21.0,철근콘크리트구조,철근콘크리트구조,14000,업무시설,"근린생활시설, 업무시설",10,2,20080528.0,20070706.0,1,0,,471.92,59.81,1642.28,일반상업지역,80.0,800.0
202747.06,444198.34,서울특별시 강남구 역삼동 648-7번지,11680,10100,0,648,7,1024124310,서울특별시 강남구 강남대로94길 56-4 (역삼동),1855.58,313.24,187.84,21.0,철근콘크리트구조,철근콘크리트구조(경량철골구조),15000,숙박시설,"숙박시설,위락시설,제2종근린생활시설",9,2,20040924.0,20030211.0,1,0,1.0,461.86,59.97,1446.74,일반상업지역,80.0,800.0
203318.35,445124.76,서울특별시 강남구 역삼동 653-3번지,11680,10100,0,653,3,1000000000000003891588,서울특별시 강남구 언주로 565 (역삼동),4838.21,588.2,332.38,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"공동주택(아파트), 업무시설(오피스텔), 근린생활시설",20,3,20240621.0,20211027.0,1,1,1.0,620.21,56.51,3648.1,"일반상업지역,제3종일반주거지역",50.0,300.0
203381.65,444977.27,서울특별시 강남구 역삼동 656-26번지,11680,10100,0,656,26,1024120655,서울특별시 강남구 테헤란로39길 75 (역삼동),655.75,288.8,170.69,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설 근린생활시설,4,1,19970531.0,19960531.0,0,0,0.0,165.08,59.1,476.76,제2종일반주거지역,60.0,250.0
203049.77,444765.33,서울특별시 강남구 역삼동 659-7번지,11680,10100,0,659,7,1024117478,서울특별시 강남구 논현로 548 (역삼동),1047.49,261.87,231.21,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,"숙박시설, 근린생활시설",4,1,19810908.0,,0,0,0.0,300.0,50.0,843.42,제3종일반주거지역,50.0,300.0
203071.73,444811.72,서울특별시 강남구 역삼동 659-22번지,11680,10100,0,659,22,102416042,서울특별시 강남구 봉은사로30길 32 (역삼동),539.36,244.0,145.39,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19950713.0,19941222.0,0,0,0.0,166.69,59.59,406.73,제3종일반주거지역,50.0,300.0
203194.3,444570.61,서울특별시 강남구 역삼동 669-6번지,11680,10100,0,669,6,1024118432,서울특별시 강남구 봉은사로30길 67 (역삼동),870.88,392.9,168.67,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,4,1,19921231.0,19920122.0,0,0,0.0,148.88,42.93,584.94,제1종일반주거지역,60.0,200.0
203482.1,444593.71,서울특별시 강남구 역삼동 673-35번지,11680,10100,0,673,35,10241100313944,서울특별시 강남구 언주로93길 22-2 (역삼동),691.12,252.4,151.25,21.0,철근콘크리트구조,철근콘크리트구조,03000,제1종근린생활시설,근린생활시설,5,1,20220628.0,20200806.0,1,0,0.0,192.16,59.92,485.0,제2종일반주거지역,60.0,250.0
203578.8,444715.39,서울특별시 강남구 역삼동 675-3번지,11680,10100,0,675,3,10241100235950,서울특별시 강남구 언주로 517 (역삼동),23690.85,6791.9,1092.22,42.0,철골철근콘크리트구조,철골철근콘크리트구조,24000,방송통신시설,"방송통신시설,근린생활시설",14,7,20140730.0,20030617.0,2,1,1.0,201.24,16.08,13667.84,"일반상업지역,제3종일반주거지역",50.0,300.0
203578.8,444715.39,서울특별시 강남구 역삼동 675-3번지,11680,10100,0,675,3,10241100235951,서울특별시 강남구 언주로 517 (역삼동),29384.9,6791.9,1646.54,42.0,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,"숙박시설,근린생활시설,문화및집회시설",15,5,20140730.0,20030617.0,3,1,1.0,193.48,24.24,13141.03,"일반상업지역,제3종일반주거지역",50.0,300.0
