OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,CULPHYEDCOBNM,CULWRKRSENM,REGNSENM,TOTNUMLAY,NEARENVNM,MNFACTREARTCLCN,INSURORGNM,BDNGSRVNM,JISGNUMLAY,UNDERNUMLAY,STROOMCNT,CNSTYAREA,ENGSTNTRNMNM,ENGSTNTRNMADDR,SHPTOTTONS,SHPCNT,SHPINFO,STAGEAR,CHAIRCNT,SVNSR,MEETSAMTIMESYGSTF,FACILAR,PLAYUTSCNTDTL,PLAYFACILCNT,BCFACILEN,GEICPFACILEN,DISPENEN,INFOBEN,PLNINSURSTDT,PLNINSURENDDT,CAPT,INSURSTDT,INSURENDDT,AFC,FACILSCP,TRSTLODGCLNM
3220000,CDFI2260031978000001,1978-05-10,,03,폐업,03,폐업,2021-08-26,,,,3451-8000,,,서울특별시 강남구 역삼동 602,"서울특별시 강남구 봉은사로 120 (역삼동, 호텔 리츠칼튼 서울)",06124,르 메르디앙 서울 호텔,2021-08-26 12:47:59,U,2021-08-28 02:40:00.0,,202299.611121179,444739.274032656,관광숙박업,관광사업,,24,,,,호텔,17,7,336,60567,LE MERIDIEN SEOUL HOTEL,,0,0,,0,0,,0,60566.75,,0,,,,,,,0,,,,60567,관광호텔업
3220000,CDFI2260031978000002,1978-05-01,,01,영업/정상,13,영업중,,,,,541-3111,,,서울특별시 강남구 청담동 53-7,"서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)",06071,호텔리베라서울,2023-03-02 09:06:57,U,2023-03-04 02:40:00.0,,204714.758457103,446852.078363788,관광숙박업,관광사업,,20,,,,호텔,15,5,0,0,,,0,0,,0,0,,0,42108.55,,0,,,,,,,0,,,,42109,
3220000,CDFI2260031982000001,1982-02-10,,01,영업/정상,13,영업중,,,,,557-1221,,,서울특별시 강남구 역삼동 604-11,"서울특별시 강남구 봉은사로 150 (역삼동, 삼정관광호텔)",06125,삼정관광호텔,2023-02-23 15:07:59,U,2023-02-25 02:40:00.0,,202699.226067088,444846.764226016,관광숙박업,관광사업,,13,,,,호텔,11,2,0,0,,,0,0,,0,0,,0,13276.6,,0,,,,,,,0,,,,13277,
3220000,CDFI2260031985000001,1985-02-21,,03,폐업,03,폐업,2006-07-03,,,,,,135-957,서울특별시 강남구 청담동 129-7번지,서울특별시 강남구 압구정로79길 76  (청담동),,호텔프리마Ⅱ,2006-07-04 14:04:33,I,2018-08-31 23:59:59.0,,204674.246980043,447041.788168808,관광숙박업,관광사업,,12,,,,호텔,10,2,0,0,,,0,0,,0,0,,0,5547.38,,0,,,,,,,0,,,,5547,
3220000,CDFI2260031986000001,1986-12-14,,03,폐업,03,폐업,2021-12-31,,,,6202-2013,,,서울특별시 강남구 삼성동 112-5,"서울특별시 강남구 봉은사로 410 (삼성동, 라마다서울호텔)",06153,라미드 호텔(RAMID HOTEL),2021-12-31 15:01:45,U,2022-01-02 02:40:00.0,,203943.258999722,445342.390544546,관광숙박업,관광사업,,15,,,,호텔,12,3,0,0,,,0,0,,0,0,,0,28421.75,,0,,,,,,,0,,,,28422,
3220000,CDFI2260031987000001,1987-05-01,,02,휴업,02,휴업,,2026-04-01,2027-03-31,,540-3456,,,서울특별시 강남구 논현동 151-27,"서울특별시 강남구 논현로 647 (논현동, 힐탑관광호텔)",06116,힐탑관광호텔,2026-02-12 10:40:55,U,2026-02-14 02:40:00.0,,202673.67026853,445483.986504694,관광숙박업,관광사업,,7,,,,호텔,5,2,0,0,,,0,0,,0,0,,0,5789.85,,0,,,,,,,1000000000,,,,5790,관광호텔업
3220000,CDFI2260031987000002,1987-06-27,,03,폐업,03,폐업,2024-01-25,,,,02-546-0225,,,서울특별시 강남구 삼성동 45-10,"서울특별시 강남구 봉은사로 459 (삼성동, 자이언트관광호텔)",06096,자이안트,2024-01-25 16:10:35,U,2024-01-27 02:40:00.0,,204324.263443033,445580.187539001,관광숙박업,관광사업,주거지역,8,기타,,,숙박시설,6,2,52,5066,GIANT,TOURIST HOTEL BUSINESS,0,0,,0,0,,0,5044.38,,0,,,,,,,0,,,,5044,관광호텔업
3220000,CDFI2260031988000001,1988-06-03,,03,폐업,03,폐업,2017-01-12,,,,,,,서울특별시 강남구 역삼동 676번지,"서울특별시 강남구 테헤란로 237 (역삼동, 삼부오피스빌딩)",06142,벨레상스 서울 호텔,2017-01-12 16:08:21,I,2018-08-31 23:59:59.0,,203599.062771687,444556.062267296,관광숙박업,관광사업,,26,,,,호텔,24,2,0,0,,,0,0,,0,0,,0,72205.69,,0,,,,,,,0,,,,72206,
3220000,CDFI2260031988000002,1988-09-07,,03,폐업,03,폐업,2022-05-16,,,,,,,서울특별시 강남구 청담동 52-3 프리마호텔,"서울특별시 강남구 도산대로 536, 프리마호텔 (청담동)",06071,프리마관광호텔,2022-05-23 10:11:45,U,2022-05-25 02:40:00.0,,204549.998846316,446895.028902481,관광숙박업,관광사업,,13,,,,호텔,9,4,0,0,,,0,0,,0,0,,0,15637.24,,0,,,,,,,0,,,,15637,
3220000,CDFI2260031988000003,1988-12-08,,03,폐업,03,폐업,2016-08-15,,,,555-7575,,,서울특별시 강남구 삼성동 141-10번지,"서울특별시 강남구 테헤란로63길 9 (삼성동, 그린그래스관광호텔)",06162,그린그래스관광호텔,2016-08-19 17:40:47,I,2018-08-31 23:59:59.0,,204369.881017555,444844.447866296,관광숙박업,관광사업,상업지역,0,기타,,,호텔,10,3,0,0,,,0,0,,0,0,,0,8360.61,,0,,,,,,,0,,,,8361,
3220000,CDFI2260031988000004,1988-07-30,,01,영업/정상,13,영업중,,,,,02-548-8222,,,"서울특별시 강남구 신사동 587-1 신사동 587-1, 6, 7","서울특별시 강남구 도산대로 205 (신사동, 선샤인 관광호텔)",06026,선샤인 관광호텔,2024-03-27 13:30:52,U,2024-03-29 02:40:00.0,,202471.536204701,446478.944977018,관광숙박업,관광사업,일반주거지역,9,기타,,,호텔,8,1,0,0,,,0,0,,0,0,,0,9070.19,,0,,,,,,,0,,,,9070,관광호텔업
3220000,CDFI2260031989000001,1989-09-12,,01,영업/정상,13,영업중,,,,,3440-8000,,,서울특별시 강남구 논현동 248-7,"서울특별시 강남구 언주로 640 (논현동, 임페리얼팰리스호텔)",06098,그랜드머큐어 임피리얼팰리스서울,2025-01-20 16:12:49,U,2025-01-22 02:40:00.0,,203102.074986325,445751.652027981,관광숙박업,관광사업,일반주거지역,15,주택가주변,,,호텔,11,4,0,0,,,0,0,,0,0,,0,19601,,0,,,,,,,0,,,,19601,관광호텔업
3220000,CDFI2260031989000002,1989-12-20,,03,폐업,03,폐업,2018-08-01,,,,540-3041,,,서울특별시 강남구 논현동 202-7번지,"서울특별시 강남구 봉은사로 125 (논현동, 다이내스티관광호텔)",06120,다이내스티관광호텔,2018-08-01 13:14:20,I,2018-08-31 23:59:59.0,,202355.753693054,444839.725721091,관광숙박업,관광사업,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,5682.6,,0,,,,,,,0,,,,5683,
3220000,CDFI2260031992000001,1992-04-10,,03,폐업,03,폐업,2017-03-30,,,,3444-7777,,,서울특별시 강남구 청담동 129번지,"서울특별시 강남구 도산대로 551 (청담동, 엘루이호텔)",06013,호텔엘루이,2017-03-30 22:25:15,I,2018-08-31 23:59:59.0,,204727.226766126,447092.815391301,관광숙박업,관광사업,,18,,,,호텔,13,5,0,0,,,0,0,,0,0,,0,17318.29,,0,,,,,,,0,,,,17318,
3220000,CDFI2260031993000001,1993-08-25,,03,폐업,03,폐업,2013-01-01,,,,567-1101,,,서울특별시 강남구 역삼동 603번지,"서울특별시 강남구 봉은사로 130 (역삼동, 노보텔 앰배서더 강남 서울)",06124,노보텔앰버서더강남,2018-10-24 09:57:14,U,2018-10-26 02:36:00.0,,202482.701418444,444787.812950605,관광숙박업,관광사업,,22,,,,호텔,16,6,0,0,,,0,0,,0,0,,0,41813.27,,0,,,,,,,0,,,,41813,
3220000,CDFI2260031993000002,1993-02-05,,01,영업/정상,13,영업중,,,,,,,,"서울특별시 강남구 논현동 152 외 4필지, 152-1, 2, 3, 4","서울특별시 강남구 논현로 645 (논현동, 뉴힐탑호텔)",06116,엘리에나호텔,2025-07-24 10:03:44,U,2025-07-26 02:40:00.0,,202670.053376769,445410.505681503,관광숙박업,관광사업,일반주거지역,19,기타,,,숙박시설,15,4,0,0,,,0,0,,0,0,,0,21261.88,,0,,,,,,,0,,,,21262,
3220000,CDFI2260031993000003,1993-08-25,,01,영업/정상,13,영업중,,,,,02-531-6454,,,서울특별시 강남구 역삼동 603,"서울특별시 강남구 봉은사로 130 (역삼동, 노보텔 앰배서더 강남 서울)",06124,노보텔 앰배서더 강남,2025-02-05 10:42:54,U,2025-02-07 02:40:00.0,,202482.701418444,444787.812950605,관광숙박업,,일반주거지역,22,,,,숙박시설,16,6,334,41813,NOVOTEL AMBASSADOR GANGNAM,TOURIST HOTEL BUSINESS,0,0,,0,0,,0,41813.29,,0,,,,,,,0,,,,41813,관광호텔업
3220000,CDFI2260031994000001,1994-03-30,,01,영업/정상,13,영업중,,,,,545-0015,,,서울특별시 강남구 청담동 132-17번지,서울특별시 강남구 영동대로 712 (청담동),06075,라비타 호텔,2018-05-23 18:06:08,I,2018-08-31 23:59:59.0,,204964.378144648,446579.714676861,관광숙박업,관광사업,일반주거지역,0,기타,,,호텔,7,1,0,0,,,0,0,,0,0,,0,2848.67,,0,,,,,,,0,,,,2849,
3220000,CDFI2260031997000001,1997-12-30,,03,폐업,03,폐업,2022-04-18,,,,542-0112,,,서울특별시 강남구 논현동 6 6-1,"서울특별시 강남구 도산대로 144 (논현동, 영동관광호텔)",06040,영동관광호텔,2022-04-18 11:31:20,U,2022-04-20 02:40:00.0,,202108.433846703,446160.618240423,관광숙박업,관광사업,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,7921.25,,0,,,,,,,0,,,,7921,
3220000,CDFI2260031998000001,1998-08-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 신사동 527-2번지,"서울특별시 강남구 도산대로1길 83 (신사동, 까사미아호텔)",06027,뉴삼화호텔,2015-08-21 16:26:44,I,2018-08-31 23:59:59.0,,201658.416590861,446639.566102925,관광숙박업,관광사업,일반주거지역,5,기타,,,숙박시설,4,1,0,0,,,0,0,,0,0,,0,3017.7,,0,,,,,,,0,,,,3018,
3220000,CDFI2260031999000001,1999-09-21,,01,영업/정상,13,영업중,,,,,0234522500,,,서울특별시 강남구 삼성동 159 웨스틴 서울 파르나스,"서울특별시 강남구 봉은사로 524, 웨스틴 서울 파르나스 (삼성동)",06164,웨스틴 서울 파르나스,2026-01-12 14:40:46,U,2026-01-14 02:40:00.0,,205130.591678902,445590.096837802,관광숙박업,관광사업,일반상업지역,35,기타,,,호텔,29,6,564,5818,The Westin Seoul Parnas,,0,0,,0,0,,0,109978.95,,0,,,,,,,0,,,,109979,관광호텔업
3220000,CDFI2260032001000001,2001-10-30,,01,영업/정상,13,영업중,,,,,02-3466-8012,,,서울특별시 강남구 삼성동 159번지,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워)",06164,호텔 오크우드 프리미어,2016-04-04 17:53:33,I,2018-08-31 23:59:59.0,,205130.591678902,445590.096837802,관광숙박업,관광사업,일반상업지역,31,기타,,,숙박시설,26,5,280,55869,,,0,0,,0,0,,0,55868.53,,0,,,,,,,0,,,,55869,가족호텔업
3220000,CDFI2260032001000002,2001-12-26,,03,폐업,03,폐업,2015-05-14,,,,544-6623,,135-894,서울특별시 강남구 신사동 614-1번지,서울특별시 강남구 압구정로 206  (신사동),,팝그린 관광호텔,2015-05-19 10:28:33,I,2018-08-31 23:59:59.0,,202545.595431159,447231.954885143,관광숙박업,관광사업,주거지역,6,기타,,,호텔,5,2,0,0,,,0,0,,0,0,,0,5297.78,,0,,,,,,,0,,,,5298,
3220000,CDFI2260032003000001,2003-03-13,,03,폐업,03,폐업,2012-12-18,,,,3015-7711,,135-957,서울특별시 강남구 청담동 129-3번지,서울특별시 강남구 도산대로 549  (청담동),,블루펄관광호텔,2012-12-20 21:48:49,I,2018-08-31 23:59:59.0,,204690.660161464,447075.512360873,관광숙박업,관광사업,,12,,,,,10,2,0,0,,,0,0,,0,0,,0,4997.88,,0,,,,,,,0,,,,4998,
3220000,CDFI2260032003000003,2003-05-26,,01,영업/정상,13,영업중,,,,,555-5656,,,서울특별시 강남구 삼성동 159-8,"서울특별시 강남구 테헤란로 521 (삼성동, 그랜드인터콘티넨탈호텔)",06164,그랜드인터컨티넨탈 서울 파르나스,2026-01-22 19:16:05,U,2026-01-24 02:40:00.0,,205314.159889285,445204.709309676,관광숙박업,관광사업,,37,,,,호텔,33,4,0,0,,,0,0,,0,0,,0,128324.19,,0,,,,,,,0,,,,128324,
