구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,x_5181,y_5181,군집
종로구,종로5가,편안정 종로5가점,1967,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,관광숙박업,숙박시설,7,91.0,59.3,exact,기존숙박군,위험,위험,200401.72,452062.96,3
종로구,창신동,동대문 스테이가든,1959,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,관광숙박업,숙박시설,2,226.0,40.69,exact,기존숙박군,보통,보통,201192.32,452214.35,2
종로구,종로5가,고유리(Goyu;re),1975,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,관광숙박업,숙박시설,5,64.0,56.87,exact,기존숙박군,위험,위험,200328.85,451973.85,3
종로구,충신동,온코리아 스테이,1994,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,관광숙박업,숙박시설,6,299.0,46.34,exact,기존숙박군,보통,보통,200297.41,452567.97,1
종로구,낙원동,하프레스트 호스텔,2000,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,관광숙박업,숙박시설,7,554.0,34.4,exact,기존숙박군,안전,보통,198906.53,452222.26,2
종로구,숭인동,엔조이스테이 호스텔,2024,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,관광숙박업,숙박시설,5,596.0,36.9,exact,기존숙박군,안전,보통,201689.36,452306.01,0
종로구,창신동,이온호텔,2022,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,관광숙박업,숙박시설,8,963.0,10.45,exact,기존숙박군,안전,안전,201057.43,452245.94,4
종로구,관철동,오아시스 트레블러스 종로,1969,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,관광숙박업,"점포, 노래연습장, 일반음식점",7,183.0,55.97,exact,기존숙박군,위험,위험,198819.57,451942.98,6
종로구,관철동,스테이 마루 종로,1965,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,관광숙박업,숙박시설,8,234.0,58.48,exact,기존숙박군,위험,위험,198656.93,451906.85,6
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,숙박시설,6,46.0,45.68,exact,기존숙박군,보통,보통,200902.81,452137.58,5
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,숙박시설,3,140.0,36.56,exact,기존숙박군,안전,보통,199157.9,452735.59,0
종로구,종로6가,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,숙박시설,6,106.0,37.81,exact,기존숙박군,안전,보통,200613.28,452191.02,4
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,숙박시설,6,88.0,44.24,exact,기존숙박군,보통,보통,198912.88,452284.29,4
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,숙박시설,6,77.0,48.73,exact,기존숙박군,보통,위험,199970.0,452226.55,4
종로구,관철동,1996 종로인,1996,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,관광숙박업,숙박시설,9,281.0,39.88,exact,기존숙박군,보통,보통,198786.9,451865.49,3
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,관광숙박업,숙박시설,13,914.0,32.8,exact,기존숙박군,안전,안전,198984.6,451902.02,1
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,관광숙박업,숙박시설,11,315.0,49.8,exact,기존숙박군,보통,위험,198743.19,451823.24,3
종로구,견지동,더프리마호텔 종로,1971,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,관광숙박업,숙박시설,12,6074.0,45.18,exact,기존숙박군,보통,보통,198469.85,452315.75,3
종로구,숭인동,서울앤호텔 동대문,2017,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,관광숙박업,숙박시설,16,171.0,34.87,exact,기존숙박군,안전,보통,201770.69,452337.69,1
종로구,와룡동,클래식 아파트먼트 익선,1965,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,관광숙박업,숙박시설,6,392.0,56.79,exact,기존숙박군,위험,위험,199094.43,452705.66,0
종로구,효제동,하우스 오손 종묘점,1991,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,관광숙박업,숙박시설,6,180.0,53.34,exact,기존숙박군,위험,위험,200179.81,452151.36,2
종로구,관수동,HELLO HOSTEL,1965,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,관광숙박업,숙박시설,6,288.0,51.94,exact,기존숙박군,위험,위험,199221.51,451851.54,4
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,관광숙박업,숙박시설,7,228.0,54.69,exact,기존숙박군,위험,위험,198237.93,452180.0,5
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,관광숙박업,숙박시설,4,258.0,38.31,exact,기존숙박군,보통,보통,201741.48,452548.71,1
종로구,충신동,연경당,2019,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,관광숙박업,제1종근린생활시설,9,78.0,43.99,exact,기존숙박군,보통,보통,200349.18,452499.37,1
종로구,숭인동,호텔 DM,2020,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,관광숙박업,숙박시설,11,2994.0,30.75,exact,기존숙박군,안전,안전,201643.28,452339.84,4
종로구,원남동,오라카이 대학로 호텔,2019,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,관광숙박업,숙박시설,20,19413.0,24.35,exact,기존숙박군,안전,안전,199821.36,452603.48,3
