구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
종로구,숭인동,아이비씨호텔,2016,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499
종로구,관철동,호스텔 하루,1967,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342
종로구,익선동,ICON,2012,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931
종로구,익선동,호텔 다다-인사,2013,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238
종로구,낙원동,종로크라운,1988,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005
종로구,평창동,동화킴스관광호텔,1990,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044
종로구,낙원동,오라카이 인사동 스위츠,2002,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665
종로구,관수동,호텔베뉴지,1994,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523
종로구,관훈동,아미드 호텔 서울,1985,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181
종로구,당주동,포시즌스 호텔 서울,2015,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695
종로구,운니동,노블관광호텔,2005,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068
종로구,와룡동,바운드 호스텔,2013,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523
종로구,익선동,호텔 이비스앰배서더 인사동,2013,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016
종로구,,(주) 동승 JW메리어트 동대문 스퀘어 서울,2015,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433
