구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1436,0.2811160606808903,0.08,75.0,24,1994,13,6629.0,기존숙박군,37.56598513,126.9900523,133.0,12.6
0.1565,1.2127064842946906,0.12,60.0,5,1985,18,15679.0,기존숙박군,37.56984481,126.98341181,225.8,54.5
0.1136,0.0120121564480035,0.55,9.1,11,2015,32,67265.0,기존숙박군,37.56801651,126.97463351,716.8,111.5
0.1851,2.1717454920352344,1.0,69.4,62,1965,4,469.0,기존숙박군,37.5716747,126.99041695,5245.8,23.5
0.1279,3.049457672910154,0.85,54.5,22,2005,6,1229.0,기존숙박군,37.57393452,126.98887068,138.0,11.7
0.248,0.9784679768260464,1.0,66.7,90,2013,6,1482.0,기존숙박군,37.57338396,126.98952523,122.0,11.4
0.1165,2.352052076140245,0.7,58.3,12,2013,12,14346.0,기존숙박군,37.57168791,126.98843016,5112.4,44.5
0.1136,1.9090851529441544,1.0,73.3,15,2015,16,41731.0,기존숙박군,37.56764454,127.00812433,1434.6,23.8
0.1094,3.678599523494187,0.7,88.5,26,2018,16,4543.0,기존숙박군,37.56962018,126.9863919,1232.8,32.3
0.1065,2.205256749033484,0.7,84.6,13,2020,11,95.0,기존숙박군,37.57184081,127.00175573,295.4,58.1
0.178,2.577167206594277,0.08,50.0,2,1970,6,498.0,기존숙박군,37.56874973,127.01018412,14322746.8,21.1
0.1837,1.4376179213932505,0.18,100.0,2,1966,6,276.0,기존숙박군,37.56968368,127.01175024,446.6,37.4
0.188,0.0,0.45,0.0,3,1963,20,32899.27,기존숙박군,37.55742965,127.00160709,1350.6,33.5
0.115,4.611152257665639,0.85,42.9,14,2014,13,3177.53,기존숙박군,37.54070199,127.0562547,151.4,42.2
0.1136,0.0219789067187752,0.12,0.0,0,2015,6,956.0,기존숙박군,37.55527178,126.97898241,1412.4,92.2
0.1136,1.3909133069761852,0.7,70.0,10,2015,25,12563.0,기존숙박군,37.5619628,127.00695765,140.0,33.5
0.1136,0.4885317068067778,0.12,0.0,5,2015,10,1377.0,기존숙박군,37.55924412,126.98729931,531.2,35.8
0.1866,0.8002011767241046,1.0,70.7,41,1964,11,267.0,기존숙박군,37.55661038,126.97811019,7129.6,45.4
0.1136,0.616029877215514,0.85,67.9,53,2015,20,4804.0,기존숙박군,37.56091185,127.00486601,10132.6,36.6
0.1766,1.7060041108251514,0.7,69.6,23,1971,24,12389.0,기존숙박군,37.55974994,126.98437425,131.4,72.7
0.1922,2.1118068261818674,0.55,0.0,3,1960,6,358.0,기존숙박군,37.56195615,126.97553552,281.0,105.1
0.1322,2.0163512467186298,0.85,85.7,28,2002,23,18586.0,기존숙박군,37.56189383,126.9844402,10585.6,31.0
0.1565,0.6879433526849182,0.85,85.7,49,1985,10,2387.0,기존숙박군,37.56347491,127.00124884,43.2,22.9
0.1136,0.123132685403624,0.85,73.3,15,2015,22,18599.0,기존숙박군,37.55930346,126.97797124,22111.8,35.8
