위도,경도,local_R2,kernel,bandwidth,coef_구조노후도,tval_구조노후도,coef_단속위험도,tval_단속위험도,coef_도로폭위험도,tval_도로폭위험도,coef_집중도,tval_집중도,coef_주변건물수,tval_주변건물수
37.55039705,126.91967447,0.19032713933658826,gaussian,54,0.0014815589237630491,0.0941798884714181,-0.0037431885734001673,-0.23419480798849915,-0.011177521701096859,-0.6731855040455843,-0.02167721214666379,-0.992675075497657,0.0947229353632152,2.861084377473658
37.50361313,127.02900491,0.12806561447521078,gaussian,54,-0.03414330704695864,-1.0488391775718071,0.054683930376902945,2.422463090268223,-0.010047784054892862,-0.4268459247161555,0.003616500233368007,0.12088774669608915,-0.16311043489743113,-2.4776363343978325
37.52134758,126.96361132,0.24246059129469136,gaussian,54,-0.009573669504938834,-1.1977962176983303,0.012372874418490672,1.526578887637612,-0.008253820150962907,-0.8183456367881411,-0.00342404993556962,-0.3425548240094036,0.010614228106659247,1.2406209109933033
37.53466996,126.98655531,0.14009615363870803,gaussian,54,0.004367632931759688,0.21956609532398833,-0.003012562363494547,-0.1626754609090843,-0.0075176414262535666,-0.314499380342141,0.007847411637130798,0.28498251084712745,0.0008714203395458167,0.038915315568153516
37.55899863,126.98717219,0.2527327127597488,gaussian,54,-0.023044946711555797,-1.131906739771735,-0.00045847523245713066,-0.02684737752147654,-0.014679899851669533,-0.7230671201389363,0.006790279053597123,0.3194153211014602,0.04976635953128032,1.6044653946140017
37.53258983,126.99017275,-2.167998016994216,gaussian,54,3.3597710825795926e-05,0.0013201701320336415,-2.8533598851167632e-05,-0.001403717768099729,-9.607755481309572e-05,-0.003100112077216954,0.00010012644256208726,0.0030131579016750634,-5.85841906804082e-06,-0.00024017757623925293
37.56986057,127.0034356,0.26480765152024593,gaussian,54,-0.02687156116620689,-1.9746704479323531,0.045921182614750304,2.7269331708081017,0.04821940194355046,2.91303905577213,-0.030199283732145237,-1.4742710997245974,0.03877383359045372,2.4224049207473097
37.5557044,126.97785909,0.3063952475661549,gaussian,54,-0.010487607226885076,-0.727071333527194,-0.02610277287601659,-1.767604396780539,0.055797423198989664,3.070645223637406,-0.017823019218831435,-0.98392524988081,0.05104729697672805,3.3790656702706405
37.52002909,126.89121397,0.36289629229695375,gaussian,54,-0.007039109837643193,-0.37925038800307254,0.052925693870688614,3.167594093799231,0.01625193218070963,0.8275281244479801,-0.030571798818110313,-1.5861780447589575,0.13154195562948418,5.381956699225029
37.54943728,126.96444739,0.27221237212221144,gaussian,54,-0.0037424292626645293,-0.2184546314008873,0.05891935618243657,2.889404360692362,-0.04736646308928552,-1.7509146867414376,-0.053187286503505085,-1.6740571525848167,-0.0030599327897521825,-0.20605067586767414
