OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,CULPHYEDCOBNM,CULWRKRSENM,REGNSENM,TOTNUMLAY,NEARENVNM,MNFACTREARTCLCN,INSURORGNM,BDNGSRVNM,JISGNUMLAY,UNDERNUMLAY,STROOMCNT,CNSTYAREA,ENGSTNTRNMNM,ENGSTNTRNMADDR,SHPTOTTONS,SHPCNT,SHPINFO,STAGEAR,CHAIRCNT,SVNSR,MEETSAMTIMESYGSTF,FACILAR,PLAYUTSCNTDTL,PLAYFACILCNT,BCFACILEN,GEICPFACILEN,DISPENEN,INFOBEN,PLNINSURSTDT,PLNINSURENDDT,CAPT,INSURSTDT,INSURENDDT,AFC,FACILSCP,TRSTLODGCLNM
3000000,CDFI2260032026000002,2026-01-06,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 종로5가 257-1,"서울특별시 종로구 종로 248-1, 2층 (종로5가)",03197,스테이 도손 동대문점,2026-01-06 13:30:30,I,2026-01-09 00:20:01.0,,200401.722939568,452062.956830205,관광숙박업,,상업지역,7,기타,,,숙박시설,6,1,0,0,Stay doson Dongdaemun,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,90.55,,0,,,,,,,0,,,,91,호스텔업
3000000,CDFI2260032026000003,2026-01-12,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 낙원동 235-11,"서울특별시 종로구 종로17길 48, 1~5층 (낙원동)",03140,하프레스트 호스텔,2026-01-12 10:14:23,I,2026-01-14 00:20:02.0,,198906.525582464,452222.26053706,관광숙박업,,상업지역,7,기타,,,숙박시설,5,2,21,0,Halfrest HOSTEL,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,554.17,,0,,,,,,,0,,,,554,호스텔업
3000000,CDFI2260032026000004,2026-01-12,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 숭인동 217-6,"서울특별시 종로구 난계로29길 65-14, 3~5층 (숭인동)",03115,엔조이스테이 호스텔,2026-01-12 14:59:25,I,2026-01-14 00:20:02.0,,201689.360291466,452306.010081257,관광숙박업,,상업지역,5,기타,,,숙박시설,5,0,27,0,N joystay HOSTEL,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,596.25,,0,,,,,,,0,,,,596,호스텔업
3000000,CDFI2260032026000005,2026-01-20,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 창신동 330-7,"서울특별시 종로구 종로54길 9-9, 2층 (창신동)",03121,동대문 스테이가든,2026-01-29 11:20:11,U,2026-01-31 02:40:00.0,,201192.319848224,452214.352544411,관광숙박업,,일반상업지역,2,기타,,,숙박시설,2,0,0,0,Dongdaemun Stay Garden,Tourist accommodation business (hostel business),0,0,,0,0,,0,226.08,,0,,,,,,,500000000,,,,226,호스텔업
3000000,CDFI2260032026000006,2026-01-20,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 종로5가 503-7,"서울특별시 종로구 종로36나길 10-1, 4층 (종로5가)",03197,고유리(Goyu;re),2026-02-26 14:05:01,U,2026-02-28 02:40:00.0,,200328.85058794,451973.845648666,관광숙박업,,일반상업지역,5,기타,,,숙박시설,4,1,0,0,Goyu;re,Tourist accommodation business (hostel business),0,0,,0,0,,0,64,,0,,,,,,,0,,,,64,호스텔업
3000000,CDFI2260032026000007,2026-01-29,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 충신동 69-4 온코리아 스테이,"서울특별시 종로구 율곡로 230-13, 온코리아 스테이 (충신동)",03123,온코리아 스테이,2026-01-29 18:57:18,I,2026-01-31 00:20:02.0,,200297.411363988,452567.967939751,관광숙박업,,상업지역,6,,,,숙박시설,5,1,0,0,ON KOREA STAY,Tourist accommodation business (hostel business),0,0,,0,0,,0,298.91,,0,,,,,,,0,,,,299,호스텔업
3000000,CDFI2260032026000008,2026-02-02,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 충신동 148,"서울특별시 종로구 율곡로22길 12-14, 4층 (충신동)",03123,연경당,2026-02-10 16:04:50,U,2026-02-12 02:40:00.0,,200349.182282318,452499.369331122,관광숙박업,,일반상업지역,9,,,,,8,1,0,0,Yeongyeongdang,Tourist accommodation business (hostel business),0,0,,0,0,,0,78.24,,0,,,,,,,0,,,,78,호스텔업
3000000,CDFI2260032026000009,2026-02-02,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 충신동 148,"서울특별시 종로구 율곡로22길 12-14, 7층 (충신동)",03123,스테이 봄,2026-02-02 18:16:22,I,2026-02-04 00:20:02.0,,200349.182282318,452499.369331122,관광숙박업,,일반상업지역,9,,,,,8,1,0,0,"STAY, spring",Tourist accommodation business (hostel business),0,0,,0,0,,0,78.24,,0,,,,,,,0,,,,78,호스텔업
3000000,CDFI2260032026000010,2026-02-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 돈의동 111,"서울특별시 종로구 돈화문로9길 6, 4층 (돈의동)",03139,소담온 종로,2026-03-03 09:32:04,U,2026-03-05 02:40:00.0,,199164.028176924,452193.124898933,관광숙박업,,,6,,,,근린생활시설,5,1,0,0,Sodamon Jongro,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,91.44,,0,,,,,,,30000000,,,,91,호스텔업
3000000,CDFI2260032026000011,2026-02-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 효제동 19-4,"서울특별시 종로구 대학로 42-13, 2층 201호 (효제동)",03122,더도아스테이,2026-03-03 09:34:37,U,2026-03-05 02:40:00.0,,200155.102293406,452477.571800737,관광숙박업,,,11,,,,,10,1,0,0,THE DO A STAY,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,95.32,,0,,,,,,,30000000,,,,95,호스텔업
