cluster_k2,구,동,시설수
0,용산구,이태원동,77
0,강남구,역삼동,72
0,성동구,성동,62
0,마포구,노고산동,59
0,마포구,서교동,56
0,중구,남산동,55
0,강서구,화곡동,52
0,마포구,합정동,51
0,영등포구,영등포동,51
0,중구,회현동,50
1,마포구,연남동,197
1,마포구,서교동,163
1,마포구,동교동,86
1,강서구,화곡동,74
1,용산구,서계동,74
1,강남구,역삼동,61
1,마포구,망원동,59
1,마포구,성산동,56
1,용산구,이태원동,51
1,종로구,숭인동,48
