cluster,x_5181,y_5181,local_R2,residual
0,198498.91829008472,452473.40342401474,0.6804042208651964,0.07172373011610489
0,197769.2538927436,452117.7398351733,0.7222677753410082,0.3709727763185242
0,200401.72270368112,452062.9568032172,0.5022680806979414,-1.0162584464798825
0,200613.2820190108,452191.01697398326,0.4760552824670901,-1.2975759080732328
0,200179.81475769155,452151.3590032406,0.5366308790501852,-1.852676476184815
0,199221.50903375345,451851.5408769832,0.6509018788964165,3.977818848585347
0,201643.27750080585,452339.8436264887,0.4286879322370495,1.261599473133593
0,199764.69172789573,452177.25507965777,0.6417971702970456,-2.2330843525629085
0,198545.2223366013,451854.8205254232,0.6621998230840322,2.445321596785
0,198886.94407205103,452419.4297160971,0.6412699198187146,-1.7569727249164337
0,198534.5492685304,452256.167278387,0.6545347953847092,2.1776855722051334
0,200899.7090442633,452134.5455707981,0.46499714001007797,0.45536515807449707
0,197838.5061227833,451380.7704567887,0.5771312175891453,-0.4598446580298585
0,198730.39701085328,450725.5629802914,0.5431257820346619,-0.20276626051198265
0,198636.14189503508,451325.2302371874,0.6691278711324713,6.790064857389227
0,197755.19571897227,451281.4936316292,0.5485144414718227,-2.6241680823394136
0,198043.63550769063,450686.8494071406,0.5094498977742595,-1.636398658632313
0,200938.5284729713,451798.0033596581,0.4678882282946312,-3.864472459744859
0,199095.1133079861,451098.7971631648,0.6532027572652289,1.2906839229040372
0,200212.6250234732,451455.9349882996,0.5456557583166867,-1.6597353723853328
0,198711.0045534644,450729.7036035063,0.546317910002191,-0.16631401860823658
0,197867.1570509121,451779.8812271267,0.6424806653693546,-1.5703755781854145
0,197623.55804409643,451114.9525318081,0.514211520068131,-0.8619848420749463
0,198651.4645603802,450718.8850585168,0.5355565653751552,-0.9033999521437348
0,200168.83936368392,451476.0428280154,0.5529769268702945,-0.8875058281788331
0,199037.9162822885,451051.29178334575,0.6361544033150698,1.3650479639230793
0,199444.84743315104,451149.74328230246,0.656608011816413,0.4724030314507608
0,198898.28201903703,451082.8397579377,0.640286738785834,0.4835205265240443
0,199161.68106546145,450949.67427408433,0.6263510748488906,-0.4345118594257802
0,200314.64700060443,451554.0673570389,0.5262912363067694,-1.655152192090573
0,197891.5651307315,450990.5934046104,0.5204828387553735,-0.013592349277177007
0,199128.5529014861,451340.5957619685,0.6739530491606955,0.6056214246599358
0,199088.3226510547,451230.6096753824,0.6684991627321065,-4.09348465768651
0,198676.51080109063,450673.847611501,0.5280474913073622,-1.3693575297067984
0,198990.2033526773,451044.89565131697,0.6331767099889787,-2.1417859293324764
0,199921.39759252247,451313.003137883,0.5963983454542358,1.243534237494785
0,197847.75449531927,451011.2317902758,0.5202165930128939,-1.9199688350329396
0,200538.85030786807,451107.6144318838,0.5070328278073682,-1.5932894121400527
0,198484.09655231627,450963.9712430919,0.5774961359483838,3.4467626928189725
0,197268.8858303927,451148.6210934939,0.5044089948616319,4.820457660866293
0,199369.8720929381,447943.7001750607,0.5374334312025513,0.49455493375266035
0,196610.6634026621,447742.3486495373,0.5446612533408923,-3.725033042461707
0,203118.0363607778,450853.02718076535,0.5017730035471824,-2.1381179984565666
0,194320.81573750247,450185.4059892207,0.6654942103542644,2.616347703529631
0,194225.49013468777,450179.1098693624,0.6716498786305175,0.5707521958564217
0,184522.90759126568,451531.92478849593,0.5036879477591192,3.1241366040862015
0,183863.69267549663,449443.6103421869,0.5161278734585081,1.838629123287871
0,183962.8290333262,449599.1773739049,0.5157478561611915,-1.8326735621914128
0,186440.44383585165,447428.8648386724,0.5552348373617257,-0.3338583412857552
0,188239.33689884696,450510.8023123407,0.5846688588516266,0.04359164797384896
0,183993.3929636357,449605.8654250643,0.5158865726722436,-1.2964872323737888
0,192899.0644980054,447567.1377588703,0.6393660024513409,1.2884614864784305
