cluster,term,coef,p_value
0,const,4.109499999999972,0.0
0,승인연도,0.09119855796550064,0.36965981647006696
0,소방위험도_점수,0.09855055815186396,0.2590719433684462
0,주변건물수,0.5546687334983048,3.603618544585946e-08
0,집중도,0.5976784027650481,5.61713053824602e-09
0,단속위험도,0.5984432892170952,8.567192574550456e-10
0,구조노후도,-0.23999611791501302,0.020212517010800894
0,도로폭위험도,-0.2564852106699299,0.0006142377195475019
0,최근접_소화용수_거리등급,-0.9283299762735915,4.5468216531673876e-17
0,총층수,0.01857057888927652,0.8655436749723124
0,연면적,0.30575572505665055,0.0042310609922394
1,const,6.990650044523599,0.0
1,승인연도,-0.2424629636266537,0.07835124933679635
1,소방위험도_점수,0.2934982459256333,0.006826468238302038
1,주변건물수,0.6080693152538024,7.056296949191995e-09
1,집중도,0.05853316512229011,0.561549561708012
1,단속위험도,0.7834850231774605,6.989151231319009e-10
1,구조노후도,-0.3830601916050565,0.0037992389392578403
1,도로폭위험도,-0.16276531619850595,0.14505844739795523
1,최근접_소화용수_거리등급,-0.007609975644309816,0.9411890677131494
1,총층수,0.3042284625411919,0.014436030565231088
1,연면적,0.5118272561216263,1.0783489342862299e-05
