그리드ID,건물ID,구,법정동코드,법정동명,주소,지번,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,보정분자,보정사유
G50K_R0027_C0104,0000202465984422496200000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1180-8,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202510764422925900000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202472494422263500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-13,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202475114422082200000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-13,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202444674422560400000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202453844422343300000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202454234422246600000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202371134422800500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202376194422945500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202377154423061400000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202425944422855000000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202458884423657100000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202462154423584600000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
