그리드ID,주요구,주요법정동코드,주요법정동명,격자_전체건물수,격자_상가수,격자_전체건물_입체화재하중밀도,격자_표제부매칭_보정밀도_후보_PK중복제거,건물ID,구,법정동코드,법정동명,주소,지번,건물용도코드,건물용도명,상가여부,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,총층수_보정,원본분자,보정분자,면적계산가능여부,보정사유,건물중심좌표_EPSG5186_x,건물중심좌표_EPSG5186_y,표제부매칭상태,표제부후보수,표제부면적양수후보수,표제부선택후보_출처,표제부선택후보_출처파일,표제부선택후보_대지위치,표제부선택후보_도로명대지위치,표제부선택후보_관리건축물대장PK,표제부선택후보_대장종류,표제부선택후보_건물명,표제부선택후보_주부속구분,표제부선택후보_주용도코드,표제부선택후보_주용도코드명,표제부선택후보_대지면적_m2,표제부선택후보_건축면적_m2,표제부선택후보_연면적_m2,표제부선택후보_총동연면적_m2,표제부선택후보_지상층수,표제부선택후보_지하층수,표제부선택후보_총층수,표제부선택후보_총층수_보정,표제부선택후보_표제부_원본분자_건축면적x총층수,표제부선택후보_표제부_보정분자_후보,표제부선택후보_표제부_보정사유_후보,표제부선택후보_사용승인일,표제부선택후보_생성일자
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190844384501370400000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190914.095364,550442.114884,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190847764501337000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190917.473889,550438.781799,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190851614501301000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190921.320251,550435.17989,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190855194501266500000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190924.896609,550431.72514,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190734454501914300000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-8,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190804.158528,550496.506534,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190793054501317600000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-8,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190862.759313,550436.834048,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0071_C0051,마포구,1144012700,상암동,2,0,0.0,0.001586,0000190597604521065700000000,마포구,1144012500,성산동,서울특별시 마포구 성산동,661,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190667.285013,552411.629789,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 성산동 661번지,서울특별시 마포구 증산로 87 (성산동),10151100287284,일반건축물,문화비축기지 매점,주건축물,03000,제1종근린생활시설,35212.8,79.3,79.3,79.3,1.0,0.0,1,1.0,79.3,79.3,표제부_건축면적x총층수사용,20220610,20220813
G50K_R0071_C0051,마포구,1144012700,상암동,2,0,0.0,0.001586,0000190624344520040400000000,마포구,1144012500,성산동,서울특별시 마포구 성산동,661,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190694.021376,552309.102261,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 성산동 661번지,서울특별시 마포구 증산로 87 (성산동),10151100287284,일반건축물,문화비축기지 매점,주건축물,03000,제1종근린생활시설,35212.8,79.3,79.3,79.3,1.0,0.0,1,1.0,79.3,79.3,표제부_건축면적x총층수사용,20220610,20220813
G50K_R0071_C0052,마포구,1144012700,상암동,3,0,0.0,0.0,0000190839444520064500000000,마포구,1144012500,성산동,서울특별시 마포구 성산동,53-27,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190909.117438,552311.51385,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0071_C0052,마포구,1144012700,상암동,3,0,0.0,0.0,0000190791524521772300000000,마포구,1144012500,성산동,서울특별시 마포구 성산동,53-53,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190861.195337,552482.288853,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0071_C0052,마포구,1144012700,상암동,3,0,0.0,0.0,0000190856804521821200000000,마포구,1144012500,성산동,서울특별시 마포구 성산동,664,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190926.480959,552487.183282,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0057_C0060,마포구,1144012200,합정동,1,0,0.0,0.0,0000192601344489821700000000,마포구,1144011800,당인동,서울특별시 마포구 당인동,1-25,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,192671.053406,549287.289291,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0058_C0057,마포구,1144012200,합정동,1,0,0.0,0.0,0000192000504491734600000000,마포구,1144012200,합정동,서울특별시 마포구 합정동,352-5,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,192070.215627,549478.561251,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0059_C0056,마포구,1144012200,합정동,2,0,0.0,0.0,0000191687434493903900000000,마포구,1144012200,합정동,서울특별시 마포구 합정동,352-5,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191757.147509,549695.489978,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0059_C0056,마포구,1144012200,합정동,2,0,0.0,0.0,0000191753774493580300000000,마포구,1144012200,합정동,서울특별시 마포구 합정동,352-5,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191823.480799,549663.133003,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202425704422725100000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1180-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202495.446126,542577.83997,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202465984422496200000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1180-8,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202535.721636,542554.949121,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202510764422925900000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-1,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202580.505044,542597.921975,표제부복수후보_주건축물_최대연면적선택,4,4,10개구_표제부_CSV,등기부등본_표제부_서초구.csv,서울특별시 서초구 서초동 1376-1번지,서울특별시 서초구 남부순환로 2558 (서초동),1023114675,일반건축물,가호 외교타운,주건축물,14000,업무시설,0.0,1763.62,27338.79,27338.79,12.0,2.0,14,14.0,24690.68,24690.68,표제부_건축면적x총층수사용,19960923,20220813
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202472494422263500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-13,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202542.233176,542531.674748,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202475114422082200000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,1376-13,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202544.858013,542513.546391,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202444674422560400000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202514.414903,542561.368528,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202453844422343300000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202523.587107,542539.654897,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202454234422246600000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,269,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202523.975657,542529.987725,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202371134422800500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202440.872046,542585.381689,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_서초구.csv,서울특별시 서초구 서초동 367-3번지,서울특별시 서초구 남부순환로344길 10 (서초동),1023114135,일반건축물,우면산 배수지가압장,주건축물,03000,제1종근린생활시설,0.0,764.43,1259.41,1259.41,1.0,1.0,2,2.0,1528.86,1259.41,표제부_연면적사용,19811007,20250318
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0.0,0.519002,0000202376194422945500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,367-3,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,202445.932971,542599.874622,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_서초구.csv,서울특별시 서초구 서초동 367-3번지,서울특별시 서초구 남부순환로344길 10 (서초동),1023114135,일반건축물,우면산 배수지가압장,주건축물,03000,제1종근린생활시설,0.0,764.43,1259.41,1259.41,1.0,1.0,2,2.0,1528.86,1259.41,표제부_연면적사용,19811007,20250318
