구,T1,T2,T3,T4,T5,T6,비고
중구,3.8,8.0,11.5,13.6,15.8,8.9,이미지_눈금기준_근사값
마포구,3.8,3.3,3.5,3.5,3.9,3.6,이미지_눈금기준_근사값
영등포구,1.7,3.1,3.1,3.7,4.1,3.0,이미지_눈금기준_근사값
종로구,2.0,3.2,3.8,3.9,3.0,2.4,이미지_눈금기준_근사값
용산구,3.0,3.9,3.0,2.9,2.8,2.7,이미지_눈금기준_근사값
강서구,1.6,5.6,4.1,2.1,2.2,1.8,이미지_눈금기준_근사값
성동구,2.0,2.7,3.4,3.2,3.3,2.6,이미지_눈금기준_근사값
강남구,1.9,2.2,2.8,3.5,3.5,2.4,이미지_눈금기준_근사값
서초구,1.7,1.8,2.2,2.4,2.5,2.3,이미지_눈금기준_근사값
송파구,1.4,1.5,1.5,1.6,1.5,1.5,이미지_눈금기준_근사값
