cluster,gu,dong,count
0,마포구,동교동,67
0,강서구,화곡동,65
0,마포구,서교동,63
0,마포구,연남동,59
0,강남구,역삼동,52
1,용산구,이태원동,66
1,성동구,성동,57
1,마포구,합정동,47
1,중구,남산동,45
1,중구,회현동,42
2,마포구,연남동,162
2,마포구,서교동,128
2,마포구,동교동,55
2,강서구,화곡동,51
2,강남구,역삼동,49
