cluster,rank,구,동,시설수
0,1,마포구,동교동,67
0,2,강서구,화곡동,65
0,3,마포구,서교동,63
0,4,마포구,연남동,59
0,5,강남구,역삼동,52
0,6,종로구,숭인동,45
0,7,종로구,창신동,38
0,8,강남구,논현동,34
0,9,용산구,이태원동,31
0,10,마포구,성산동,29
1,1,용산구,이태원동,66
1,2,성동구,성동,57
1,3,마포구,합정동,47
1,4,중구,남산동,45
1,5,중구,회현동,42
1,6,마포구,노고산동,37
1,7,강남구,역삼동,32
1,8,영등포구,영등포동,31
1,9,마포구,서교동,28
1,10,강남구,삼성동,25
2,1,마포구,연남동,162
2,2,마포구,서교동,128
2,3,마포구,동교동,55
2,4,강서구,화곡동,51
2,5,강남구,역삼동,49
2,6,용산구,서계동,45
2,7,영등포구,영등포동,41
2,8,마포구,성산동,41
2,9,마포구,망원동,40
2,10,송파구,방이동,31
