cluster,n,knn_k,rho,pseudo_r2,aic
0,1458,12,0.8263904710979492,0.567551710292343,7696.121858793268
1,1238,12,0.7100212754036452,0.5546435305000748,5487.298702895829
2,1550,12,0.8727116489289621,0.648510926688111,7944.729171580597
