cluster,term,coef,p_value
0,const,6.788751714677636,0.0
0,승인연도,-0.08001697462742136,0.6306072589436738
0,소방위험도_점수,0.27661019886673227,0.03180946800029722
0,주변건물수,0.7063350533691706,2.679980259302111e-06
0,집중도,-0.13616430167399934,0.32290994928325345
0,단속위험도,0.8545588136934137,6.197545008812104e-10
0,구조노후도,-0.22336282001823612,0.18399990552043033
0,도로폭위험도,-0.09303051117890111,0.5667332577790487
0,최근접_소화용수_거리등급,-0.09620620898864914,0.5170501383305192
0,총층수,-0.011692513057671359,0.9414863944240816
0,연면적,0.4846959933690608,0.0013721184245431989
1,const,2.8546042003231022,2.4966001570760465e-279
1,승인연도,0.0388817033061796,0.7063627940886152
1,소방위험도_점수,-0.09999940981047918,0.2781444812720434
1,주변건물수,0.36662887031332153,0.0002583329819439821
1,집중도,0.781612586944485,4.6538738776028924e-14
1,단속위험도,0.2481887424029008,0.0124852675206982
1,구조노후도,-0.20284375026228832,0.035087855452000556
1,도로폭위험도,-0.20948378860497785,0.00919154479486673
1,최근접_소화용수_거리등급,-0.755360288679064,5.266432905291292e-13
1,총층수,0.10749585399219272,0.4513049658729238
1,연면적,0.22404037157504783,0.04061036774478066
2,const,6.766451612903223,0.0
2,승인연도,-0.09223209332331624,0.5579283331127216
2,소방위험도_점수,0.4275908259827908,0.0009910079048738593
2,주변건물수,0.7560717674698588,1.1376395748063722e-08
2,집중도,0.21848060243297587,0.06322455010436964
2,단속위험도,0.840265674759361,1.5678572222109022e-07
2,구조노후도,-0.3061561825546606,0.048959053153298265
2,도로폭위험도,0.02868018150652872,0.8165001891457409
2,최근접_소화용수_거리등급,-0.09011194552119743,0.48268492254627116
2,총층수,0.32681208144664564,0.022050965862130633
2,연면적,0.5606226021600624,7.346069488653127e-05
