cluster,term,coef,p_value
0,const,28.569147511439795,0.0
0,승인연도,-1.6557935578198624e-15,0.004837870856057801
0,소방위험도_점수,1.9236354226779855,0.0
0,주변건물수,0.679556848480176,0.0
0,집중도,1.7213125728555847,0.0
0,단속위험도,1.9670732880618842,0.0
0,구조노후도,5.0200611604623955,0.0
0,도로폭위험도,4.920357995592317,0.0
0,최근접_소화용수_거리등급,2.6248305932534612,0.0
0,총층수,0.08612855042103,0.0
0,연면적,1.2110698306802716,0.0
1,const,30.507668184969894,0.0
1,승인연도,-5.830405602758049e-15,1.294291455422314e-13
1,소방위험도_점수,1.9213703083180684,0.0
1,주변건물수,0.2621068870114421,0.0
1,집중도,1.339751042041462,0.0
1,단속위험도,2.0051234062565655,0.0
1,구조노후도,5.254995783072942,0.0
1,도로폭위험도,4.8599141162135195,0.0
1,최근접_소화용수_거리등급,2.426484127765028,0.0
1,총층수,0.1188797294467856,0.0
1,연면적,1.2638974320450096,0.0
2,const,40.23769448378669,0.0
2,승인연도,-6.494804694057166e-15,6.224952584109579e-16
2,소방위험도_점수,2.01238564739197,0.0
2,주변건물수,0.6895544847059993,0.0
2,집중도,1.248115947733587,0.0
2,단속위험도,1.9962648265718628,0.0
2,구조노후도,4.812294475411095,0.0
2,도로폭위험도,2.829049410798778,0.0
2,최근접_소화용수_거리등급,2.8474355623960905,0.0
2,총층수,0.06863163232821026,0.0
2,연면적,1.0557506780323462,0.0
