cluster,x_5181,y_5181,local_R2,residual,coef_intercept,coef_승인연도,coef_소방위험도_점수,coef_주변건물수,coef_집중도,coef_단속위험도,coef_구조노후도,coef_도로폭위험도,coef_최근접_소화용수_거리등급,coef_총층수,coef_연면적
0,198630.79614987536,452035.4127998096,1.0,1.4210854715202004e-14,28.32931435696026,-4.440892098500626e-15,1.9448073001988517,0.6512251612160836,1.73929772838932,1.9602369584221029,5.017345180432837,4.884792836832025,2.566545451683168,0.08671595896965362,1.2021744737434346
0,198498.91829008472,452473.40342401474,1.0,-1.0658141036401503e-14,28.329314356960303,3.552713678800501e-15,1.9448073001988753,0.6512251612160711,1.7392977283893234,1.960236958422102,5.017345180432836,4.884792836832029,2.5665454516831683,0.0867159589696545,1.202174473743424
0,198988.9834914257,452223.0971097793,1.0,3.552713678800501e-15,28.329314356960257,-6.8833827526759706e-15,1.944807300198852,0.65122516121608,1.739297728389321,1.9602369584221027,5.01734518043283,4.884792836832027,2.5665454516831683,0.08671595896966039,1.20217447374343
0,199243.9612674128,452293.8994110669,1.0,0.0,28.329314356960268,3.774758283725532e-15,1.9448073001988502,0.6512251612160791,1.73929772838932,1.960236958422103,5.017345180432839,4.884792836832025,2.566545451683168,0.08671595896965545,1.2021744737434261
0,201801.30040560765,452526.951782465,1.0,3.552713678800501e-15,28.32931435696026,1.1102230246251565e-15,1.944807300198839,0.6512251612160826,1.7392977283893156,1.9602369584221029,5.017345180432837,4.884792836832025,2.5665454516831714,0.0867159589696509,1.2021744737434292
0,197912.56921416588,450501.8264476872,1.0,1.7763568394002505e-14,28.329314356960275,-8.43769498715119e-15,1.9448073001988648,0.6512251612160851,1.739297728389318,1.9602369584221024,5.017345180432834,4.884792836832023,2.5665454516831696,0.08671595896966369,1.202174473743428
0,198906.52544781583,452222.2607203672,1.0,-1.4210854715202004e-14,28.32931435696028,4.440892098500626e-16,1.9448073001988546,0.651225161216083,1.7392977283893185,1.9602369584221022,5.017345180432838,4.884792836832023,2.5665454516831665,0.08671595896965745,1.2021744737434283
0,201689.36010745016,452306.0103027669,1.0,-2.1316282072803006e-14,28.329314356960293,4.440892098500626e-15,1.9448073001988702,0.6512251612160753,1.7392977283893205,1.960236958422104,5.017345180432843,4.884792836832025,2.5665454516831665,0.08671595896965056,1.202174473743436
0,200613.2820190108,452191.01697398326,1.0,1.4210854715202004e-14,28.329314356960264,-3.1086244689504383e-15,1.94480730019885,0.6512251612160795,1.739297728389318,1.960236958422101,5.017345180432838,4.884792836832022,2.566545451683166,0.08671595896966422,1.2021744737434237
0,198984.60479649177,451902.022856804,1.0,-2.1316282072803006e-14,28.329314356960293,-1.1102230246251565e-15,1.9448073001988662,0.651225161216073,1.73929772838932,1.960236958422103,5.017345180432832,4.884792836832024,2.566545451683168,0.0867159589696685,1.2021744737434088
