구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,local_R2,residual,coef_intercept,tval_intercept,bw_intercept,coef_구조노후도,tval_구조노후도,bw_구조노후도,coef_단속위험도,tval_단속위험도,bw_단속위험도,coef_도로폭위험도,tval_도로폭위험도,bw_도로폭위험도,coef_최근접_소화용수_거리등급,tval_최근접_소화용수_거리등급,bw_최근접_소화용수_거리등급,coef_소방위험도_점수,tval_소방위험도_점수,bw_소방위험도_점수,coef_집중도,tval_집중도,bw_집중도,z_구조노후도,contrib_구조노후도,z_단속위험도,contrib_단속위험도,z_도로폭위험도,contrib_도로폭위험도,z_최근접_소화용수_거리등급,contrib_최근접_소화용수_거리등급,z_소방위험도_점수,contrib_소방위험도_점수,z_집중도,contrib_집중도
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,,-0.8215729279297435,31.126688039944746,188.64178160762862,43.0,1.8717251278065705,14.284550275342522,43.0,1.95981116356832,17.209015321382957,73.0,2.1812870033060845,40.88106211154536,327.0,4.5005551453299075,163.84705528239564,1170.0,1.748972689205128,8.664381933050763,95.0,1.4118433198894582,59.63238063721576,1464.0,-0.9746364843572506,-1.8242515982485215,1.052074420748444,2.0618671946874745,0.9858603493342099,2.150444367077508,1.3213355595689442,5.946743551325384,0.02919978113698958,0.05106961973936184,1.035312044057581,1.4616983934037961
종로구,와룡동,클래식 아파트먼트 익선,0,중위험군,37.57389547,126.9897488,199094.4271,452705.6636,31.16213307,,1.4968073109733915,31.0883797093286,89.4609478411307,43.0,1.6671918263485306,16.004217842018143,43.0,2.0668849402203713,21.148339935457773,73.0,2.1477930622022385,34.03734061043173,327.0,4.4884426582598405,172.00539858815364,1170.0,1.5952232593507278,5.9317258073015875,95.0,1.4131494087297554,58.37023102156923,1464.0,1.8527140246479161,3.088829678454296,0.47129453097271334,0.9741115684757246,0.9858603493342099,2.1174240186002913,-1.3358457647529545,-5.9958671153729,-0.9306281218548532,-1.4845596257887452,-0.08703430359937323,-0.1229924746706603
종로구,숭인동,브릭 스테이 (BRIC STAY),0,중위험군,37.57248011,127.0197134,201741.4763,452548.7083,28.64444955,,0.15648672533623298,30.968247113273357,193.22174661253553,43.0,1.973989983948492,15.060747343421715,43.0,1.9731234631418608,16.81553997257631,73.0,2.181630635461218,41.25972242784857,327.0,4.500065186989253,163.79361492127902,1170.0,1.7444809936915653,8.70132615472845,95.0,1.4119099281704837,59.56012238519585,1464.0,0.0033299770348467835,0.006573341313566049,-0.7308888312704884,-1.4421339019281334,0.011746987076150088,0.025627586879696032,-0.007255102592005115,-0.032648434602317714,-0.3368068830761648,-0.5875532060708668,-0.318823223224179,-0.4501496742015326
종로구,충신동,연경당,0,중위험군,37.57203715,127.0039527,200349.1823,452499.3695,30.80334323,,-0.11110341343644237,30.73676604425281,213.91617146565537,43.0,1.8806196681432357,15.264408911898038,43.0,1.8395429785084487,14.32834932794129,73.0,2.1648580432447275,43.32242492406403,327.0,4.49416429779554,170.0343402973475,1170.0,1.7199430529722037,11.591887898733233,95.0,1.4126010753909968,58.95743187295187,1464.0,-1.0849906764987711,-2.0404548059756236,-0.23319380424237143,-0.4289700252257281,0.9858603493342099,2.134247706772221,-0.007255102592005115,-0.03260562304583327,0.27840811016679956,0.47884609497250685,0.047159281446566684,0.06661725168608677
종로구,돈의동,더 메이 호텔,0,중위험군,37.56923344,126.9887906,199009.7162,452188.2421,16.14393547,,-0.2570389339947674,31.17802543470361,108.25256152151906,43.0,2.0607875932883744,17.58697373094336,43.0,2.046427895218452,21.44000673824277,73.0,2.141058959685709,34.688196766505484,327.0,4.487414388055374,171.66537544796293,1170.0,1.4682302660572746,5.851117025413271,95.0,1.4130991704992248,58.468419263236854,1464.0,-1.138265114084333,-2.3457226249779692,0.08321899416825715,0.17030167107794308,-2.5858886456120085,-5.536540053437133,-1.3358457647529545,-5.994493504975242,-0.8861059841859545,-1.3010076249162872,0.1630537412589699,0.23041110651984562
종로구,익선동,엠제이호텔,0,중위험군,37.57227399,126.9880699,198946.0906,452525.7156,30.95267857,,-0.247709750734888,30.987882965158065,84.98510293064997,43.0,1.7482561622974815,17.114590331959963,43.0,2.0421632237968215,20.88895528708424,73.0,2.1407053767275865,33.758437766274135,327.0,4.487813105460963,172.5290224217938,1170.0,1.5658664651386385,5.930787939499528,95.0,1.4131302055608925,58.43639687532831,1464.0,-0.3239272824193178,-0.566307867625849,2.294644025129058,4.686037639823671,-0.9623663751819097,-2.060142873733752,-0.007255102592005115,-0.032559544493864355,-0.8710725351029497,-1.3639832714210085,-0.318823223224179,-0.4505387269723704
종로구,익선동,킹스가든,0,중위험군,37.57179889,126.9889326,199022.3007,452472.9757,29.68497731,,-0.8056935903209315,30.991155233020933,83.85417235494508,43.0,1.7875210516217073,17.159182658331197,43.0,2.0522202263642586,21.033540212547578,73.0,2.142823394111339,34.15966778738132,327.0,4.487902499266489,172.035994037327,1170.0,1.5438679003356979,5.85127029942678,95.0,1.413126710245253,58.423532437513394,1464.0,-0.7044589794590445,-1.259235255786986,2.076139955009034,4.260696408432522,-0.9623663751819097,-2.062181182445926,-0.007255102592005115,-0.032560193055094534,-1.060725277380856,-1.6376197068229827,0.1630537412589699,0.2304155969784688
종로구,관철동,수레지던스,0,중위험군,37.56655068,126.9841539,198600.0443,451890.546,25.97377645,,-0.28866899771565,31.406369286901704,180.8351106096059,43.0,2.1030612744838693,18.116987024693852,43.0,2.0894622430874445,21.91871191322385,73.0,2.1336393711034933,34.09061441783565,327.0,4.485900406333961,173.4333735549143,1170.0,1.3981896219535124,6.229974178541232,95.0,1.4131134743227711,58.513509308310326,1464.0,0.9851017553973405,2.071729353202228,-0.4037683789674431,-0.8436587828050951,-1.9364797374399687,-4.131749409146073,-0.007255102592005115,-0.03254566766547032,0.45707487042251,0.6390773402804999,-2.0145421615319683,-2.846776673052145
종로구,창신동,동대문 서울달빛,0,중위험군,37.56916257,127.0137488,201214.6206,452180.4061,34.54718315,,-0.06560877684856337,31.03752605126076,192.5345528239058,43.0,1.9392749303956616,14.438045305774063,43.0,1.8866350164694392,12.591729790817173,73.0,2.1745034723699623,41.19903699020003,327.0,4.4983959449207145,167.5050235472591,1170.0,1.7223559705081446,8.22073655144678,95.0,1.4120711225494573,59.47787032376925,1464.0,0.9280220008413814,1.7996898010873126,1.435910639174042,2.7090392923867617,0.9858603493342099,2.1437567528991033,-0.007255102592005115,-0.03263632407985958,-1.1162333970719505,-1.9225512559274625,-0.7946004792961487,-1.1220323907780496
종로구,연건동,브루클린,0,중위험군,37.57244418,127.0008332,200073.6066,452544.5381,36.98701582,,-0.293053064210568,30.79146241713699,216.3733823823752,43.0,1.4160672313117137,13.553859150067582,43.0,1.9547853737371828,14.87601548747827,73.0,2.163565043391294,41.41995067001016,327.0,4.492501253541568,169.67152147519533,1170.0,1.647731470613949,8.410658493406132,95.0,1.4127603875354695,58.78140606603298,1464.0,-1.3856107171601546,-1.9621179319248183,0.19497963347976088,0.3811433357028733,0.9858603493342099,2.132972989485026,1.3213355595689442,5.936101657712531,0.0644705655240392,0.10623017974223806,-0.07483488677701507,-0.10572376364426879
종로구,숭인동,케이디 호스텔,0,중위험군,37.57044997,127.0186755,201649.8402,452323.3676,33.38826274,,-0.06962138490870728,31.094246436102942,188.5630169941949,43.0,1.9027948893293676,14.537385866123653,43.0,1.950971266979622,17.03222835366567,73.0,2.1801440954444304,41.05217700363946,327.0,4.500022828174259,164.62032291916532,1170.0,1.7462115765636324,8.62196355787628,95.0,1.4118967470749952,59.59541952499025,1464.0,-1.0849906764987711,-2.064514714211875,-0.10428038226474172,-0.20344802950816246,-0.9623663751819097,-2.0980973705070998,1.3213355595689442,5.946040181738658,-0.16392221862161005,-0.2862428758130501,0.7577753113489321,1.069900497107299
종로구,장사동,센추럴,0,중위험군,37.56604937,126.9921087,199302.819,451834.8177,38.31717841,,0.5340475047893918,31.445240827221824,143.08141372241744,43.0,1.8017428004888891,15.287470254133677,43.0,2.022017434139745,14.800168679937759,73.0,2.146007636629581,36.72244090404842,327.0,4.488186941328774,170.28303953959744,1170.0,1.1793680269275508,5.081751408949261,95.0,1.4129874187821203,58.5927928816947,1464.0,1.6358109573352728,2.9473106153396653,2.16957246635093,4.386913351591145,0.011746987076150088,0.025209123972807085,-0.007255102592005115,-0.0325622567114379,-0.763525553201454,-0.9004776251879655,-0.06263546995465692,-0.08850313101543573
종로구,창신동,VATICA HOTEL(바티카 호텔),0,중위험군,37.56737832,127.0147475,201302.8834,451982.3886,25.16109034,,0.7811349765773095,31.15726342611866,202.85376546742768,43.0,1.913700035870732,14.666222874426614,43.0,1.8868438450147815,13.2486015415115,73.0,2.1739545504948907,41.20011090448123,327.0,4.499083063721836,167.2067553641561,1170.0,1.7450242972067171,8.368775843114394,95.0,1.4119756929778222,59.5739649193594,1464.0,1.6358109573352728,3.130451487730248,-1.0464728065944076,-1.9745307740980018,0.011746987076150088,0.025537416008801155,-1.3358457647529545,-6.010081055944562,-1.2486433909184156,-2.1789130556992204,0.1630537412589699,0.23022791930676056
종로구,권농동,언플러그 안국,0,중위험군,37.57427525,126.9904528,199156.6242,452747.8082,34.38596742,,0.5011299114617387,31.116117117734813,91.14029022699103,43.0,1.6250398881756423,15.629497246929459,43.0,2.076611805457407,21.2321923028419,73.0,2.150095947409392,34.4949674781408,327.0,4.488710325095575,171.8502814782916,1170.0,1.5986977116187548,5.9155238528070555,95.0,1.4131540246953744,58.346697867109654,1464.0,0.1136841691763669,0.18474130956570406,1.836733116865825,3.8141816739581516,0.011746987076150088,0.02525714930670081,-0.007255102592005115,-0.03256605391436103,-0.9306281218548532,-1.4877930487774136,0.18745257490368622,0.2648993606646553
종로구,낙원동,베스트웨스턴 종로(인사동),0,중위험군,37.5696394,126.9887561,199006.6737,452233.2992,24.1597545,,-0.1554285515742997,31.15529797320864,103.65498834392392,43.0,2.0593137980610337,17.327478815378434,43.0,2.047721861465547,21.394073457695303,73.0,2.141091225714337,34.63019200887703,327.0,4.487480605366725,171.75553957106513,1170.0,1.478546593331178,5.844950207301586,95.0,1.4131034315762203,58.462606856203024,1464.0,-0.921362046771689,-1.8973735759266945,1.2775952409761677,2.6161597050512424,0.011746987076150088,0.025151370957324667,-1.3358457647529545,-5.994581961090164,-0.9306281218548532,-1.3759770392266857,-0.15108124191675382,-0.21349342139936192
종로구,숭인동,아이비씨호텔,0,중위험군,37.57050676,127.022065,201949.2705,452329.7355,39.68270504,,0.4773183344247087,31.177943778589942,189.96661996390384,43.0,1.8377309191318707,14.33894857243368,43.0,1.962638543049223,16.942885054762478,73.0,2.182789118576271,40.612668024539964,327.0,4.5015452701358285,163.32016685360506,1170.0,1.7520480652057744,8.696159402471862,95.0,1.4117584093487672,59.692308916307866,1464.0,-0.921362046771689,-1.6932155210669577,0.15551732923295633,0.30522430446467574,0.9858603493342099,2.151925242962515,1.3213355595689442,5.948051838439859,0.18936383482900193,0.33177454043209864,0.696778227237141,0.9836825217531601
