화재번호,발생일자,발생시군구,화재유형,발화요인_대분류,발화요인_소분류,발화장소_대분류,발화장소_중분류,재산피해액(천원),재산피해액_백만원,사망자수,부상자수,인명피해계,위도,경도
220319074605399,20220319,강남구,건축/구조물,미상,미상,판매/업무시설,판매시설,107420,107.42,0,0,0,37.464302,127.1067
230422151641495,20230422,중구,건축/구조물,부주의,불씨/불꽃/화원방치,의료/복지시설,의료시설,103603,103.603,0,0,0,37.56436791,126.9689266
220525125309548,20220525,중구,건축/구조물,미상,미상,산업시설,창고시설,100054,100.054,0,0,0,37.565008,127.008734
210504015455149,20210503,종로구,건축/구조물,미상,미상,주거,단독주택,99636,99.636,0,1,1,37.5793597,127.0158759
210331110426433,20210331,종로구,건축/구조물,미상,미상,산업시설,창고시설,99237,99.237,0,0,0,37.570839,127.0149701
220506221707247,20220506,송파구,건축/구조물,부주의,용접/ 절단/ 연마,기타서비스,기타건축물,97807,97.807,0,0,0,37.501046,127.107679
241002171125066,20241002,중구,건축/구조물,부주의,용접/ 절단/ 연마,판매/업무시설,숙박시설,96197,96.197,0,0,0,37.56522454,127.0189363
240108143023607,20240108,성동구,건축/구조물,기계적 요인,과열/ 과부하,운수자동차시설,자동차시설,96153,96.153,0,0,0,37.54979473,127.0515579
221212121341458,20221212,영등포구,건축/구조물,미상,미상,생활서비스,음식점,92420,92.42,0,0,0,37.514955,126.894898
210710160912219,20210710,중구,자동차/철도차량,기계적 요인,오일/연료누설,자동차/철도차량,건설기계,90200,90.2,0,0,0,37.5603887,126.9858203
231206235430161,20231206,중구,건축/구조물,부주의,용접/ 절단/ 연마,생활서비스,음식점,90071,90.071,0,2,2,37.55862571,126.9774068
230724204218868,20230724,종로구,건축/구조물,부주의,담배꽁초,주거,공동주택,88757,88.757,0,1,1,37.61337725,126.9598368
231016072514573,20231016,송파구,건축/구조물,기타,기타,생활서비스,음식점,88629,88.629,0,0,0,37.51639256,127.1300212
210823173043965,20210823,송파구,건축/구조물,전기적 요인,반단선,주거,공동주택,85885,85.885,0,1,1,37.4873953,127.1337831
240703210111436,20240703,강남구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,85800,85.8,0,0,0,37.49042415,127.0868976
220721232947469,20220721,마포구,건축/구조물,미상,미상,운수자동차시설,자동차시설,84939,84.939,0,0,0,37.542035,126.948784
230314065047729,20230314,송파구,건축/구조물,미상,미상,생활서비스,일상서비스,84658,84.658,0,0,0,37.49655246,127.1180291
230804052809280,20230804,성동구,자동차/철도차량,전기적 요인,트래킹에 의한 단락,자동차/철도차량,자동차,82374,82.374,0,0,0,37.54780074,127.0644567
220905144139677,20220905,송파구,건축/구조물,미상,미상,판매/업무시설,판매시설,81435,81.435,0,0,0,37.478633,127.119289
240224071238379,20240224,중구,건축/구조물,전기적 요인,미확인단락,생활서비스,음식점,81235,81.235,0,0,0,37.56248807,126.9789365
240523231257782,20240523,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,숙박시설,80330,80.33,0,0,0,37.56190109,126.9867842
240107024535254,20240106,강남구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,판매시설,80133,80.133,0,0,0,37.4875094,127.1047888
231101042150413,20231031,강남구,건축/구조물,미상,미상,판매/업무시설,일반업무,77298,77.298,0,0,0,37.52200657,127.0341107
231207181713015,20231207,강남구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,일반업무,76204,76.204,0,0,0,37.47322495,127.1003113
240502233310834,20240502,강남구,건축/구조물,전기적 요인,접촉불량에 의한 단락,생활서비스,일상서비스,75925,75.925,0,0,0,37.50423572,127.0308407
211016185232864,20211016,영등포구,건축/구조물,미상,미상,판매/업무시설,일반업무,72815,72.815,0,0,0,37.5348103,126.8972088
220422154531553,20220422,중구,건축/구조물,전기적 요인,절연열화에 의한 단락,산업시설,창고시설,71542,71.542,0,0,0,37.561955,126.994509
240928130955027,20240928,마포구,건축/구조물,미상,미상,판매/업무시설,일반업무,71073,71.073,0,0,0,37.55129609,126.9567053
210726214737139,20210726,용산구,건축/구조물,전기적 요인,미확인단락,주거,공동주택,70874,70.874,0,1,1,37.5203611,126.9695455
220828234620703,20220828,송파구,건축/구조물,부주의,담배꽁초,주거,공동주택,70253,70.253,0,0,0,37.5031,127.085834
220617030953169,20220616,강남구,건축/구조물,부주의,음식물 조리중,주거,공동주택,69448,69.448,0,0,0,37.503386,127.053697
220621204030166,20220621,강남구,자동차/철도차량,부주의,기기(전기/ 기계 등) 사용.설치부주의,자동차/철도차량,자동차,69300,69.3,0,0,0,37.495861,127.067442
211126192546499,20211126,영등포구,건축/구조물,부주의,용접/ 절단/ 연마,산업시설,공장시설,68677,68.677,0,0,0,37.5214148,126.8858342
241205102346283,20241205,마포구,건축/구조물,미상,미상,판매/업무시설,판매시설,67751,67.751,0,0,0,37.55957056,126.9015724
210911045722117,20210911,마포구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,67551,67.551,0,0,0,37.576369,126.8666299
240923161854789,20240923,중구,건축/구조물,전기적 요인,미확인단락,주거,공동주택,67359,67.359,0,0,0,37.55287824,127.0114174
220522091856152,20220522,중구,건축/구조물,전기적 요인,절연열화에 의한 단락,생활서비스,일상서비스,67239,67.239,0,0,0,37.559212,126.978527
230714183242811,20230714,영등포구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,판매시설,67062,67.062,0,0,0,37.52055573,126.9334174
210301063206838,20210301,송파구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,66880,66.88,0,0,0,37.502864,127.0943323
210913222007561,20210913,송파구,건축/구조물,전기적 요인,반단선,의료/복지시설,의료시설,66478,66.478,0,0,0,37.5113962,127.0825543
221223140151418,20221223,영등포구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,66000,66.0,0,0,0,37.538273,126.890297
221001053328917,20221001,송파구,건축/구조물,전기적 요인,트래킹에 의한 단락,주거,공동주택,65759,65.759,0,0,0,37.491726,127.125765
230218141203513,20230218,영등포구,건축/구조물,부주의,용접/ 절단/ 연마,교육시설,학교,65476,65.476,0,1,1,37.49163139,126.9081512
240601122200647,20240601,강남구,자동차/철도차량,미상,미상,자동차/철도차량,건설기계,65450,65.45,0,0,0,37.49786115,127.0417959
241010005748266,20241009,강남구,건축/구조물,미상,미상,주거,공동주택,64780,64.78,0,0,0,37.49190754,127.0633797
