구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,합정동,Rich Stay,2,고위험군,37.5503173,126.9092701,191982.554,450092.5842,51.98523147,37.442519547191154,14.542711922808849,6.7126259910812704
마포구,당인동,스테이 여백,1,저위험군,37.54347928,126.9199572,192926.2835,449332.7886,31.4925515,37.37828423680117,-5.88573273680117,6.7126259910812704
마포구,서교동,써니빌,0,중위험군,37.55242914,126.9279967,193637.5328,450325.5409,32.77585344,27.817928873758362,4.957924566241637,6.7126259910812704
마포구,서교동,하모니 스테이,0,중위험군,37.55054647,126.9198745,192919.6408,450117.1678,30.68323792,27.25408559366849,3.4291523263315113,6.7126259910812704
마포구,서교동,Comfy & Cozy,0,중위험군,37.55105539,126.9207869,193000.3151,450173.5835,31.51898508,27.054242405788536,4.464742674211465,6.7126259910812704
마포구,용강동,희담스테이,1,저위험군,37.53906797,126.9386199,194575.2679,448841.9465,31.07664821,37.56742153961613,-6.490773329616129,6.7126259910812704
마포구,대흥동,더 눅 하우스,2,고위험군,37.54697828,126.9432759,194987.2884,449719.6365,49.28266541,38.448872743300925,10.833792666699075,6.7126259910812704
마포구,용강동,마포 BNB 트립,1,저위험군,37.53956824,126.9365011,194388.0446,448897.5947,19.90197113,26.440438328728675,-6.538467198728675,6.7126259910812704
마포구,서교동,어반 오아시스,0,중위험군,37.55267504,126.9266128,193515.265,450352.9274,30.79370271,27.357575815963465,3.436126894036537,6.7126259910812704
마포구,연남동,JUST MANSION 1,0,중위험군,37.55874771,126.9249481,193368.7004,451027.0377,31.73490856,26.440438328728675,5.294470231271326,6.7126259910812704
마포구,창전동,레드판다하우스,2,고위험군,37.55143681,126.9305026,193858.879,450215.2375,39.3930126,37.62808822165111,1.764924378348887,6.7126259910812704
마포구,합정동,몽키하우스,0,중위험군,37.54610257,126.9151674,192503.2516,449624.3132,39.11971898,27.714438651463382,11.40528032853662,6.7126259910812704
마포구,서교동,샬루스테이,0,중위험군,37.54846762,126.9174357,192703.9395,449886.6268,33.52278603,27.357575815963465,6.165210214036534,6.7126259910812704
마포구,상암동,PNP House,1,저위험군,37.57282212,126.8968022,190883.5594,452591.491,18.95366429,27.054242405788536,-8.100578115788537,6.7126259910812704
마포구,서교동,지니 스테이,2,고위험군,37.55222641,126.9284475,193677.3438,450303.0099,36.49869463,37.06424494156124,-0.565550311561239,6.7126259910812704
마포구,성산동,Onul,0,중위험군,37.56028967,126.9055058,191651.0266,451199.7264,23.88553162,26.3369481064337,-2.4514164864337005,6.7126259910812704
마포구,서교동,Saymi stay,2,고위험군,37.55552726,126.9116039,192189.3283,450670.6311,44.512851,37.2533822443762,7.2594687556238,6.7126259910812704
마포구,서교동,Bari stay,1,저위험군,37.55510514,126.9105786,192098.6848,450623.8665,14.42592235,27.714438651463382,-13.288516301463382,6.7126259910812704
마포구,성산동,Dear You Stay,1,저위험군,37.56196252,126.9144194,192438.7508,451384.6386,37.14318296,37.31761755476619,-0.17443459476618983,6.7126259910812704
마포구,합정동,YG Stay House,0,중위험군,37.54640733,126.9051248,191615.8121,449658.9861,31.75355595,26.24773239755872,5.505823552441278,6.7126259910812704
마포구,서교동,오크하우스,1,저위험군,37.54876241,126.9166302,192632.7817,449919.4078,26.43914154,27.307615018993477,-0.8684734789934758,6.7126259910812704
마포구,서교동,굿데이하우스,0,중위험군,37.54600767,126.9175288,192711.9191,449613.5948,22.06565094,27.2041247966985,-5.1384738566985,6.7126259910812704
마포구,성산동,블루스프링 하우스,0,중위험군,37.56385593,126.9095673,192010.2603,451595.1863,27.42669595,26.3369481064337,1.0897478435663004,6.7126259910812704
마포구,동교동,파크뷰 스테이,1,저위험군,37.55374108,126.9285871,193689.8141,450471.1108,20.76993914,26.490399125698666,-5.720459985698664,6.7126259910812704
마포구,도화동,페이보 마포,1,저위험군,37.5366893,126.9472992,195342.1857,448577.478,27.56704402,27.411105241288453,0.1559387787115476,6.7126259910812704
마포구,성산동,베이스캠프 하우스,0,중위험군,37.56114282,126.9089216,191952.9226,451294.1181,23.6638318,26.20847748565373,-2.5446456856537303,6.7126259910812704
마포구,도화동,두오방즈,2,고위험군,37.53821585,126.9530943,195854.4573,448746.6351,38.41829053,37.189146933986216,1.2291435960137846,6.7126259910812704
마포구,합정동,스테이 로뎀 (안),1,저위험군,37.54405815,126.9125784,192274.2452,449397.6169,30.73277218,27.357575815963465,3.375196364036537,6.7126259910812704
마포구,서교동,스테이 시오,0,중위험군,37.55274182,126.9278376,193623.4981,450360.2554,22.62545372,27.104203202758523,-4.4787494827585235,6.7126259910812704
마포구,합정동,하우스 제이제이,1,저위험군,37.54973871,126.9077308,191846.4699,450028.5,38.26245015,37.189146933986216,1.0733032160137839,6.7126259910812704
마포구,연남동,소소연남,0,중위험군,37.56120277,126.9166027,192631.581,451300.1419,27.93528747,26.64385014496363,1.2914373250363695,6.7126259910812704
마포구,서교동,오아시스 홍대,2,고위험군,37.55278449,126.9255146,193418.2376,450365.1514,46.84724424,37.31761755476619,9.529626685233815,6.7126259910812704
마포구,연남동,연남 베통부르트2,0,중위험군,37.56263081,126.9222676,193132.2252,451458.2085,30.3705705,26.593889347993642,3.7766811520063577,6.7126259910812704
마포구,창전동,시크릿 온 하우스,0,중위험군,37.55016429,126.9280507,193642.1111,450074.166,29.68410825,27.25408559366849,2.430022656331513,6.7126259910812704
마포구,서교동,Check in H,0,중위험군,37.55318919,126.928484,193680.6565,450409.8645,26.24392256,26.24773239755872,-0.0038098375587196642,6.7126259910812704
마포구,동교동,한인빌리지,2,고위험군,37.5546881,126.9283755,193671.1889,450576.2329,35.75328782,37.37828423680117,-1.6249964168011743,6.7126259910812704
마포구,서교동,코지데이즈,0,중위험군,37.55253459,126.9277373,193614.6211,450337.2622,31.96039936,27.614517057523408,4.345882302476593,6.7126259910812704
마포구,동교동,화이트그린 게스트하우스,0,중위험군,37.55394319,126.9302668,193838.2525,450493.4311,37.0364581,27.614517057523408,9.42194104247659,6.7126259910812704
마포구,공덕동,Angela stay,2,고위험군,37.54589156,126.9594059,196412.6448,449598.286,34.85394187,37.31761755476619,-2.463675684766187,6.7126259910812704
마포구,상수동,Anne stay,1,저위험군,37.54358569,126.9216146,193072.77,449344.4754,21.19208022,26.490399125698666,-5.298318905698665,6.7126259910812704
