구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_구조노후도,bw_intercept,bw_구조노후도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,-4.1725768042674325,26.30376117599913,0.4208706027453327,43.0,83.0
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,-2.3656668266833663,28.085396248392115,1.1078300466023507,43.0,83.0
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,-0.12311921373443369,28.569474997408193,2.285726929965443,43.0,83.0
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,-7.919321702771459,30.458948541284933,1.0788306389320392,43.0,83.0
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,-9.422812629453862,28.440436591983218,2.4769581333164066,43.0,83.0
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,-2.5943643413652637,26.08067778625577,0.3803881469954955,43.0,83.0
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,8.234581662822954,31.127107178357363,1.5798013486353115,43.0,83.0
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,-7.663036988558982,30.197442083043434,1.0337554818288721,43.0,83.0
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,1.8888376591096012,30.85878224469795,1.0222635140234981,43.0,83.0
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,-5.83779316126672,26.760374142816012,1.6179448526902291,43.0,83.0
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,10.758793444504676,30.41173080465376,1.044325372069032,43.0,83.0
종로구,와룡동,클래식 아파트먼트 익선,0,중위험군,37.57389547,126.9897488,199094.4271,452705.6636,31.16213307,-1.3506053399876343,30.667104934393763,0.9961782828003429,43.0,83.0
종로구,숭인동,브릭 스테이 (BRIC STAY),0,중위험군,37.57248011,127.0197134,201741.4763,452548.7083,28.64444955,-1.5471513481185823,30.187963354562743,1.0923629555927468,43.0,83.0
종로구,충신동,연경당,0,중위험군,37.57203715,127.0039527,200349.1823,452499.3695,30.80334323,1.3400219562923539,31.15826078602653,1.5621696564143739,43.0,83.0
