구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_단속위험도,bw_intercept,bw_단속위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,-2.630514694675469,26.012440429067055,2.019729880567766,43.0,65.0
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,-4.102491819586881,26.651935681659396,1.6804314239314118,43.0,65.0
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,2.8542031696649204,30.146999554499743,2.4168319394064794,43.0,65.0
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,-7.0575301133051696,30.333120597413437,2.0895506990509523,43.0,65.0
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,-10.74932056297586,28.119859205942117,1.5916923443663835,43.0,65.0
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,-3.3044946907669157,26.050003508480255,2.52505564793422,43.0,65.0
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,8.613859472481465,31.184573886990314,0.049894593718029734,43.0,65.0
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,-9.813790494849624,30.26928082728617,2.0927969119921057,43.0,65.0
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,0.03300423805295338,29.01796650816768,1.755927921675989,43.0,65.0
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,-7.111821744321134,26.05051496602927,1.6755678920847172,43.0,65.0
