구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_단속위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,32.353788331938745,-9.442851091938746,1.7136683186442125
종로구,관훈동,호텔 썬비,1,저위험군,37.57030354,126.9840039,198586.865,452307.0719,13.42087742,32.42927072840809,-19.008393308408092,1.7136683186442125
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,1,저위험군,37.57180204,126.983008,198498.9183,452473.4034,19.21733253,31.941851813407688,-12.724519283407687,1.7136683186442125
종로구,인의동,이스트 아뜰리에,1,저위험군,37.57093161,126.9958843,199636.4111,452376.668,29.45535909,31.08346361399071,-1.6281045239907073,1.7136683186442125
종로구,숭인동,U-STAY HOSTEL,1,저위험군,37.56976898,127.0154556,201365.3966,452247.734,25.62588219,34.72339180427871,-9.097509614278714,1.7136683186442125
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,34.57835627511146,-10.060612125111462,1.7136683186442125
종로구,이화동,글루호텔,1,저위험군,37.57304815,127.0031721,200280.2191,452611.5762,15.4508699,31.069092111077474,-15.618222211077473,1.7136683186442125
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,31.023414498325383,12.735320271674613,1.7136683186442125
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,32.353788331938745,0.08382415806125465,1.7136683186442125
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,32.36426259595975,10.58984046404025,1.7136683186442125
종로구,창신동,호스텔 메가 동대문역,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,31.519904012648436,-9.811965152648437,1.7136683186442125
종로구,봉익동,포레스트 스테이 종로,1,저위험군,37.57018563,126.991442,199243.9613,452293.8994,15.92274082,31.712506601336102,-15.789765781336103,1.7136683186442125
종로구,관철동,MOMENTO HOSTEL,1,저위험군,37.56655742,126.9838,198568.7776,451891.2994,23.18591932,32.353788331938745,-9.167869011938745,1.7136683186442125
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,32.388940631438025,-9.554245541438025,1.7136683186442125
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,32.353788331938745,-15.354422481938744,1.7136683186442125
종로구,창신동,247 HOSTEL SEOUL,1,저위험군,37.56817447,127.0131481,201161.5696,452070.7309,28.46176098,35.58597407714847,-7.12421309714847,1.7136683186442125
종로구,관철동,찰나 호스텔,1,저위험군,37.56664615,126.9833293,198527.2006,451901.1547,21.17200955,33.09779639871291,-11.92578684871291,1.7136683186442125
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,33.5400017045075,-9.492240054507501,1.7136683186442125
종로구,종로5가,편안정 종로5가점,1,저위험군,37.56810507,127.0045472,200401.7227,452062.9568,24.42589099,30.977809917679476,-6.551918927679477,1.7136683186442125
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,34.61940019334208,8.563561396657917,1.7136683186442125
종로구,종로5가,고유리(Goyu;re),1,저위험군,37.56730221,127.0037223,200328.8504,451973.8455,23.67381825,31.067748021688473,-7.393929771688473,1.7136683186442125
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,32.57530495584582,7.218471374154177,1.7136683186442125
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,34.1372667746991,-6.671778834699101,1.7136683186442125
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,33.245202743957385,-12.099908883957387,1.7136683186442125
종로구,창신동,이온호텔,1,저위험군,37.56975326,127.0119696,201057.431,452245.9443,25.0569827,34.290250641538734,-9.233267941538735,1.7136683186442125
종로구,관철동,오아시스 트레블러스 종로,1,저위험군,37.56702341,126.9866387,198819.5744,451942.9794,34.79954247,34.295678050349814,0.5038644196501849,1.7136683186442125
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,31.6953695779646,10.080497362035402,1.7136683186442125
종로구,창신동,동대문인순,1,저위험군,37.56877711,127.0102192,200902.8069,452137.5848,28.05798271,36.18346787444389,-8.12548516444389,1.7136683186442125
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,35.55889769692396,-3.36414892692396,1.7136683186442125
종로구,종로6가,편안정,1,저위험군,37.56925877,127.006942,200613.282,452191.017,21.08551939,32.37243615237846,-11.28691676237846,1.7136683186442125
종로구,낙원동,소락방 주식회사,1,저위험군,37.57009871,126.9876943,198912.8819,452284.2891,14.86759141,31.688394886381328,-16.82080347638133,1.7136683186442125
종로구,연지동,스테이누아 종로,1,저위험군,37.56957912,126.9996604,199969.9995,452226.5495,31.17951278,33.97818375379846,-2.798670973798462,1.7136683186442125
종로구,관철동,1996 종로인,1,저위험군,37.56632523,126.986269,198786.9014,451865.4943,19.26915095,33.549276992412985,-14.280126042412984,1.7136683186442125
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,32.607339227912895,-13.791150527912894,1.7136683186442125
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1,저위험군,37.56594442,126.9857743,198743.1897,451823.2353,14.39556882,34.47082888726823,-20.075260067268232,1.7136683186442125
종로구,견지동,더프리마호텔 종로,1,저위험군,37.57038151,126.9826794,198469.8543,452315.7464,15.15989744,31.78924624624173,-16.62934880624173,1.7136683186442125
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,34.38950625716287,5.7631803828371275,1.7136683186442125
종로구,와룡동,클래식 아파트먼트 익선,0,중위험군,37.57389547,126.9897488,199094.4271,452705.6636,31.16213307,33.46961731162032,-2.307484241620319,1.7136683186442125
종로구,효제동,하우스 오손 종묘점,1,저위험군,37.56890164,127.0020354,200179.8148,452151.359,33.0946072,32.888385083128384,0.20622211687161496,1.7136683186442125
종로구,관수동,HELLO HOSTEL,1,저위험군,37.56619998,126.9911883,199221.509,451851.5409,18.00246441,32.40951024675427,-14.407045836754271,1.7136683186442125
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1,저위험군,37.56915801,126.9800544,198237.9294,452179.9981,21.85697839,36.20658287393692,-14.349604483936918,1.7136683186442125
종로구,숭인동,브릭 스테이 (BRIC STAY),0,중위험군,37.57248011,127.0197134,201741.4763,452548.7083,28.64444955,31.565496309996565,-2.921046759996564,1.7136683186442125
종로구,충신동,연경당,0,중위험군,37.57203715,127.0039527,200349.1823,452499.3695,30.80334323,32.353788331938745,-1.5504451019387453,1.7136683186442125
종로구,숭인동,호텔 DM,1,저위험군,37.57059843,127.0186013,201643.2775,452339.8436,28.05377359,32.720935882010366,-4.667162292010367,1.7136683186442125
종로구,원남동,오라카이 대학로 호텔,1,저위험군,37.57297519,126.9979778,199821.3638,452603.4757,17.49537536,33.10265420120315,-15.60727884120315,1.7136683186442125
종로구,창신동,D-STAY HOSTEL,1,저위험군,37.56798355,127.0095215,200841.1772,452049.5024,22.90804819,31.251317991957116,-8.343269801957117,1.7136683186442125
종로구,돈의동,더 메이 호텔,0,중위험군,37.56923344,126.9887906,199009.7162,452188.2421,16.14393547,32.854950029528716,-16.711014559528717,1.7136683186442125
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,33.48306254543353,2.0129463445664655,1.7136683186442125
종로구,익선동,엠제이호텔,0,중위험군,37.57227399,126.9880699,198946.0906,452525.7156,30.95267857,36.35759444902208,-5.404915879022081,1.7136683186442125
종로구,익선동,킹스가든,0,중위험군,37.57179889,126.9889326,199022.3007,452472.9757,29.68497731,36.01150898325797,-6.326531673257968,1.7136683186442125
종로구,관철동,수레지던스,0,중위험군,37.56655068,126.9841539,198600.0443,451890.546,25.97377645,32.08361770715901,-6.109841257159008,1.7136683186442125
종로구,창신동,동대문 서울달빛,0,중위험군,37.56916257,127.0137488,201214.6206,452180.4061,34.54718315,34.997458943618504,-0.450275793618502,1.7136683186442125
종로구,연건동,브루클린,0,중위험군,37.57244418,127.0008332,200073.6066,452544.5381,36.98701582,33.031966104739446,3.9550497152605573,1.7136683186442125
종로구,숭인동,케이디 호스텔,0,중위험군,37.57044997,127.0186755,201649.8402,452323.3676,33.38826274,32.557972453835724,0.8302902861642778,1.7136683186442125
종로구,장사동,센추럴,0,중위험군,37.56604937,126.9921087,199302.819,451834.8177,38.31717841,36.15949539919754,2.157683010802458,1.7136683186442125
종로구,창신동,VATICA HOTEL(바티카 호텔),0,중위험군,37.56737832,127.0147475,201302.8834,451982.3886,25.16109034,31.0656473734176,-5.9045570334176,1.7136683186442125
종로구,명륜4가,호스텔 데이,1,저위험군,37.57929506,126.9971361,199747.0246,453304.9103,27.63239309,36.27014645333822,-8.63775336333822,1.7136683186442125
종로구,숭인동,루미아호텔,1,저위험군,37.57109607,127.0214556,201895.4198,452395.1296,26.92374553,31.496585572932766,-4.572840042932764,1.7136683186442125
종로구,창신동,24guesthouse동대문마켓점,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,31.519904012648436,-9.811965152648437,1.7136683186442125
종로구,관철동,호스텔 클로이,1,저위험군,37.56597443,126.9878264,198924.4936,451826.5406,17.48344907,31.845310327076675,-14.361861257076676,1.7136683186442125
종로구,원남동,메이플레이스 호텔 서울 동대문,1,저위험군,37.57336561,126.9979485,199818.7693,452646.8078,14.95589031,33.380996013147495,-18.425105703147494,1.7136683186442125
종로구,권농동,언플러그 안국,0,중위험군,37.57427525,126.9904528,199156.6242,452747.8082,34.38596742,35.632315922733305,-1.246348502733305,1.7136683186442125
종로구,수송동,신라스테이 광화문,1,저위험군,37.56990125,126.9803048,198260.0635,452262.4845,19.90447402,32.14429714558118,-12.239823125581179,1.7136683186442125
종로구,인의동,호텔 아트리움,1,저위험군,37.56913495,126.9973365,199764.6917,452177.2551,20.4974136,31.65292436024318,-11.155510760243178,1.7136683186442125
종로구,낙원동,베스트웨스턴 종로(인사동),0,중위험군,37.5696394,126.9887561,199006.6737,452233.2992,24.1597545,34.74670545288103,-10.586950952881033,1.7136683186442125
종로구,숭인동,아이비씨호텔,0,중위험군,37.57050676,127.022065,201949.2705,452329.7355,39.68270504,32.96946232649001,6.713242713509992,1.7136683186442125
종로구,관철동,호스텔 하루,1,저위험군,37.56622871,126.9835334,198545.2223,451854.8205,20.84757253,35.83841371403756,-14.990841184037556,1.7136683186442125
종로구,익선동,ICON,0,중위험군,37.57209924,126.9881293,198951.3391,452506.3197,24.01764966,36.57956265357175,-12.561912993571749,1.7136683186442125
종로구,익선동,호텔 다다-인사,0,중위험군,37.57189895,126.9887524,199006.3786,452484.0831,28.99010129,34.96903703545701,-5.978935745457015,1.7136683186442125
종로구,낙원동,종로크라운,0,중위험군,37.57131629,126.9874005,198886.9441,452419.4297,27.58183873,32.939173071784474,-5.3573343417844725,1.7136683186442125
종로구,평창동,동화킴스관광호텔,0,중위험군,37.60669991,126.9743304,197733.3915,456346.8474,38.32306966,30.951361511190434,7.371708148809567,1.7136683186442125
종로구,낙원동,오라카이 인사동 스위츠,1,저위험군,37.57025733,126.9865467,198811.497,452301.9079,15.44674591,32.20466655567162,-16.75792064567162,1.7136683186442125
종로구,관수동,호텔베뉴지,1,저위험군,37.56598513,126.9900523,199121.1448,451827.7051,13.84635558,31.520136389738944,-17.673780809738943,1.7136683186442125
종로구,관훈동,아미드 호텔 서울,1,저위험군,37.56984481,126.9834118,198534.5493,452256.1673,18.68581043,33.40499927453435,-14.719188844534347,1.7136683186442125
종로구,당주동,포시즌스 호텔 서울,0,중위험군,37.56801651,126.9746335,197758.993,452053.4204,31.72027245,30.975665396730456,0.7446070532695437,1.7136683186442125
종로구,와룡동,Hostel Tommy 호스텔 토미,0,중위험군,37.5716747,126.990417,199153.4252,452459.1776,32.68575111,35.34539817368684,-2.6596470636868403,1.7136683186442125
종로구,운니동,노블관광호텔,0,중위험군,37.57393452,126.9888707,199016.8561,452710.0065,33.81378816,37.12125060052069,-3.3074624405206876,1.7136683186442125
종로구,와룡동,바운드 호스텔,0,중위험군,37.57338396,126.9895252,199074.671,452648.8941,29.84933743,32.9310705424072,-3.0817331124072,1.7136683186442125
종로구,익선동,호텔 이비스앰배서더 인사동,0,중위험군,37.57168791,126.9884302,198977.9106,452460.6635,30.06805753,35.71020783646913,-5.64215030646913,1.7136683186442125
종로구,종로6가,(주) 동승 JW메리어트 동대문 스퀘어 서울,0,중위험군,37.56764454,127.0081243,200717.7489,452011.8647,34.13172046,34.81396428163954,-0.6822438216395454,1.7136683186442125
종로구,인사동,도미인 익스프레스 서울 인사동,0,중위험군,37.56962018,126.9863919,198797.8158,452231.1937,40.74850581,38.39417708522814,2.354328724771861,1.7136683186442125
종로구,효제동,더도아스테이,0,중위험군,37.57184081,127.0017557,200155.1023,452477.5722,24.44987108,35.41320063599504,-10.963329555995038,1.7136683186442125
종로구,창신동,케이스테이,1,저위험군,37.56874973,127.0101841,200899.709,452134.5456,24.7643374,36.16567747715237,-11.401340077152373,1.7136683186442125
종로구,창신동,오리지날 백패커스,1,저위험군,37.56968368,127.0117502,201038.0539,452238.2193,31.80805952,33.86005678639898,-2.0519972663989776,1.7136683186442125
중구,(장충동,앰배서더 서울 풀만 호텔,1,저위험군,37.55742965,127.0016071,200141.9987,450878.1024,33.10607195,30.951361511190434,2.154710438809566,1.7136683186442125
성동구,성동,호텔 포코 성수,0,중위험군,37.54070199,127.0562547,204971.6457,449023.0195,43.2702304,40.280986991083026,2.989243408916977,1.7136683186442125
중구,(회현동,루미아 호텔,1,저위험군,37.55527178,126.9789824,198142.881,450638.811,19.18754948,30.99583086706816,-11.80828138706816,1.7136683186442125
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,0,중위험군,37.5619628,127.0069577,200614.7245,451381.25,29.76813948,33.76556054502092,-3.9974210650209194,1.7136683186442125
중구,명동,호텔 크레토,1,저위험군,37.55924412,126.9872993,198877.8237,451079.5617,7.095617712,31.939795118745934,-24.844177406745935,1.7136683186442125
중구,남창동,24게스트하우스 명동타운점,0,중위험군,37.55661038,126.9781102,198065.846,450787.3972,42.33502976,32.57038792200284,9.76464183799716,1.7136683186442125
중구,쌍림동,호텔 더 디자이너스 동대문,0,중위험군,37.56091185,127.004866,200429.9293,451264.5953,31.39745444,32.197758878977005,-0.8003044389770047,1.7136683186442125
중구,명동,솔라리아 니시테츠 호텔 서울 명동,0,중위험군,37.55974994,126.9843743,198619.3878,451135.7407,27.40122378,34.40307564515194,-7.001851865151938,1.7136683186442125
중구,태평로2가,24게스트하우스 서울시청점,1,저위험군,37.56195615,126.9755355,197838.5061,451380.7705,37.75795798,35.22412581609461,2.5338321639053873,1.7136683186442125
중구,명동,호텔 스카이파크 센트럴 명동점,0,중위험군,37.56189383,126.9844402,198625.2542,451373.6862,34.47167266,35.03099300411877,-0.5593203441187669,1.7136683186442125
중구,을지로5가,에이큐브 호텔,0,중위험군,37.56347491,127.0012488,200110.3357,451549.0543,34.3849298,32.3432595609103,2.0416702390897044,1.7136683186442125
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,0,중위험군,37.55930346,126.9779712,198053.6387,451086.3,21.95857565,31.200492698170986,-9.241917048170986,1.7136683186442125
중구,주교동,2U호스텔,0,중위험군,37.56586745,126.9974009,199770.3781,451814.6006,35.96093302,34.84634753006704,1.1145854899329564,1.7136683186442125
중구,장교동,롯데시티호텔명동,1,저위험군,37.56418691,126.9872883,198876.9251,451628.1532,16.07173597,32.47354364863852,-16.40180767863852,1.7136683186442125
중구,충무로2가,호텔 스카이파크3,0,중위험군,37.55856041,126.9865871,198814.8843,451003.6867,35.85209991,32.52917229455914,3.322927615440861,1.7136683186442125
중구,(남산동,자자백팩커스,0,중위험군,37.55605441,126.9856314,198730.397,450725.563,31.79717838,30.951361511190434,0.845816868809564,1.7136683186442125
