구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_도로폭위험도,bw_intercept,bw_도로폭위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,-1.9029662540827985,30.214091302979284,2.788662181425946,46.0,1464.0
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,-4.637844935253877,29.12285468549608,2.786620905053799,46.0,1464.0
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,4.941158161926442,30.17851580299672,2.7869442907501747,46.0,1464.0
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,-6.591475108877624,29.393412684710984,2.788588593337962,46.0,1464.0
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,-6.735182589559205,29.154747458492583,2.7989959895469374,46.0,1464.0
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,-0.9942648499192508,30.442995160826452,2.7890654141557376,46.0,1464.0
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,7.5808739171077235,29.466940771576333,2.7853454530049784,46.0,1464.0
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,-5.808148265617408,29.637785742954883,2.7893156770258845,46.0,1464.0
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,1.4295455082206168,30.7324956208327,2.784342975322325,46.0,1464.0
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,-4.926543240855061,29.14020925252628,2.787262478050349,46.0,1464.0
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,7.644173366246264,29.75863072138428,2.7893225995208732,46.0,1464.0
