구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_도로폭위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,31.728791935947218,-8.817854695947219,5.385803882931744
종로구,관훈동,호텔 썬비,1,저위험군,37.57030354,126.9840039,198586.865,452307.0719,13.42087742,24.498046370480047,-11.077168950480047,5.385803882931744
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,1,저위험군,37.57180204,126.983008,198498.9183,452473.4034,19.21733253,25.113428971796402,-5.896096441796402,5.385803882931744
종로구,인의동,이스트 아뜰리에,1,저위험군,37.57093161,126.9958843,199636.4111,452376.668,29.45535909,24.498046370480047,4.957312719519955,5.385803882931744
종로구,숭인동,U-STAY HOSTEL,1,저위험군,37.56976898,127.0154556,201365.3966,452247.734,25.62588219,26.036502873770935,-0.4106206837709365,5.385803882931744
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,36.34416144581988,-11.82641729581988,5.385803882931744
종로구,이화동,글루호텔,1,저위험군,37.57304815,127.0031721,200280.2191,452611.5762,15.4508699,23.882663769163692,-8.431793869163691,5.385803882931744
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,31.728791935947218,12.029942834052779,5.385803882931744
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,34.036476690883546,-1.598864200883547,5.385803882931744
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,38.65184620075621,4.302256859243791,5.385803882931744
종로구,창신동,호스텔 메가 동대문역,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,26.036502873770935,-4.3285640137709365,5.385803882931744
종로구,봉익동,포레스트 스테이 종로,1,저위험군,37.57018563,126.991442,199243.9613,452293.8994,15.92274082,24.498046370480047,-8.575305550480048,5.385803882931744
종로구,관철동,MOMENTO HOSTEL,1,저위험군,37.56655742,126.9838,198568.7776,451891.2994,23.18591932,25.113428971796402,-1.9275096517964023,5.385803882931744
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,36.34416144581988,-13.509466355819878,5.385803882931744
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,31.728791935947218,-14.729426085947217,5.385803882931744
종로구,창신동,247 HOSTEL SEOUL,1,저위험군,37.56817447,127.0131481,201161.5696,452070.7309,28.46176098,27.113422426074557,1.3483385539254442,5.385803882931744
종로구,관철동,찰나 호스텔,1,저위험군,37.56664615,126.9833293,198527.2006,451901.1547,21.17200955,24.498046370480047,-3.3260368204800486,5.385803882931744
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,31.728791935947218,-7.681030285947216,5.385803882931744
종로구,종로5가,편안정 종로5가점,1,저위험군,37.56810507,127.0045472,200401.7227,452062.9568,24.42589099,24.498046370480047,-0.07215538048004788,5.385803882931744
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,27.113422426074557,16.06953916392544,5.385803882931744
종로구,종로5가,고유리(Goyu;re),1,저위험군,37.56730221,127.0037223,200328.8504,451973.8455,23.67381825,24.498046370480047,-0.824228120480047,5.385803882931744
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,38.65184620075621,1.1419301292437893,5.385803882931744
