구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,r50m_property_fire_count,r50m_property_fire_exists,r50m_property_damage_sum_천원,log1p_r50m_property_damage_sum_천원,r50m_property_damage_max_천원,nearest_property_fire_distance_m
종로구,숭인동,엔조이스테이 호스텔,2024,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,관광숙박업,숙박시설,5,596.0,36.9,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,52.89278925981462
종로구,창신동,이온호텔,2022,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,관광숙박업,숙박시설,8,963.0,10.45,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,51.6038791665297
종로구,관철동,오아시스 트레블러스 종로,1969,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,관광숙박업,"점포, 노래연습장, 일반음식점",7,183.0,55.97,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,69.33555336386856
종로구,관철동,스테이 마루 종로,1965,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,관광숙박업,숙박시설,8,234.0,58.48,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,96.30938404982454
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,숙박시설,6,46.0,45.68,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,106.10412273687754
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,숙박시설,3,140.0,36.56,exact,기존숙박군,안전,보통,2,1,78.0,4.3694478524670215,62.0,31.13252175887397
종로구,종로6가,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,숙박시설,6,106.0,37.81,exact,기존숙박군,안전,보통,1,1,11.0,2.4849066497880004,11.0,34.367999091506604
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,숙박시설,6,88.0,44.24,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,69.17458462580512
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,숙박시설,6,77.0,48.73,exact,기존숙박군,보통,위험,3,1,15950.0,9.677276802172448,15716.0,9.506161779032452
종로구,관철동,1996 종로인,1996,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,관광숙박업,숙박시설,9,281.0,39.88,exact,기존숙박군,보통,보통,1,1,61756.0,11.030962608389315,61756.0,31.422656722655553
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,관광숙박업,숙박시설,13,914.0,32.8,exact,기존숙박군,안전,안전,3,1,4744.0,8.464846711044029,4299.0,14.856745795924288
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,관광숙박업,숙박시설,11,315.0,49.8,exact,기존숙박군,보통,위험,0,0,0.0,0.0,0.0,66.39515969392862
종로구,견지동,더프리마호텔 종로,1971,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,관광숙박업,숙박시설,12,6074.0,45.18,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,81.60585092343976
종로구,숭인동,서울앤호텔 동대문,2017,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,관광숙박업,숙박시설,16,171.0,34.87,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,90.3876842355731
