model,train_accuracy,test_accuracy,accuracy_gap,balanced_accuracy,macro_f1,weighted_f1,notes
Boost4 Equal,0.9192839195979899,0.751412429378531,0.1678714902194589,0.7512699259635962,0.7500429069587939,0.7501706018080642,equal soft voting
Boost3 Tuned,0.9381281407035176,0.7457627118644068,0.19236542883911079,0.7456255133485463,0.7447085380629686,0.7448334406408497,"weights={'LightGBM': 4.0, 'XGBoost': 2.0, 'CatBoost': 3.0}, val_macro_f1=0.7562, val_acc=0.7567"
Boost4 Tuned,0.9381281407035176,0.7457627118644068,0.19236542883911079,0.7456255133485463,0.7447085380629686,0.7448334406408497,"weights={'LightGBM': 4.0, 'XGBoost': 2.0, 'CatBoost': 3.0}, val_macro_f1=0.7562, val_acc=0.7567"
Boost3 Equal,0.9365577889447236,0.7457627118644068,0.19079507708031684,0.7456148734943122,0.7444268522474281,0.7445589691183343,equal soft voting
LightGBM,0.9356155778894473,0.7419962335216572,0.19361934436779005,0.7418404227749086,0.7407779996467423,0.7408998230342337,best_iteration=777
XGBoost,0.9375,0.7391713747645952,0.19832862523540484,0.7390075766131496,0.7379595794286469,0.7381012424506359,best_iteration=1497
CatBoost,0.8784547738693468,0.7297551789077212,0.14869959496162555,0.7296072203132851,0.7286493546615264,0.7287974989184316,best_iteration=2323
GNN,0.6441582914572864,0.6318267419962336,0.01233154946105286,0.6316356529192387,0.6280011004840326,0.6281530062902708,transductive_graph_k10
