task,target,model,train_accuracy,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall
classification,r500m_injury_fire_dominant_type,baseline_most_frequent,0.36664460622104567,0.09725776965265082,0.044318560479840056,0.017241297385941434,0.024314442413162704,0.25
classification,r500m_injury_fire_dominant_type,random_forest,0.9821310390469887,0.6237659963436929,0.5089731941551998,0.6218483056889537,0.5557926070133181,0.49253869011181856
