승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,총층수,시설규모/연면적,구,동,업종,건물용도명,업종그룹,실제등급,예측등급,target_col,target_label,best_model
2013,2,0.0,1.1236583205941977,0.1165,1.0,37.52105664,126.88181104,14,2519.0,영등포구,(양평동,관광숙박업,호텔,기존숙박군,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2004,2,0.0,0.1189047407655835,0.1293,1.0,37.55121526,126.91291889,6,112.0,마포구,서교동,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1988,7,42.9,0.013114942077828,0.4236,1.0,37.55671475,127.02982258,3,33.0,성동구,행당동,외국인관광도시민박업,주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1990,10,90.0,0.3364722366212129,0.42,0.25,37.5372255,127.06152193,3,166.68,성동구,성동,외국인관광도시민박업,주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1975,25,92.0,0.4602733446031594,0.4465,0.55,37.5595094,126.9030953,3,163.0,마포구,망원동,외국인관광도시민박업,단독주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1998,7,42.9,2.05513095217922,0.138,0.18,37.56557232,127.00752233,1,49566.03,중구,을지로6가,숙박업,"판매,업무시설,관람집회시설,근린생활시설",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1971,25,72.0,0.6931471805599453,0.4535,0.25,37.49239026,127.15359273,1,60.6,송파구,마천동,숙박업,영업용,기존숙박군,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
2002,3,100.0,0.8796841105244633,0.5323,0.55,37.57426445,126.89558722,3,53.0,마포구,상암동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
1998,7,28.6,1.018125037755423,0.138,0.04,37.50187444,127.04282227,6,1132.05,강남구,역삼동,외국인관광도시민박업,근린생활시설,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1989,21,90.5,0.4769240720903093,0.4218,0.85,37.55938224,127.02876423,3,43.0,성동구,하왕십리동,외국인관광도시민박업,주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1979,3,33.3,1.3516741604732871,0.1652,0.12,37.5557044,126.97785909,21,26031.0,중구,(회현동,관광숙박업,숙박시설,기존숙박군,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
2015,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,20,4804.0,중구,쌍림동,관광숙박업,관광호텔,기존숙박군,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
2017,6,50.0,0.0912914202094071,0.1108,0.12,37.5206932,126.89602857,9,491.0,영등포구,(당산동,관광숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2015,0,0.0,0.1892419996385284,0.1136,0.35,37.55702444,126.83503956,19,16884.59,강서구,마곡동,숙박업,숙박시설 및 근린생활시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1994,11,81.8,0.3262157364540238,0.413,0.35,37.55789604,127.00737953,3,42.0,중구,(장충동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
1997,12,100.0,0.1688985364618139,0.1394,0.85,37.49848423,127.0414965,1,3685.71,강남구,역삼동,숙박업,"숙박시설,근린생활시설",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1988,10,50.0,0.5924056107584136,0.4236,0.7,37.55712309,126.92325751,3,35.0,마포구,동교동,외국인관광도시민박업,단독주택,외국인관광도시민박업,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
2025,2,50.0,0.5833910534290809,0.1,0.08,37.55931197,126.99130995,19,5992.93,중구,(필동,숙박업,"오피스텔(112호),근린생활시설(1호)",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1973,31,90.3,0.7039115471471038,0.45,0.85,37.49712203,126.90720529,1,153.72,영등포구,신길동,숙박업,사무소,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2002,21,81.0,2.0526781244810195,0.1322,0.25,37.55346886,126.90268505,4,69.0,마포구,망원동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2002,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,30,45510.0,종로구,낙원동,관광숙박업,호텔,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2004,15,86.7,0.934620831808046,0.1293,0.08,37.56648067,126.98938878,10,2801.52,종로구,관수동,숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1993,15,100.0,1.7657408412557287,0.5496,0.18,37.56008275,126.92386957,6,58.0,마포구,연남동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2002,1,0.0,0.715072541188911,0.1322,0.08,37.50534447,127.02785958,5,96.0,강남구,논현동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1997,2,0.0,0.0,0.1394,0.85,37.55696119,126.9997944,5,60.0,중구,(장충동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1991,3,66.7,1.670681537674819,0.4183,0.85,37.54363214,127.0458092,3,40.0,성동구,성동,외국인관광도시민박업,주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2016,29,96.6,1.519667913005391,0.2433,1.0,37.55444695,126.91780256,19,18411.0,마포구,서교동,관광숙박업,호텔,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1991,36,47.2,0.4020227639171916,0.4183,0.85,37.57284724,127.01984147,4,29.0,종로구,숭인동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1960,3,66.7,2.276412218690022,0.8939,0.12,37.55490708,126.9809224,2,135.67,중구,(회현동,숙박업,주택,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1993,8,37.5,0.9953072721923794,0.4148,0.12,37.55408436,126.9204607,3,109.0,마포구,동교동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1990,18,88.9,0.7205461547480597,0.42,0.7,37.55376464,126.92977953,3,31.0,마포구,동교동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
