model,r2_log,rmse_log,mae_log,rmse_백만원,mae_백만원
Dummy,-0.08346455606286196,2.3111938965577505,1.8605130565235086,9.659068094861677,2.8444777118924107
CatBoost,-0.19003165566162883,2.4221904343342087,1.9235454860395973,9.67697113594084,2.9177323041988257
Ridge,-0.2125838434724474,2.4450340768628807,1.9602346616927318,9.640255752315976,2.9860822957979147
XGBoost,-0.3140937835036923,2.545318933600799,2.024544806007441,9.955266965238827,3.33703111084696
LightGBM,-0.32365116980670416,2.5545581998492177,2.020083534680462,9.705625569870495,2.981215708470702
