경도,위도,local_R2,coef_intercept,coef_구조노후도,coef_도로폭위험도
954476.1714836507,1952179.349608845,0.5124864113260008,39.625078989654114,0.8274864593625779,-0.483234014443221
954433.7022768019,1952451.13679896,0.577484418815156,38.078307077206944,1.2918764813403567,-3.293429891728691
954346.6745217551,1952617.8714924012,0.6117204355547873,37.9358235363044,2.319086274256014,-4.454873105840971
955483.2101056549,1952515.1232792316,0.6850445057713779,37.882125996940246,6.234567226571677,-0.17024874183521954
957210.8343518837,1952377.0431073941,0.6011574404053938,38.188736692066755,5.0238292128871445,-1.1136935231191343
954835.217805417,1952365.0558060445,0.4720742613823613,37.11652658276317,3.337709081776248,-1.5948832691732997
956128.0165426682,1952746.5152393868,0.7034040998344357,41.96511188735978,4.2672337355162115,-2.439055678195141
953615.4015372002,1952266.227029664,0.4590619296003025,55.949879807258846,6.592199156703138,2.69702743716276
955738.3067704809,1952175.1580097524,0.6981464757558121,45.313720060185595,6.028227200772628,-2.083513698747223
955023.9568950591,1952501.531207546,0.4002307018235122,34.18895682624677,5.5394000320245205,-1.4183631344072287
956677.6639168479,1952172.5453339992,0.667640001216608,37.382621399248805,4.244752621563586,-3.990535049203015
955090.4729440912,1952434.4743374789,0.36898999869122345,34.15229518803314,5.978531052043648,-1.1802981590737887
954413.4105427098,1952035.6220605955,0.45314363189053525,41.50298818520486,1.1729700736639734,0.15848501727958553
957648.0525396593,1952653.832902122,0.4134544929347641,40.6140691694178,4.39230767633708,-0.1956959403397961
953750.0679565474,1950650.178117564,0.4914027446806135,37.53666456320619,4.372779960521962,0.7739460707668508
957006.1457493374,1952201.193486305,0.5702278630813201,35.48721487160314,4.453610982527024,-2.674160541824108
954371.9021593644,1952045.6946239567,0.42691923102961044,42.08200319979157,1.0867995162518926,-0.09304519722774707
954394.3883523052,1952105.3711137911,0.45325053161863027,41.119452523867494,0.8718272693305571,-0.15130730138616588
956246.5545666928,1952197.4638142136,0.7945333218968724,44.67101762026547,5.24711901454653,-5.364963363302017
957037.6475444416,1952344.59587428,0.6175061453953117,36.58143497507818,4.66887672312531,-1.9765576486358059
956173.2367524118,1952108.774916494,0.7556592114098916,46.45521463782378,6.146167600744348,-3.5062269513284576
956144.9702434937,1952702.8329570757,0.6965269174345959,43.06404956674297,4.433786081050249,-2.2320016538628646
954752.7873887512,1952364.6583295246,0.5095861849707741,37.4199449438522,2.7184584236302367,-1.7104831223532213
957534.9809173311,1952433.5734608872,0.461311501958243,40.82412994810518,5.105538245429868,-0.23713640656354817
956902.9797761982,1952376.8921745776,0.6629554877956296,37.37176783618973,4.484091750221467,-1.6219446095944725
954664.3847308545,1952085.9480785013,0.5288481213493519,39.111856865545704,1.7023322198172044,0.46864322029069094
954501.6149315181,1952050.6985332943,0.4971162927944305,40.3803280563365,1.3016014131870421,0.41006831950644695
956747.8398939677,1952269.397461528,0.6608500733975307,37.50455859815823,4.221935732220797,-2.558889808870541
955006.7976062061,1952876.4556553743,0.5552770923913463,33.14879609412241,5.179745789514452,-2.3924611332176915
956458.712354171,1952324.3487126855,0.7660799304638289,41.92329168315642,4.284008417029426,-3.6529552373587624
954759.4713200822,1952426.628730576,0.5119795925936084,37.28888978156354,2.937929908864674,-2.0839483232011595
955815.8699898416,1952363.2889034406,0.7411855073125256,44.22462574255335,5.631796788788573,-2.6353803946307925
954631.3123578068,1952008.6668818656,0.5202621196645759,39.786081039576686,1.8532121676034374,0.7975391416034237
954829.1331024839,1952044.1297509947,0.4952783643091125,38.34779464250461,2.936702485916886,0.19753121493812076
954587.392853543,1951966.656845555,0.5117113940994452,40.280261012566,1.8599292933401692,0.9285779334290143
954316.7832169571,1952460.430316712,0.5717179618148359,38.60582368227166,1.4113508207906564,-3.5503272162477195
957616.4450688675,1952464.8092818807,0.41975286072145135,40.89531429311031,4.777918786709579,-0.18808759591825908
954943.1872687922,1952846.8736239432,0.543749287076929,33.516998471076924,4.945223956291968,-3.0173516627002286
956025.2034566776,1952287.0117761411,0.7054625714349774,47.02049194778514,5.986275445528613,-2.5781533148611784
955065.6766561188,1951992.4074320518,0.3711979125935162,37.11896317979626,5.183800407972813,-1.1050216575936898
954084.2263182945,1952325.9683649132,0.48048096361854176,44.21028846365885,1.4531656700834925,-0.3299022900835551
957588.3676323321,1952675.8990898174,0.4333822246718707,40.61497535287638,4.4704045223358335,-0.21338061560179894
956196.3559649063,1952633.9855590635,0.6587231369626954,45.401784167341475,4.604180761725192,-1.4680385542546355
957489.0963320592,1952467.6386367911,0.4814931080048322,40.74860574297526,5.120028262050741,-0.20919263424059362
955669.2971514218,1952740.8586777286,0.7069532861446931,38.67593835130849,4.913617767507594,-0.8252061233788022
956685.7657464413,1952181.677332879,0.6649958343045813,37.33965244591533,4.243056438810528,-3.821157848077199
954855.7570299716,1952330.1040317973,0.45860296967833364,37.111147682505816,3.4256329526235882,-1.3833294181573697
957783.6277587379,1952792.0898002193,0.3748985792584017,40.569083746482676,4.043381887974679,-0.2673346352933458
954793.9512212992,1952667.7847027008,0.4908558837655426,35.793460899134026,4.158734889435786,-3.174686070215814
954869.8511719784,1952614.6599289754,0.4738293203258545,35.39724564602651,4.3999346676452,-2.6408664739190417
954444.6611105659,1952034.7026672522,0.475271140845675,41.002335862329616,1.2788045845957223,0.25770119997564533
957059.7593451873,1952310.5435540034,0.6026820457627071,36.41405570415277,4.664280631135384,-2.0409912511944226
955921.1280941791,1952680.6023663196,0.7339139944442076,41.37024276672995,4.789690218994685,-2.7237433699422575
957495.56880153,1952451.1341553843,0.47921093814711824,40.772366862541794,5.158428423764368,-0.22336376730401275
955146.865993706,1951975.2583246587,0.4486484144664692,37.33958539915549,5.193391031013674,-0.8963477299184895
957146.9342898345,1952112.1340934325,0.531286265956205,34.68801495891562,4.3443833933518,-2.7052767905230852
955598.7184375138,1953442.4152862602,0.3613685991895036,33.01242869452607,3.6474049109444255,-0.7454580529228656
957741.4338662716,1952521.5618044701,0.3693597179859533,40.86307208291647,4.342900172814846,-0.16594630905770913
956677.6639168479,1952172.5453339992,0.667640001216608,37.382621399248805,4.244752621563586,-3.990535049203015
954768.6438188379,1951968.9965912339,0.5142700542791444,39.001552933522106,2.645284193299014,0.8579212687181235
955666.9341987285,1952784.1877347706,0.6892666268339399,38.07558549991068,4.607230284551655,-0.46888575386406894
955005.5842969357,1952888.6710014613,0.5586695601794008,33.07718087203585,5.110094615960248,-2.4687050372739474
954106.7906302278,1952408.3049262208,0.5386750548643426,42.50993415678458,1.708531061327441,-1.6560064921907527
955610.3801062368,1952315.1057242106,0.7354147564323443,42.3559073888433,6.177062110548558,-1.8083038681483343
954852.9554008318,1952375.1598773939,0.44196913526467857,36.85265760403808,3.6329616902068085,-1.5622534878498535
957794.9156034851,1952455.906929053,0.3642990065298762,40.78079973791095,4.335835460434269,-0.2601330445322443
954389.6704225724,1951999.2826470276,0.42588152539998575,42.433418253155004,1.264699240306908,0.07430789677701366
954799.0944964265,1952648.3684422243,0.4859737681000666,35.86897414529433,4.129057855979458,-3.046267198499755
954853.9943658636,1952625.84768927,0.47640029498490166,35.4633994124149,4.354351869044906,-2.72838335822925
954734.2623757563,1952561.8547923625,0.5169688651122228,37.00525173010639,3.2272883998149036,-2.8459799356523803
953602.0566324096,1956493.885743756,0.21627283706961412,41.93712203470572,4.445265359205565,3.7694013866936604
954658.2195822828,1952444.7800142246,0.5558991436846982,37.60056030562041,2.3463772459843035,-2.4380648768547664
954965.2247534931,1951969.1146809908,0.4169437155194047,37.6056898544072,4.386651746203765,-0.4922447087092682
954381.1361607936,1952400.530224827,0.5571425003378876,38.572663673245245,0.9876237854320001,-2.9746536124340532
953604.8025077024,1952201.9871261553,0.49248357832113004,55.17031211621173,7.729574857791838,2.103300961941043
955000.8512244455,1952600.169767161,0.4462518789865878,34.03253390511074,5.382585595790456,-1.6718483837341123
954865.6695005116,1952851.6274927,0.5450156025830486,34.00258132401186,4.483541937900694,-3.933781534309667
954923.1368692395,1952790.2312955642,0.5260692311818925,33.92806807621584,4.974665463727013,-2.949939393990851
954825.4128793966,1952602.5886933568,0.4717261633011034,35.86573768627194,4.171242518796908,-2.7119580757185355
956562.1855584431,1952144.7107877124,0.7527101999256399,39.47785112740091,4.402701084066639,-5.577470643363669
954644.1675281667,1952374.1660186632,0.5532382865081397,37.748557431376554,2.0150081821876196,-2.036351090918684
956002.2358169922,1952613.2290614129,0.7284662943300407,43.006489881568335,5.029128784971944,-2.6769608326342635
956744.7270362691,1952266.3759304455,0.6594911862308693,37.476447313465655,4.218032583575843,-2.599041033101052
956883.5691706917,1952369.273247155,0.6656848779599441,37.46238040030411,4.4465463695673115,-1.6175755035039603
955980.630849394,1951014.453282005,0.41124466358371775,47.42895743373895,3.3557979950503523,-4.329513993981202
960798.5179438002,1949134.422826989,0.24638590922016865,46.440817758906434,2.558107911497681,2.5488388239314457
953981.0187599969,1950785.8848815481,0.5135787029979427,37.83162988819184,5.546467057517355,-0.05235120959319622
956455.8476362531,1951514.8904885775,0.6307826163979233,46.8888832040477,4.7126581153653895,-2.5063112383924544
954718.0196345928,1951222.5563661966,0.3429871062822742,27.81068289825713,4.754768425667881,-1.657043274164836
953904.8037704079,1950934.823088908,0.5601762737626436,39.40096840970551,5.5176648209533035,1.2969276541592367
956270.5042578441,1951399.264124235,0.5880034354026474,48.457972026747754,5.2438390294851,-2.74342167309846
954459.9829395092,1951280.0877868393,0.42475887981422494,29.13703759936831,5.517300652610608,-0.920740157933499
953680.7074050575,1951529.1750945654,0.5944770845481767,45.234383374488274,9.846158801926736,-1.132848111532801
954467.1124227634,1951517.9096083576,0.44189646185866127,33.00411205035706,5.9176029119762,-2.6232470353067203
955952.5481459916,1951685.3117106904,0.6676374813761846,47.480282609047634,7.059169081527316,-0.990598548638393
953894.1905483301,1951233.6748075332,0.6043213620903485,39.9890777118154,6.965325408551806,0.3386933836490563
955614.1354346122,1951952.5624148676,0.6345814873957785,45.7381322381243,4.376189006011173,-0.593067108759044
954720.0387817753,1951770.939291799,0.5237008117762058,39.036916989666665,3.5151434846185614,1.2429495386632672
