model,r2_like,aic_like,residual_moran_I
Spatial_Lag,0.7338713551699015,30365.39204859844,0.11688201463393058
GWR,0.7190362497785696,31102.764755408425,0.26879258215513857
Spatial_OLS,0.11785506605568763,34993.09958022338,0.7136151805565041
Spatial_Error,0.10496914092076563,29871.408187344467,0.7305033282281128
