model,test_r2,test_rmse,test_mae,alpha
OLS,0.23436012951611918,14.005894835138868,11.214438863560806,
Ridge,0.23368177036726823,14.012098093167133,11.223285859332341,31.622776601683793
Lasso,0.23073417213795988,14.039020586765364,11.260038915856567,0.14873521072935117
