task,target,model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
regression,log1p_r500m_injury_fire_count_all,baseline_mean,0.5157435393472471,0.6071958655666414,0.0,0.5224209033941702,0.6371413652203172,-0.28812863711592573
regression,log1p_r500m_injury_fire_count_all,random_forest,0.144415602375206,0.19597469200904594,0.895830070639857,0.38413933393461347,0.4841843827373055,0.2561092021719039
regression,log1p_r500m_injury_fire_count_주거,baseline_mean,0.44673257174898473,0.48106804083214416,0.0,0.4500890995810035,0.4949564568364814,-0.02549312813474125
regression,log1p_r500m_injury_fire_count_주거,random_forest,0.1305430833108707,0.17748937918738855,0.8638769320648766,0.34082177490942317,0.4213651777979704,0.2567822890550515
regression,log1p_r500m_injury_fire_count_판매업무시설,baseline_mean,0.4808747598511445,0.5289810045351111,0.0,0.4563459674728397,0.48614561610421936,-1.073784134847457
regression,log1p_r500m_injury_fire_count_판매업무시설,random_forest,0.08420089608726929,0.12927078601811196,0.9402798864234726,0.22682386859120426,0.29585542777467144,0.23194931182526868
regression,log1p_r500m_injury_fire_count_생활서비스,baseline_mean,0.4140797955045061,0.4623672225899973,0.0,0.34760797192473064,0.35394608920771553,-0.28554163304637514
regression,log1p_r500m_injury_fire_count_생활서비스,random_forest,0.07327989702578629,0.11618984774013107,0.9368516093692867,0.21908238216227496,0.2919441612326374,0.12539592244254194
