model,candidate_idx,params,val_accuracy,val_macro_f1,selection_score,target_col,target_label
XGBoost,2,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 0.9}",0.697,0.6946,0.6814,업종군별_3등급,업종군별 기준 3등급
XGBoost,3,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.001, 'n_estimators': 500, 'min_child_weight': 6, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6625,0.6574,0.6524,업종군별_3등급,업종군별 기준 3등급
XGBoost,4,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.5, 'n_estimators': 1100, 'min_child_weight': 8, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.7221,0.7202,0.703,업종군별_3등급,업종군별 기준 3등급
XGBoost,5,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 6, 'max_depth': 5, 'learning_rate': 0.07, 'gamma': 0.05, 'colsample_bytree': 0.7}",0.7096,0.7068,0.6899,업종군별_3등급,업종군별 기준 3등급
XGBoost,6,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.05, 'n_estimators': 1100, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.7316,0.7299,0.7101,업종군별_3등급,업종군별 기준 3등급
XGBoost,7,"{'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.5, 'n_estimators': 700, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.02, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.7127,0.71,0.6969,업종군별_3등급,업종군별 기준 3등급
XGBoost,8,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.1, 'n_estimators': 900, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.719,0.7179,0.6976,업종군별_3등급,업종군별 기준 3등급
LightGBM,1,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 11, 'n_estimators': 500, 'min_split_gain': 0.2, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.07, 'colsample_bytree': 0.9}",0.7378,0.7364,0.7232,업종군별_3등급,업종군별 기준 3등급
LightGBM,2,"{'subsample': 0.9, 'reg_lambda': 0.0, 'reg_alpha': 0.05, 'num_leaves': 7, 'n_estimators': 900, 'min_split_gain': 0.2, 'min_child_samples': 80, 'max_depth': 3, 'learning_rate': 0.02, 'colsample_bytree': 1.0}",0.6593,0.6557,0.6493,업종군별_3등급,업종군별 기준 3등급
LightGBM,3,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 900, 'min_split_gain': 0.0, 'min_child_samples': 120, 'max_depth': -1, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7316,0.7296,0.711,업종군별_3등급,업종군별 기준 3등급
LightGBM,4,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.001, 'num_leaves': 15, 'n_estimators': 900, 'min_split_gain': 0.0, 'min_child_samples': 120, 'max_depth': 3, 'learning_rate': 0.02, 'colsample_bytree': 0.8}",0.6703,0.6656,0.6633,업종군별_3등급,업종군별 기준 3등급
LightGBM,5,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.001, 'num_leaves': 31, 'n_estimators': 300, 'min_split_gain': 0.02, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.6782,0.674,0.6634,업종군별_3등급,업종군별 기준 3등급
LightGBM,6,"{'subsample': 1.0, 'reg_lambda': 4.0, 'reg_alpha': 0.1, 'num_leaves': 21, 'n_estimators': 500, 'min_split_gain': 0.05, 'min_child_samples': 80, 'max_depth': 4, 'learning_rate': 0.02, 'colsample_bytree': 0.9}",0.6719,0.665,0.664,업종군별_3등급,업종군별 기준 3등급
LightGBM,7,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 700, 'min_split_gain': 0.02, 'min_child_samples': 40, 'max_depth': 5, 'learning_rate': 0.02, 'colsample_bytree': 0.9}",0.7159,0.7137,0.7004,업종군별_3등급,업종군별 기준 3등급
LightGBM,8,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'num_leaves': 15, 'n_estimators': 1200, 'min_split_gain': 0.02, 'min_child_samples': 40, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7347,0.7326,0.7146,업종군별_3등급,업종군별 기준 3등급
