model,test_accuracy,balanced_accuracy,macro_f1,weighted_f1
StackingMeta,0.751412429378531,0.7512885983066552,0.7516072772061738,0.7517428554459913
LightGBM,0.7476459510357816,0.7475141475872515,0.7471729802986277,0.7472921995817361
XGBoost,0.7457627118644068,0.7456175559999348,0.7447748312117547,0.7449004236370498
CatBoost,0.7175141242937854,0.7173394909235506,0.7158984294885613,0.7160634440599907
